시설물개수,인구밀도 (명/㎢),하천,자동차등록대수,자전거도로(km),지하철_총승객수,버스_총승객수,학교개수,영화관개수,대학교개수,강_한강,cluster,행정동명
17,10543,1,9830.372436,1.065874206,7204395,1765497,0,2,0,0,1,가산동
20,7310,0,11522.88986,4.687017578,522372,711582,2,1,0,0,2,가양1동
11,13902,0,4662.278145,1.896414866,0,112027,3,0,0,1,3,가양2동
10,14627,0,10955.21929,5.663342931,0,545602,5,0,0,0,2,강일동
14,26372,1,10629.23962,3.23797879,1680496,607633,7,1,0,0,2,공릉1동
16,6237,0,12159.70834,3.704204544,609130,856612,6,1,2,0,2,공릉2동
9,2845,0,10371.9088,4.218847831,1073562,451834,6,0,0,0,0,공항동
20,9030,0,2509.823469,1.057921149,1755720,705689,1,2,1,0,0,광희동
9,24564,0,8387.073088,1.71875,3914118,872654,3,0,0,0,0,구로3동
17,30816,0,10624.85332,1.71875,6818463,902648,4,2,0,0,0,구로5동
13,27882,0,7827.891181,4.081471841,0,392151,2,1,0,0,0,구의3동
6,29086,1,5924.315393,3.088945145,1380098,536797,0,1,1,0,0,군자동
16,20910,0,15037.12133,7.773497963,445294,536472,12,0,0,0,2,길동
4,20325,0,8723.971965,1.207277363,4202796,1561135,2,0,0,1,3,노량진1동
12,20606,0,10092.03676,3.551603668,1036300,872203,2,0,0,0,0,녹번동
7,35222,0,7949.557052,3.185094702,0,460955,4,0,0,0,0,답십리1동
6,27653,0,7495.090417,3.482167668,2741062,437143,1,0,0,0,0,당산1동
8,23937,0,13408.04458,6.22928567,4249030,1017536,7,0,0,1,3,당산2동
8,23907,0,10066.49764,1.393064395,1375217,1150088,12,0,0,0,0,대방동
30,22762,1,17601.72787,1.908496128,0,1199502,7,1,0,0,2,독산1동
7,24772,0,8045.492894,4.159148633,547905,386934,4,0,0,0,0,둔촌2동
12,39048,0,8381.167682,3.409099691,384443,490017,1,1,0,0,0,등촌1동
22,38006,0,10069.40737,4.095803218,1150450,693381,14,1,0,0,2,등촌3동
6,21625,0,7607.945447,2.254542468,312620,365888,3,0,0,0,0,마장동
14,11850,0,9918.612723,0.917073031,407167,1002543,11,0,1,0,0,망우본동
4,27536,1,5739.797756,3.404070224,0,307492,2,0,0,1,3,망원2동
18,3675,0,1366.467791,0.57598281,3618220,1471245,3,1,0,0,0,명동
15,21657,1,9938.631344,3.931393102,944886,1182139,1,2,0,0,2,목1동
14,22507,1,13258.77735,5.244732801,218869,817466,8,0,0,0,2,목5동
16,21839,0,11759.4138,5.463343101,1155598,717718,3,0,0,0,2,문래동
21,13110,1,10318.6723,4.275729285,2935202,485584,1,2,0,0,2,문정2동
12,17791,0,9294.82287,2.313671364,0,732873,2,1,0,1,3,반포3동
32,12325,0,12152.37454,4.94306496,1919704,744341,17,0,0,0,2,발산1동
12,41174,1,8057.944475,1.182134873,549616,593450,3,1,0,0,0,방학1동
21,28953,0,14370.83015,5.845437592,371644,273859,9,0,0,0,2,방화1동
11,3646,0,7837.87243,3.188110475,6441980,277704,2,1,0,0,0,방화2동
17,7606,0,2943.128908,2.131402999,0,1464686,3,0,0,0,0,사직동
10,6736,1,10821.62017,3.296583559,711969,436935,4,0,0,0,0,상계1동
10,32179,0,5611.051648,1.709291245,4498620,661778,4,0,0,0,0,상계2동
35,28868,1,9159.943911,2.790388133,0,642651,10,2,1,0,2,상계6.7동
9,31711,0,5693.982606,0.52646454,0,647843,0,1,0,0,0,상봉2동
19,3671,0,9593.915302,5.689810478,4981827,1616294,2,1,0,1,3,상암동
11,17639,0,7957.128702,4.719090469,607635,368024,0,0,1,1,3,서강동
26,16166,0,8298.735181,4.921685141,13594053,3007005,1,2,0,0,1,서교동
23,33265,0,11306.49707,4.68505242,2160068,716536,1,0,0,0,2,석촌동
10,34310,0,6594.937949,3.40927865,556052,292199,4,1,0,0,0,성내1동
8,23849,1,5935.801474,3.520313069,0,439357,2,0,0,0,0,성산1동
16,19082,1,12289.12198,7.288241848,746168,691270,8,2,0,0,2,성산2동
3,8328,1,5497.382231,1.629097079,690144,283005,1,1,0,1,3,성수1가1동
8,10214,1,3524.865062,1.044560326,2030197,316898,4,0,0,0,0,성수2가3동
2,13952,1,3506.101522,1.038999929,0,150901,1,0,0,0,0,송정동
5,35749,0,6778.817796,2.808926277,0,300617,7,0,0,0,0,송파2동
9,14924,0,10553.97853,0.975818831,0,771760,3,0,1,0,0,신내1동
10,24584,1,12097.06834,1.71875,72318,997539,5,1,0,0,0,신도림동
19,44217,0,5505.154128,1.319047619,4176356,973997,0,1,0,0,0,신림동
