매장명,주소
KAIST 서울캠퍼스,서울 동대문구 회기로 85
KWU콘코디아 국제대학교,서울 성동구 성수일로8길 5 서울숲 SK V1 타워 제A동 407호
가톨릭대학교 강학관,서울 종로구 창경궁로 296-12
감리교신학대학교,서울 서대문구 독립문로 56
개신대학원대학교,서울 강북구 도봉로 235
건국대학교 서울캠퍼스,서울 광진구 능동로 120
경기대학교 서울캠퍼스,서울 서대문구 경기대로9길 24
경남대학교 극동문제연구소,서울 종로구 북촌로15길 2
경복대학교 서울산학협력거점실습지원센터,서울 동대문구 왕산로 6
경희대학교 서울캠퍼스,서울 동대문구 경희대로 26
고려대학교 서울캠퍼스,서울 성북구 안암로 145
고려사이버대학교 계동캠퍼스,서울 종로구 북촌로 106
국민대학교,서울 성북구 정릉로 77
덕성여자대학교,서울 도봉구 삼양로144길 33
도봉 덕성여자대학교 전기차충전소,서울 도봉구 삼양로144길 33 약학관 지하 주차장
도서출판 대학서림,서울 종로구 혜화로2길 8
도서출판 대학서림,서울 종로구 혜화로2길 8
동경국제대학부속일본어학교 한국사무소,서울 종로구 새문안로 91 4층
동경국제대학부속일본어학교 한국사무소,서울 종로구 새문안로 91 4층
동국 대학교 전통 사찰음식연구소,서울 중구 필동로1길 30 동국대학교 학림관 101호
동국대학교 K학술확산연구소,서울 중구 퇴계로36길 2
동국대학교 건강증진센터,서울 중구 필동로1길 30 본관 2층
동국대학교 건설관리팀,서울 중구 필동로1길 30
동국대학교 경영관,서울 중구 필동로1길 30
동국대학교 경영전문대학원,서울 중구 필동로1길 30
동국대학교 경영학과,서울 중구 필동로1길 30
동국대학교 경찰사법대학원,서울 중구 필동로1길 30 혜화관 2층
동국대학교 경찰행정학과,서울 중구 필동로1길 30 사회과학관 3층
동국대학교 계산관A,서울 중구 필동로1길 30
동국대학교 계산관B,서울 중구 필동로1길 30
동국대학교 공과대학,서울 중구 필동로1길 30
동국대학교 과학관,서울 중구 필동로1길 30
동국대학교 교수학습개발센터,서울 중구 서애로3길 22
동국대학교 교육대학원,서울 중구 필동로1길 30
동국대학교 교육학과,서울 중구 필동로1길 30
동국대학교 국제교류팀,서울 중구 서애로3길 22
동국대학교 국제선센터,서울 중구 필동로1길 30 문화관 3층
동국대학교 국제어학원,서울 중구 필동로1길 30
동국대학교 국제정보대학원,서울 중구 필동로1길 30
동국대학교 금강관,서울 중구 필동로1길 40
동국대학교 남산학사,서울 중구 필동로1길 30
동국대학교 다향관,서울 중구 필동로1길 30
동국대학교 대외교류연구원,서울 중구 필동로1길 30 계산관B동 204호
동국대학교 대운동장,서울 중구 필동로1길 30
동국대학교 대학스포츠실,서울 중구 필동로1길 30
동국대학교 대학원,서울 중구 필동로1길 30
동국대학교 동국역경원,서울 중구 퇴계로36길 2 동국대학교 충무로영상센터 본관 204호
동국대학교 듀이카,서울 중구 필동로1길 30 반야관 1층
동국대학교 로터스관(예정),서울 중구 동호로 273
동국대학교 만해관,서울 중구 필동로1길 40
동국대학교 만해광장,서울 중구 필동로1길 30
동국대학교 명예의전당,서울 중구 필동로1길 30
동국대학교 명진관,서울 중구 필동로1길 40
동국대학교 문과대학,서울 중구 서애로3길 22
동국대학교 문구점,서울 중구 필동로1길 30
동국대학교 문화관,서울 중구 필동로1길 30
동국대학교 문화예술대학원,서울 중구 필동로1길 30
