매장명,주소
경일고등학교,부산 강서구 영강길 153-42
부산강서고등학교,부산 강서구 공항로1309번길 96-7
부산대저고등학교,부산 강서구 공항로811번가길 46
부산소프트웨어마이스터고등학교,부산 강서구 가락대로 1393
덕문고등학교,부산 강서구 동선길 172
명호고등학교,부산 강서구 명지오션시티2로 97
지진옥외대피장소 강서고등학교,부산 강서구 공항로1309번길 96-7
지진옥외대피장소 부산소프트웨어마이스터 고등학교,부산 강서구 가락대로 1393
지진옥외대피장소 경일고등학교,부산 강서구 영강길 153-42
지진옥외대피장소 덕문고등학교,부산 강서구 동선동 389
지진옥외대피장소 명호고등학교,부산 강서구 명지오션시티2로 97
지진실내구호소 덕문고등학교,부산 강서구 동선길 172
지진실내구호소 대저고등학교,부산 강서구 공항로811번가길 46
지진실내구호소 부산강서고등학교,부산 강서구 공항로1309번길 96-7
남산고등학교,부산 금정구 남산로 66
대진전자통신고등학교,부산 금정구 수림로 92
금정여자고등학교,부산 금정구 서부로76번길 21
브니엘고등학교,부산 금정구 체육공원로 154
부산예술고등학교,부산 금정구 체육공원로 20
부산과학고등학교,부산 금정구 금샘로 455-1
부산대학교 사범대학 부설고등학교,부산 금정구 기찰로22번길 30
내성고등학교,부산 금정구 서동로31번길 11
부산예원고등학교,부산 금정구 회천로13번길 60
동래여자고등학교,부산 금정구 체육공원로 20
부산정보관광고등학교,부산 금정구 동현로 37
지산고등학교,부산 금정구 오륜대로 50
금정전자고등학교,부산 금정구 서금로 75
부산경호고등학교,부산 금정구 서금로 91-5
브니엘예술고등학교,부산 금정구 체육공원로 154
브니엘여자고등학교,부산 금정구 체육공원로 154
IBK기업은행365 예원여자고등학교,부산 금정구 회천로13번길 60
지진옥외대피장소 남산고등학교,부산 금정구 남산로 66
지진실내구호소 부산대학교사범대학부설고등학교,부산 금정구 기찰로22번길 30
지진옥외대피장소 부산예술고등학교,부산 금정구 체육공원로 20
지진옥외대피장소 내성고등학교,부산 금정구 서동로31번길 11
지진실내구호소 부산과학고등학교,부산 금정구 금샘로 455-1
지진옥외대피장소 지산고등학교,부산 금정구 오륜대로 50
지진옥외대피장소 동래여자고등학교,부산 금정구 체육공원로 20
지진옥외대피장소 금정여자고등학교,부산 금정구 서부로76번길 21
지진실내구호소 남산고등학교,부산 금정구 남산로 66
지진옥외대피장소 부산정보관광고등학교,부산 금정구 동현로 37
지진옥외대피장소 부산과학고등학교,부산 금정구 금샘로 455-1
지진실내구호소 금정여자고등학교,부산 금정구 서부로76번길 21
롯데ATM BNK부산은행 부산예술고등학교,부산 금정구 구서동 67
기장고등학교,부산 기장군 기장읍 차성서로 77
부산장안고등학교,부산 기장군 장안읍 좌천리 425
정관고등학교,부산 기장군 정관읍 정관로 534
신정고등학교,부산 기장군 정관읍 정관3로 14
장안제일고등학교,부산 기장군 장안읍 좌천2길 43
지진옥외대피장소 부산장안고등학교,부산 기장군 장안읍 신좌천로 10
지진실내구호소 기장고등학교,부산 기장군 기장읍 차성서로 77
지진실내구호소 장안제일고등학교,부산 기장군 장안읍 좌천2길 43
지진옥외대피장소 정관고등학교,부산 기장군 정관읍 정관로 534
지진옥외대피장소 기장고등학교,부산 기장군 기장읍 차성서로 77
지진실내구호소 신정고등학교,부산 기장군 정관읍 정관3로 14
지진실내구호소 장안고등학교,부산 기장군 장안읍 신좌천로 10
지진옥외대피장소 신정고등학교,부산 기장군 정관읍 정관3로 14
부산고등학교,부산 동구 초량로40번길 23
경남여자고등학교,부산 동구 수정중로 29
부산컴퓨터과학고등학교,부산 동구 초량로80번길 5
금성고등학교,부산 동구 증산로 83
데레사여자고등학교,부산 동구 정공단로47번길 14
부산국제영화고등학교,부산 동구 고관로 68
경남여자고등학교 부설방송통신고등학교,부산 동구 수정중로 29
지진옥외대피장소 금성고등학교,부산 동구 증산로 83
지진옥외대피장소 부산컴퓨터과학고등학교,부산 동구 초량로80번길 5
지진옥외대피장소 경남여자고등학교,부산 동구 수정중로 29
지진옥외대피장소 부산고등학교,부산 동구 초량로40번길 23
지진실내구호소 부산고등학교,부산 동구 초량로40번길 23
부산전자공업고등학교,부산 동래구 금강로59번길 51
동래고등학교,부산 동래구 충렬대로285번길 22
동래원예고등학교,부산 동래구 금강로 43
사직고등학교,부산 동래구 쇠미로119번길 51
충렬고등학교,부산 동래구 명장로106번길 26
동인고등학교,부산 동래구 쇠미로31번길 34
부산중앙여자고등학교,부산 동래구 온천천로 131
용인고등학교,부산 동래구 시실로107번길 37
학산여자고등학교,부산 동래구 충렬사로51번길 62
금정고등학교,부산 동래구 명장로63번길 60-14
대명여자고등학교,부산 동래구 시실로 135
혜화여자고등학교,부산 동래구 명장로99번길 23
사직여자고등학교,부산 동래구 쇠미로27번길 21
동래고등학교 부설방송통신고등학교,부산 동래구 충렬대로285번길 22
지진옥외대피장소 동래원예고등학교,부산 동래구 금강로 43
지진실내구호소 동래원예고등학교,부산 동래구 금강로 43
지진옥외대피장소 대명여자고등학교,부산 동래구 시실로 135
지진실내구호소 부산중앙여자고등학교,부산 동래구 온천천로 131
지진옥외대피장소 부산전자공업고등학교,부산 동래구 금강로59번길 51
지진옥외대피장소 부산중앙여자고등학교,부산 동래구 온천천로 131
지진옥외대피장소 사직고등학교,부산 동래구 쇠미로119번길 51
지진실내구호소 부산전자공업고등학교,부산 동래구 금강로59번길 51
지진옥외대피장소 충렬고등학교,부산 동래구 명장로106번길 26
지진옥외대피장소 혜화여자고등학교,부산 동래구 명장로99번길 23
지진옥외대피장소 동인고등학교,부산 동래구 쇠미로31번길 34
지진실내구호소 충렬고등학교,부산 동래구 명장로106번길 26
지진옥외대피장소 학산여자고등학교,부산 동래구 충렬사로51번길 61
지진옥외대피장소 용인고등학교,부산 동래구 시실로107번길 37
지진옥외대피장소 금정고등학교,부산 동래구 명장로63번길 60-14
지진실내구호소 동래고등학교,부산 동래구 충렬대로285번길 22
지진옥외대피장소 동래고등학교,부산 동래구 충렬대로285번길 22
지진실내구호소 대명여자고등학교,부산 동래구 시실로 135
지진옥외대피장소 사직여자고등학교,부산 동래구 쇠미로27번길 21
