매장명,주소
BH대학효요양병원,부산 서구 구덕로 164-7
BNK부산은행 부산외국어대학교영업소,부산 금정구 금샘로485번길 65
CU 부산대학역점,부산 금정구 부곡온천천로 32
EiE고려대학교 영어교육프로그램 구서어학원,부산 금정구 금강로 429-1 6층
EIE고려대학교국제어학원,부산 강서구 명지국제8로 264
EiE고려대학교국제어학원,부산 해운대구 센텀2로 19
EiE고려대학교국제어학원 다대캠퍼스,부산 사하구 다송로 14
EiE고려대학교국제어학원 반여캠퍼스,부산 해운대구 반여로 104
KB국민은행ATM 영산대학교 부산캠퍼스,부산 해운대구 반송순환로 142
NC백화점 부산대점,부산 금정구 부산대학로63번길 2
갈비대학교,부산 사상구 주례로27번길 7
경남정보대학교 ICT관,부산 사상구 주례로 45
경남정보대학교 KIT식품과학관,부산 사상구 주례로 47
경남정보대학교 KIT학생생활관2관,부산 사상구 주례로 57
경남정보대학교 KIT학생생활관3,부산 사상구 가야대로366번길 166
경남정보대학교 간호학과,부산 사상구 주례로 45 K메디컬센터 4층
경남정보대학교 산학협력단,부산 사상구 주례로 45 6층
경남정보대학교 센텀산학캠퍼스 전기차충전소,부산 해운대구 센텀중앙로 55 지하주차장 2층
경남정보대학교 센텀캠퍼스,부산 해운대구 센텀중앙로 55
경남정보대학교 우편취급국,부산 사상구 주례로 45 경남정보대학교 학생회관 1층
경남정보대학교 주차장1,부산 사상구 주례동 51-1
경남정보대학교 케이테크밸리,부산 사상구 주례로27번길 34
경남정보대학교 평생교육원,부산 사상구 주례로 45 경남정보대학교 ICT빌딩 5층 502호
경남정보대학교예비군대대,부산 사상구 가야대로360번길 48
경상국립대학교 부산지구총동창회,부산 동래구 금강로 69
고려대학교EIE어학원 광안캠퍼스,부산 수영구 호암로29번길 45 3층
고신대학교 개혁주의학술원,부산 영도구 와치로 194
고신대학교 보건대학원,부산 서구 감천로 262
고신대학교 복음병원 교직원전용주차장,부산 서구 암남동 685-18
고신대학교 복음병원 직원주차장,부산 서구 암남동 41-10
고신대학교 복음병원 치과,부산 서구 감천로 262 5동 13층
고신대학교 산학협력단,부산 동구 중앙대로 197
고신대학교 산학협력단,부산 영도구 와치로 250
고신대학교 영도캠퍼스 벧엘1관,부산 영도구 와치로 185
고신대학교 영도캠퍼스 벧엘2관,부산 영도구 와치로 173-1
고신대학교 영도캠퍼스 후문,부산 영도구 동삼동 153
고신대학교 평생교육원,부산 영도구 와치로 194 희망관 2층 3216호
구두대학병원,부산 연제구 중앙대로 1078
국제선물나도대학&아카데미,부산 해운대구 양운로80번길 22 해동빌딩 8층
그라찌에 영산대학교 해운대캠퍼스점,부산 해운대구 반송순환로 142 M관
기장군불교청년회 기장불교대학,부산 기장군 기장읍 차성남로89번길 10 3층
김해국제공항의원,부산 강서구 대저2동 2350-1
나이스파크 동아대학교 구덕1캠퍼스 요양병원,부산 서구 대신공원로 32
나이스파크 동아대학교부민캠퍼스,부산 서구 구덕로 225
나이스파크 부산교육대학교 부설주차장,부산 연제구 교대로 24
다비치안경 부산대학점,부산 금정구 부산대학로 24 명찬타워
다솜노인대학,부산 사상구 백양대로 527
대동대학교,부산 금정구 동부곡로27번길 88
대동대학교 디아트홀,부산 금정구 부곡동 375-1
대동대학교 생활관,부산 금정구 동현로 77-1
대동대학교 평생교육원,부산 금정구 중앙대로 1610 대동빌딩
대동대학교 한울관,부산 금정구 부곡동 278-18
대동대학교 후문,부산 금정구 부곡동 364-19
대원불교대학,부산 금정구 중앙대로1944번길 13
대학가는길영어국어학원,부산 강서구 명지국제8로 259
대학디지털포토,부산 사상구 가야대로366번길 4
대학병원안경,부산 서구 구덕로186번길 3-6
대학복사,부산 해운대구 아랫반송로59번길 63
대학사진관,부산 사하구 장평로449번길 10
대학성숯불갈비,부산 연제구 교대로11번길 3
대학식당,부산 서구 구덕로185번길 22-7
대학식당 분점,부산 서구 구덕로185번길 32-1
대학안경,부산 서구 까치고개로 210-1
대학약국,부산 금정구 부산대학로49번길 17
대학약국,부산 동래구 충렬대로181번길 21
대학약국,부산 서구 구덕로 188
대학약국,부산 서구 감천로 261
대학약국,부산 해운대구 좌동순환로 252 대원아파트 상가동 105호
대학약국,부산 해운대구 해운대로 794
대학운동구,부산 금정구 금강로 237
대학주차장,부산 금정구 장전동 336-2
대학태권도체육관,부산 사하구 괴정로270번길 34 협진태양아파트 상가동 2층
대학피아노사,부산 동래구 중앙대로 1433
동경대학,부산 해운대구 구남로29번길 39
동국불교 전법대학,부산 동구 범일로102번길 8
동부산대학 동남식품개발,부산 해운대구 운봉길 60
동서대학교 CTL 교수학습개발센터,부산 사상구 주례동 85-1
동서대학교 경영대학원,부산 사상구 주례로 47 국제협력관 3층
동서대학교 구내서점,부산 사상구 주례동 산 64 학생프라자 3층
동서대학교 동서시뮬레이션센터,부산 사상구 주례로 47 2층
동서대학교 디자인전문대학원,부산 사상구 주례로 47 뉴밀레니엄관 708호
동서대학교 민석도서관,부산 사상구 주례동 85-3
동서대학교 센텀캠퍼스 주차장,부산 해운대구 우동 1465
동서대학교 소프트웨어중심대학사업단,부산 사상구 주례로 47 뉴밀레니엄관 2층
동서대학교 소향아트홀,부산 사상구 주례로 47 동서대학교 뉴밀레니엄관 2층
동서대학교 스튜던트플라자,부산 사상구 주례동 산 64
동서대학교 야외운동장,부산 사상구 주례동 산 69-1
동서대학교 인터내셔널 컬리지빌딩,부산 사상구 주례동 92-442
동서대학교 입학처,부산 사상구 주례동 산 64 동서대학교 스튜던트플라자 2층
동서대학교 전기차충전소,부산 사상구 주례로 47 뉴밀레니엄관 주차장 지상1층 입구1
동서대학교 정문,부산 사상구 주례동 166-204
동서대학교 주차장2,부산 사상구 주례동 산 68
동서대학교 중국연구센터,부산 사상구 주례로 47 어문관 7층
동서대학교 콘서트홀,부산 사상구 주례로 57 문화센터 지하1층
동서대학교 평생교육원 명지교육장,부산 강서구 명지오션시티4로 88 성원메디칼빌딩 8층
동아 대학교승학캠퍼스 창업관,부산 사하구 낙동대로550번길 37
동아대학교 고기능성밸브기술지원센터,부산 사하구 낙동대로550번길 37 승학캠퍼스 산학관 226호
동아대학교 고시반지독료,부산 서구 망양로92번길 15
동아대학교 구내서점,부산 서구 구덕로 225 국제관 지하1층
동아대학교 구덕캠퍼스 정문,부산 서구 대신공원로 26
동아대학교 국어문화원,부산 사하구 낙동대로550번길 37 동아대학교 인문과학대학 1113호
동아대학교 글로벌비즈니스대학,부산 서구 구덕로 225 부민캠퍼스 국제관 256호
동아대학교 낙동주차장입구,부산 사하구 하단동 835-1
동아대학교 동아한국어학당,부산 서구 임시수도기념로 18
동아대학교 석당글로벌하우스,부산 중구 대청로 30-1
동아대학교 소비자생활협동조합,부산 사하구 낙동대로550번길 37 학생회관 312호
동아대학교 승학캠퍼스 구내서점,부산 사하구 낙동대로550번길 37 학생회관 지하1층
동아대학교 예술대학,부산 서구 망양로111번길 32-7
동아대학교 예술체육대학,부산 사하구 낙동대로550번길 37 1관
동아대학교 직장어린이집,부산 사하구 하단동 산 3-1 한림생활관 승학2관 지하1층
동아대학교 총무과,부산 사하구 낙동대로550번길 37 인문대 201호
동아대학교 태솔교육원,부산 사하구 낙동대로550번길 37 동아대학교 언어교육원 5층
동아대학교 학생복지과,부산 사하구 낙동대로550번길 37 동아대학교 승학캠퍼스 대학본부(s01건물) 2층 A221호
동아대학교 한림생활관구덕관,부산 서구 대영로27번길 62
동아대학교 한림생활관승학2관,부산 사하구 하단동 산 3-1
동아대학교기술지주,부산 사하구 낙동대로550번길 37 동아대학교 창업관
동아대학교대신병원,부산 서구 대신공원로 26 동아대학교대신병원
동아대학교병원 교직원식당,부산 서구 대신공원로 26 지하2층
동아대학교병원 종합건강증진센터,부산 서구 대신공원로 26 중앙관 1층
동아대학교병원 푸드코트,부산 서구 대신공원로 26 중앙관 지하1층
동아대학교총동문회,부산 서구 대신공원로 17
동아리퍼머대학 구서점,부산 금정구 두실로45번길 21
동주대학교 부속유치원,부산 사하구 사리로55번길 13
두송노인대학,부산 사하구 다송로 59
롯데ATM 세븐일레븐 부산폴리텍대학,부산 북구 만덕대로155번길 29
메디팜대학약국,부산 기장군 기장읍 차성남로51번길 30 1층
메디팜대학약국,부산 서구 보수대로280번길 39-3
목포해양대학교총동창회,부산 중구 중앙대로115번길 1-6 부원빌딩 205호
반송노인대학,부산 해운대구 아랫반송로26번길 46
배스킨라빈스 부산대학교점,부산 금정구 부산대학로 53 1층
백설대학,부산 영도구 웃서발로 72
범어사금정불교대학,부산 금정구 상마1길 20 선문화교육관 1층
범어사불교대학동문회관,부산 금정구 팔송로7번길 5
범일노인대학,부산 동구 범곡로 9
부경대학교 수산과학연구소,부산 기장군 일광읍 일광로 474
부경오피스 (대학복사),부산 연제구 법원남로10번길 23-1
부산 경상대학교 평생교육원,부산 연제구 고분로 170 진리관 3층
부산 과학기술대학교 진리관,부산 북구 시랑로132번길 88
부산 대학교병원 통합의학센터,부산 서구 구덕로193번길 12-2
부산가톨릭대학교,부산 금정구 오륜대로 57
부산가톨릭대학교 간호대학,부산 금정구 오륜대로 74
부산가톨릭대학교 김종륜 루카관(SC),부산 금정구 기찰로102번길 56-7
