매장명,주소,Unnamed: 2
경남중학교,부산 서구 까치고개로229번길 7,
부산대신중학교,부산 서구 대신로109번길 10,
부산중앙여자중학교,부산 서구 대신로 59-32,
대신여자중학교,부산 서구 보동길 268,
부산여자중학교,부산 서구 보수대로 282-23,
초장중학교,부산 서구 해돋이로 205,
송도중학교,부산 서구 해양로 15,
지진실내구호소 경남중학교,부산 서구 까치고개로229번길 7,
지진옥외대피장소 대신여자중학교,부산 서구 보동길 268,
지진실내구호소 부산대신중학교,부산 서구 대신로109번길 10,
지진옥외대피장소 경남중학교,부산 서구 까치고개로229번길 7,
지진옥외대피장소 초장중학교,부산 서구 해돋이로 205,
지진옥외대피장소 부산대신중학교,부산 서구 대신로109번길 10,
지진실내구호소 초장중학교,부산 서구 해돋이로 205,
지진옥외대피장소 부산여자중학교,부산 서구 보수대로 282-23,
부산수영중학교,부산 수영구 호암로 38,
동아중학교,부산 수영구 호암로 55,
한바다중학교,부산 수영구 광안로21번가길 57,
동수영중학교,부산 수영구 광서로 74,
광안중학교,부산 수영구 연수로310번길 127,
망미중학교,부산 수영구 망미배산로 102,
지진옥외대피장소 동수영중학교,부산 수영구 광서로 74,
지진옥외대피장소 동아중학교,부산 수영구 호암로 45,
지진실내구호소 한바다중학교,부산 수영구 광안로21번가길 57,
지진옥외대피장소 망미중학교,부산 수영구 망미배산로 102,
지진옥외대피장소 한바다중학교,부산 수영구 광안로21번가길 57,
지진실내구호소 부산수영중학교,부산 수영구 호암로 38,
지진실내구호소 광안중학교,부산 수영구 연수로310번길 127,
지진옥외대피장소 광안중학교,부산 수영구 연수로310번길 127,
지진옥외대피장소 부산수영중학교,부산 수영구 호암로 38,
연제중학교,부산 연제구 쌍미천로 62,
연산중학교,부산 연제구 고분로56번길 39,
거제여자중학교,부산 연제구 금용로 43,
거성중학교,부산 연제구 해맞이로109번길 61,
연일중학교,부산 연제구 고분로 138,
연천중학교,부산 연제구 톳고개로 16,
이사벨중학교,부산 연제구 중앙대로 1197,
토현중학교,부산 연제구 토현로 47,
지진옥외대피장소 이사벨중학교,, 지구촌고등학교|부산 연제구 중앙대로 1197
지진실내구호소 거제여자중학교,부산 연제구 금용로 43,
지진옥외대피장소 거성중학교,부산 연제구 해맞이로109번길 61,
지진실내구호소 토현중학교,부산 연제구 토현로 47,
지진실내구호소 연일중학교,부산 연제구 고분로 138,
지진옥외대피장소 연천중학교,부산 연제구 톳고개로 16,
지진옥외대피장소 연제중학교,부산 연제구 쌍미천로 62,
지진옥외대피장소 토현중학교,부산 연제구 토현로 47,
부산영선중학교,부산 영도구 영상길 83,
신선중학교,부산 영도구 복지관길 40,
영도제일중학교,부산 영도구 중리로 64,
남도여자중학교,부산 영도구 남도여중길 130,
해동중학교,부산 영도구 절영로490번길 8-22,
태종대중학교,부산 영도구 함지로79번길 9,
부산남중학교,부산 영도구 절영로73번길 7,
부산체육중학교,부산 영도구 중리북로21번길 5,
지진옥외대피장소 부산영선중학교,부산 영도구 영상길 83,
지진옥외대피장소 해동중학교,부산 영도구 절영로490번길 8-22,
지진옥외대피장소 부산남중학교,부산 영도구 절영로73번길 7,
지진옥외대피장소 신선중학교,부산 영도구 복지관길 40,
지진옥외대피장소 남도여자중학교,부산 영도구 남도여중길 130,
지진옥외대피장소 영도중학교,부산 영도구 중리로 64,
지진옥외대피장소 태종대중학교,부산 영도구 함지로79번길 9,
해운대여자중학교,부산 해운대구 우동1로85번길 25,
