매장명,주소
명지초등학교,부산 강서구 명지국제6로 296
가락초등학교,부산 강서구 호계로 41
명호초등학교,부산 강서구 명지오션시티2로 41
명문초등학교,부산 강서구 명지국제8로 195
명원초등학교,부산 강서구 명지국제6로 147
녹산초등학교,부산 강서구 과학산단2로20번길 55
송정초등학교,부산 강서구 신호산단4로 10
신호초등학교,부산 강서구 신호산단2로75번길 12
신명초등학교,부산 강서구 명지국제7로 178
대저초등학교,부산 강서구 대저로29번길 27
녹명초등학교,부산 강서구 낙동남로 617
대상초등학교,부산 강서구 대저로 249
덕두초등학교,부산 강서구 공항로791번길 68
남명초등학교,부산 강서구 명지오션시티11로 132
배영초등학교,부산 강서구 공항로339번길 260
명일초등학교,부산 강서구 명지국제5로 170-5
오션초등학교,부산 강서구 명지오션시티6로 72
대사초등학교,부산 강서구 낙동북로73번길 29
천가초등학교,부산 강서구 동선길 135
지진옥외대피장소 신명초등학교,부산 강서구 명지국제7로 178
지진옥외대피장소 대사초등학교,부산 강서구 낙동북로73번길 29
지진옥외대피장소 녹산초등학교,부산 강서구 과학산단2로20번길 55
지진옥외대피장소 덕두초등학교,부산 강서구 공항로791번길 68
지진실내구호소 오션초등학교,부산 강서구 명지오션시티6로 72
지진옥외대피장소 오션초등학교,부산 강서구 명지오션시티1로 221
지진실내구호소 덕두초등학교,부산 강서구 공항로791번길 68
지진옥외대피장소 송정초등학교,부산 강서구 신호산단2로75번길 12
지진실내구호소 명호초등학교,부산 강서구 명지오션시티2로 41
지진실내구호소 녹산초등학교,부산 강서구 과학산단2로20번길 55
지진옥외대피장소 녹명초등학교,부산 강서구 낙동남로 617
지진옥외대피장소 가락초등학교,부산 강서구 호계로 41
지진실내구호소 녹명초등학교,부산 강서구 낙동남로 617
지진실내구호소 남명초등학교,부산 강서구 명지오션시티11로 132
지진옥외대피장소 천가초등학교,부산 강서구 동선길 135
지진옥외대피장소 배영초등학교,부산 강서구 공항로339번길 260
지진실내구호소 신호초등학교,부산 강서구 신호산단2로75번길 12
지진옥외대피장소 대저초등학교,부산 강서구 대저로29번길 27
지진옥외대피장소 명호초등학교,부산 강서구 명지오션시티2로 41
지진실내구호소 천가초등학교,부산 강서구 동선길 135
지진옥외대피장소 신호초등학교,부산 강서구 신호산단2로75번길 12
지진옥외대피장소 명지초등학교,부산 강서구 명지국제6로 296
지진실내구호소 명지초등학교,부산 강서구 명지국제6로 296
지진옥외대피장소 대상초등학교,부산 강서구 대저로 249
지진옥외대피장소 남명초등학교,부산 강서구 명지오션시티11로 132
금정초등학교,부산 금정구 식물원로44번길 46
남산초등학교,부산 금정구 금강로 614
청룡초등학교,부산 금정구 팔송로 6
장전초등학교,부산 금정구 수림로 90
구서초등학교,부산 금정구 구서중앙로 35
부곡초등학교,부산 금정구 기찰로22번길 15
장서초등학교,부산 금정구 금강로453번길 26-7
동현초등학교,부산 금정구 동현로 36
동래초등학교,부산 금정구 체육공원로44번길 26
두실초등학교,부산 금정구 중앙대로1893번길 33
금성초등학교,부산 금정구 중리1길 15
금빛초등학교,부산 금정구 소정로 31
금양초등학교,부산 금정구 중앙대로 1755
금사초등학교,부산 금정구 윤산로 279
서동초등학교,부산 금정구 동현로 147
금샘초등학교,부산 금정구 금샘로 525
공덕초등학교,부산 금정구 대두로 2
동상초등학교,부산 금정구 옥봉로 5
현곡초등학교,부산 금정구 동부곡로27번라길 20
부산삼육초등학교,부산 금정구 금정도서관로 17
서명초등학교,부산 금정구 명서로 48
지진옥외대피장소 두실초등학교,부산 금정구 중앙대로1893번길 33
지진옥외대피장소 구서초등학교,부산 금정구 구서중앙로 35
지진실내구호소 장전초등학교,부산 금정구 수림로 90
지진옥외대피장소 동상초등학교,부산 금정구 옥봉로 5
지진실내구호소 금샘초등학교,부산 금정구 금샘로 525
지진옥외대피장소 금정초등학교,부산 금정구 식물원로44번길 46
지진옥외대피장소 청룡초등학교,부산 금정구 팔송로 6
지진옥외대피장소 서명초등학교,부산 금정구 명서로 48
지진옥외대피장소 금양초등학교,부산 금정구 중앙대로 1755
지진실내구호소 금빛초등학교,부산 금정구 소정로 31
지진옥외대피장소 현곡초등학교,부산 금정구 동부곡로27번라길 20
지진옥외대피장소 금샘초등학교,부산 금정구 금샘로 525
지진옥외대피장소 서동초등학교,부산 금정구 동현로 147
지진실내구호소 금정초등학교,부산 금정구 식물원로44번길 46
지진옥외대피장소 남산초등학교,부산 금정구 금강로 614
지진실내구호소 두실초등학교,부산 금정구 중앙대로1893번길 33
지진옥외대피장소 장서초등학교,부산 금정구 금강로453번길 26-7
지진옥외대피장소 동현초등학교,부산 금정구 동현로 36
지진옥외대피장소 금빛초등학교,부산 금정구 소정로 31
지진옥외대피장소 공덕초등학교,부산 금정구 대두로 2
지진실내구호소 구서초등학교,부산 금정구 구서중앙로 35
지진옥외대피장소 금성초등학교,부산 금정구 중리1길 15
지진옥외대피장소 동래초등학교,부산 금정구 구서동 74-10
지진실내구호소 현곡초등학교,부산 금정구 동부곡로27번라길 20
지진옥외대피장소 장전초등학교,부산 금정구 수림로 90
지진옥외대피장소 부곡초등학교,부산 금정구 기찰로22번길 15
교리초등학교,부산 기장군 기장읍 차성로 427
용암초등학교,부산 기장군 기장읍 기장해안로 577
부산일광초등학교,부산 기장군 일광읍 해빛로 46
기장초등학교,부산 기장군 기장읍 읍내로 69
가동초등학교,부산 기장군 정관읍 정관5로 100
장안초등학교,부산 기장군 장안읍 장안로 67-4
모전초등학교,부산 기장군 정관읍 정관1로 17
좌천초등학교,부산 기장군 장안읍 좌천로 13-66
월평초등학교,부산 기장군 정관읍 월평1길 21
신정초등학교,부산 기장군 정관읍 정관로 460
달산초등학교,부산 기장군 정관읍 정관로 674
월내초등학교,부산 기장군 장안읍 길천2길 25
방곡초등학교,부산 기장군 정관읍 정관덕산길 61
신진초등학교,부산 기장군 철마면 고촌로28번길 10
대청초등학교,부산 기장군 기장읍 차성서로 31
철마초등학교,부산 기장군 철마면 철마로 493
해빛초등학교,부산 기장군 일광읍 해빛6로 9
정원초등학교,부산 기장군 정관읍 정관로 423
죽성초등학교,부산 기장군 기장읍 죽성로 270
칠암초등학교,부산 기장군 일광읍 박영준길 19
내리초등학교,부산 기장군 기장읍 소정안길 50
정관초등학교,부산 기장군 정관읍 정관로 530
공중전화 솔바람언덕공원광장앞 (구)내리초등학교,부산 기장군 기장읍 내리 807
지진옥외대피장소 교리초등학교,부산 기장군 기장읍 차성로 427
지진옥외대피장소 일광초등학교,부산 기장군 일광읍 이화로 147
지진옥외대피장소 기장초등학교,부산 기장군 기장읍 읍내로 69
지진옥외대피장소 죽성초등학교,부산 기장군 기장읍 죽성로 270
지진옥외대피장소 철마초등학교,부산 기장군 철마면 철마로 493
지진옥외대피장소 정원초등학교,부산 기장군 정관읍 정관로 423
지진실내구호소 월내초등학교,부산 기장군 장안읍 길천2길 25
지진옥외대피장소 용암초등학교,부산 기장군 기장읍 기장해안로 577
지진실내구호소 가동초등학교,부산 기장군 정관읍 정관5로 100
지진실내구호소 일광초등학교,부산 기장군 일광읍 해빛로 46
지진옥외대피장소 가동초등학교,부산 기장군 정관읍 정관5로 100
지진실내구호소 달산초등학교,부산 기장군 정관읍 정관로 674
지진실내구호소 교리초등학교,부산 기장군 기장읍 차성로 427
지진옥외대피장소 해빛초등학교,부산 기장군 일광읍 해빛6로 9
지진옥외대피장소 대청초등학교,부산 기장군 기장읍 차성서로 31
지진옥외대피장소 월내초등학교,부산 기장군 장안읍 길천2길 25
지진옥외대피장소 칠암초등학교,부산 기장군 일광읍 박영준길 19
지진실내구호소 철마초등학교,부산 기장군 철마면 철마로 493
지진옥외대피장소 내리초등학교,부산 기장군 기장읍 소정안길 50
지진옥외대피장소 모전초등학교,부산 기장군 정관읍 정관1로 17
지진실내구호소 내리초등학교,부산 기장군 기장읍 소정안길 50
지진실내구호소 칠암초등학교,부산 기장군 일광읍 박영준길 19
지진옥외대피장소 월평초등학교,부산 기장군 정관읍 월평1길 21
지진실내구호소 정관초등학교,부산 기장군 정관읍 정관로 530
지진실내구호소 방곡초등학교,부산 기장군 정관읍 정관덕산길 61
지진옥외대피장소 신정초등학교,부산 기장군 정관읍 정관로 460
지진실내구호소 신진초등학교,부산 기장군 철마면 고촌로28번길 10
지진실내구호소 기장초등학교,부산 기장군 기장읍 읍내로 69
지진옥외대피장소 좌천초등학교,부산 기장군 장안읍 좌천로 13-66
지진옥외대피장소 신진초등학교,부산 기장군 철마면 고촌로28번길 10
지진실내구호소 정원초등학교,부산 기장군 정관읍 정관로 423
지진옥외대피장소 정관초등학교,부산 기장군 정관읍 정관로 530
지진실내구호소 장안초등학교,부산 기장군 장안읍 장안로 67-4
지진옥외대피장소 달산초등학교,부산 기장군 정관읍 정관로 674
지진옥외대피장소 방곡초등학교,부산 기장군 정관읍 정관덕산길 61
지진실내구호소 신정초등학교,부산 기장군 정관읍 정관로 460
지진실내구호소 좌천초등학교,부산 기장군 장안읍 좌천로 13-66
지진옥외대피장소 장안초등학교,부산 기장군 장안읍 장안로 67-4
범일초등학교,부산 동구 증산서로 55
수정초등학교,부산 동구 진성로 29
성남초등학교,부산 동구 범일로53번길 14
초량초등학교,부산 동구 초량상로 49
동일중앙초등학교,부산 동구 구봉로 46
수성초등학교,부산 동구 망양로 807
지진옥외대피장소 초량초등학교,부산 동구 초량상로 49
지진옥외대피장소 범일초등학교,부산 동구 증산서로 55
지진옥외대피장소 (구)좌천초등학교,부산 동구 증산서로 18
지진옥외대피장소 성남초등학교,부산 동구 범일로53번길 14
지진실내구호소 동일중앙초등학교,부산 동구 구봉로 46
지진옥외대피장소 수정초등학교,부산 동구 진성로 29
지진옥외대피장소 동일중앙초등학교,부산 동구 구봉로 46
지진실내구호소 범일초등학교,부산 동구 증산서로 55
지진옥외대피장소 수성초등학교,부산 동구 망양로 807
온천초등학교,부산 동래구 충렬대로107번길 124
안민초등학교,부산 동래구 온천천로381번길 19
명륜초등학교,부산 동래구 동래로 91
금강초등학교,부산 동래구 사직북로28번길 125
안남초등학교,부산 동래구 연안로 46
낙민초등학교,부산 동래구 충렬대로272번길 34
온샘초등학교,부산 동래구 충렬대로75번길 25
미남초등학교,부산 동래구 충렬대로100번길 83
사직초등학교,부산 동래구 쇠미로81번길 7
예원초등학교,부산 동래구 사직로 78
안락초등학교,부산 동래구 명안로53번길 22
달북초등학교,부산 동래구 쇠미로 131
충렬초등학교,부산 동래구 안락로125번길 22
내성초등학교,부산 동래구 동래로 173
여고초등학교,부산 동래구 여고로63번가길 12
교동초등학교,부산 동래구 시실로 73-13
명서초등학교,부산 동래구 명서로 121
명장초등학교,부산 동래구 복천로 121
내산초등학교,부산 동래구 중앙대로1335번길 38
안진초등학교,부산 동래구 안남로 63
혜화초등학교,부산 동래구 명장로99번길 25
수안초등학교,부산 동래구 온천천로 215
명동초등학교,부산 동래구 명장로63번길 60-5
온천2초등학교,부산 동래구 충렬대로75번길 25
덕천초등학교,부산 북구 덕천2길 10
백산초등학교,부산 북구 덕천로259번길 23
구포초등학교,부산 북구 백양대로1124번길 20
백양초등학교,부산 북구 상리로18번길 12
구남초등학교,부산 북구 구남로14번가길 23
덕성초등학교,부산 북구 만덕대로39번길 45
포천초등학교,부산 북구 시랑로 115
화명초등학교,부산 북구 대천천길 65
부산명덕초등학교,부산 북구 금곡대로186번길 43
양덕초등학교,부산 북구 팽나무로 58
와석초등학교,부산 북구 화명대로94번길 83
상학초등학교,부산 북구 상학산복길 191
양천초등학교,부산 북구 덕천로 132
만덕초등학교,부산 북구 만덕1로 72
용수초등학교,부산 북구 화명신도시로 53
화정초등학교,부산 북구 의성로 23
금명초등학교,부산 북구 화명신도시로 197
금곡초등학교,부산 북구 효열로 174
신천초등학교,부산 북구 모분재로 83
신금초등학교,부산 북구 효열로 42
대천리초등학교,부산 북구 산성로 87-10
학사초등학교,부산 북구 용당로15번길 20
덕양초등학교,부산 북구 함박봉로 42
화잠초등학교,부산 북구 화명대로 97-25
명진초등학교,부산 북구 화명신도시로 159
신덕초등학교,부산 북구 함박봉로140번가길 25
금창초등학교,부산 북구 효열로235번길 14
사상초등학교,부산 사상구 운산로 65
주감초등학교,부산 사상구 양지로 48
엄궁초등학교,부산 사상구 엄궁로191번길 23
감전초등학교,부산 사상구 괘감로 132
학장초등학교,부산 사상구 대동로 205
모산초등학교,부산 사상구 모라로110번길 93
구학초등학교,부산 사상구 학감대로 49
동주초등학교,부산 사상구 가야대로306번길 72
덕포초등학교,부산 사상구 삼덕로 83
모덕초등학교,부산 사상구 덕상로 120
동궁초등학교,부산 사상구 엄궁로 70-7
