매장명,주소
가락중학교,서울 송파구 송이로 45
가산중학교,서울 금천구 시흥대로115길 48
가원중학교,서울 송파구 중대로10길 40-18
가재울중학교,서울 서대문구 수색로 100-75
강남중학교,서울 동작구 대방동15길 29
강동중학교,서울 강동구 풍산로 237
강명중학교,서울 강동구 상일로12길 56
강북중학교,서울 강북구 한천로150길 67
강빛중학교,서울 강동구 아리수로93다길 1
강신중학교,서울 양천구 남부순환로 604
강일중학교,서울 강동구 고덕로27길 12
강현중학교,서울 동작구 상도로13라길 22
개봉중학교,서울 구로구 고척로21나길 68
개운중학교,서울 성북구 북악산로 935
개웅중학교,서울 구로구 개봉로11길 81
개원중학교,서울 강남구 영동대로 101
거원중학교,서울 송파구 양산로2길 30
건국대학교 사범대학부속중학교,서울 광진구 자양로 145-1
경서중학교,서울 강서구 양천로59길 31
경성중학교,서울 마포구 성미산로 111
경수중학교,서울 성동구 뚝섬로13길 14
경신중학교,서울 종로구 혜화로 74
경원중학교,서울 서초구 신반포로33길 39
경인중학교,서울 구로구 경인로 301
경일중학교,서울 성동구 성수일로 27
경희여자중학교,서울 동대문구 경희대로 26
경희중학교,서울 동대문구 경희대로 26
고덕중학교,서울 강동구 동남로82길 94
고려대학교사범대학 부속중학교,서울 성북구 정릉로 161
고명중학교,서울 성북구 북악산로 870
고척중학교,서울 구로구 중앙로3길 20
공릉중학교,서울 노원구 노원로1길 42
공항중학교,서울 강서구 방화대로 241
관악중학교,서울 관악구 남부순환로237길 60
광남중학교,서울 광진구 아차산로70길 17-62
광성중학교,서울 마포구 신수로8길 20
광신중학교,서울 관악구 광신길 141
광양중학교,서울 광진구 자양로3길 7
광운중학교,서울 노원구 광운로1길 24
광장중학교,서울 광진구 광장로1길 1
광진중학교,서울 광진구 뚝섬로64길 45
광희중학교,서울 성동구 독서당로62길 46
구로중학교,서울 구로구 구로중앙로 48
구룡중학교,서울 강남구 선릉로 103
구산중학교,서울 은평구 갈현로15길 20-23
구암중학교,서울 관악구 성현로 53
구의중학교,서울 광진구 광나루로30길 80
구일중학교,서울 구로구 구일로 90-133
국립국악중학교,서울 강남구 개포로22길 65
국립전통예술중학교,서울 금천구 시흥대로38길 62
국사봉중학교,서울 동작구 양녕로20길 20
그린존 난우중학교,서울 관악구 난곡로16길 32
그린존 남강중학교,서울 관악구 난곡로34길 71
그린존 휘경중학교,서울 동대문구 망우로18나길 20
금옥중학교,서울 양천구 신정로 213
금호여자중학교,서울 중구 청구로 6
길음중학교,서울 성북구 길음로 144
난곡중학교,서울 금천구 문성로 67
난우중학교,서울 관악구 난곡로16길 32
남강중학교,서울 관악구 난곡로34길 80
남대문중학교,서울 성북구 한천로 660-30
남서울중학교,서울 관악구 남부순환로172길 97
남성중학교,서울 동작구 남부순환로269길 166
내곡중학교,서울 서초구 신원동 324
노곡중학교,서울 도봉구 노해로70길 95
노원중학교,서울 노원구 동일로213길 26
노일중학교,서울 노원구 동일로231길 24
녹천중학교,서울 노원구 월계로 376
단국대학교사범대학 부속중학교,서울 강남구 도곡로64길 21
당곡중학교,서울 관악구 봉천로13길 101
당산서중학교,서울 영등포구 당산로41길 12
당산중학교,서울 영등포구 버드나루로 160
대경중학교,서울 중구 매봉18길 111
대광중학교,서울 동대문구 안암로 6
대림중학교,서울 영등포구 시흥대로185길 6
대명중학교,서울 강남구 역삼로87길 26
대방중학교,서울 동작구 여의대방로10길 24
대성중학교,서울 은평구 갈현로29길 51-24
대신중학교,서울 종로구 사직로 9
대영중학교,서울 영등포구 도림로80가길 14
대왕중학교,서울 강남구 광평로20길 7
대원국제중학교,서울 광진구 용마산로22길 26
대청중학교,서울 강남구 양재천로 321
대치중학교,서울 강남구 남부순환로378길 39
덕산중학교,서울 은평구 가좌로 400
덕성여자중학교,서울 종로구 율곡로3길 49
덕수중학교,서울 중구 마른내로9길 10
덕원중학교,서울 강서구 강서로45길 91-44
도곡중학교,서울 강남구 언주로57길 31
도봉중학교,서울 도봉구 마들로 671
동구여자중학교,서울 성북구 성북로8길 71
동국대학교 사범대학부속여자중학교,서울 광진구 광나루로36길 47
동국대학교사범대학 부속중학교,서울 동대문구 장안벚꽃로 201
동대문중학교,서울 동대문구 사가정로 59
동덕여자중학교,서울 서초구 효령로2길 123-5
동도중학교,서울 마포구 백범로 139
동마중학교,서울 성동구 마조로11길 18
동명여자중학교,서울 서대문구 독립문로 49
동북중학교,서울 강동구 강동대로 305
동성중학교,서울 종로구 대학로 156
동신중학교,서울 강동구 진황도로 72
동양중학교,서울 동작구 흑석로9길 94
동원중학교,서울 중랑구 양원역로 32
동일중학교,서울 금천구 탑골로10길 45
동작중학교,서울 동작구 동작대로39가길 83
둔촌중학교,서울 강동구 진황도로61길 25-30
등명중학교,서울 강서구 공항대로39길 39
등원중학교,서울 강서구 화곡로65길 50
등촌중학교,서울 강서구 공항대로 484-12
마곡중학교,서울 강서구 마곡중앙5로 58
마곡하늬중학교,서울 강서구 마곡서1로 16
마장중학교,서울 성동구 마장로35나길 31
마포중학교,서울 강서구 화곡로 403
면목중학교,서울 중랑구 용마산로70길 37
명덕여자중학교,서울 강서구 강서로47길 34-10
명일중학교,서울 강동구 양재대로156길 57
명지중학교,서울 서대문구 명지2길 56
목동중학교,서울 양천구 목동동로 172
목운중학교,서울 양천구 목동동로 235
목일중학교,서울 양천구 목동동로8길 70
무학중학교,서울 성동구 행당로 120
문래중학교,서울 영등포구 선유서로13길 6
문성중학교,서울 금천구 독산로102길 78
문일중학교,서울 금천구 시흥대로47길 45
문정중학교,서울 송파구 문정로 73
문창중학교,서울 동작구 여의대방로22나길 40
문현중학교,서울 송파구 충민로 99
미성중학교,서울 관악구 문성로16길 40
반포중학교,서울 서초구 신반포로 67
방배중학교,서울 서초구 동광로 144
방산중학교,서울 송파구 오금로29길 31
방원중학교,서울 강서구 금낭화로 268
방이중학교,서울 송파구 오금로11길 64
방학중학교,서울 도봉구 시루봉로 188
방화중학교,서울 강서구 개화동로27길 9
배명중학교,서울 송파구 삼학사로 11
배문중학교,서울 용산구 효창원로 258
배재중학교,서울 강동구 고덕로 227
배화여자중학교,서울 종로구 필운대로1길 34
백석중학교,서울 강서구 등촌로51나길 35
백운중학교,서울 도봉구 도봉로129길 50
번동중학교,서울 강북구 오현로35길 87
보성여자중학교,서울 용산구 신흥로3가길 66
보성중학교,서울 송파구 양재대로 1278
보인중학교,서울 송파구 오금로49길 18
봉림중학교,서울 관악구 장군봉길 72
봉영여자중학교,서울 양천구 목동동로2길 68
