매장명,주소
감천산림공원,부산 사하구 감천동 130
강변공원,부산 기장군 정관읍 달산리 141-17
거님길공원,부산 기장군 철마면 고촌리 683
고리동산,부산 기장군 장안읍 길천리 467-1
곰내재숲속쉼터,부산 기장군 철마면 웅천리 53
괴정 오작교체육공원,부산 사하구 괴정동 79-2
교리근린공원,부산 기장군 기장읍 교리 35-1
구덕포공원,부산 해운대구 송정동 67-5
구목정공원,부산 기장군 정관읍 용수리 1334
구서체육공원,부산 금정구 구서동 11-2
군민체육공원,부산 기장군 일광읍 원리 120-6
금정산공원,부산 금정구 장전동 6-2
꽃다래공원,부산 해운대구 반송동 51-120
나무누리근린공원,부산 기장군 정관읍 용수리
남산공원,부산 기장군 기장읍 서부리 403
다솜공원,부산 사상구 주례동 54-228
단비동산공원,부산 동래구 석사로18번길 31
달공원예술벤치,부산 사하구 감내1로197번길 33
당리공원,부산 사하구 당리동 78
동그라미어린이공원,부산 기장군 정관읍 용수리
동래사적공원민간공원조성특례사업아파트 (예정),부산 동래구 온천동 201-3
동해공원,부산 기장군 기장읍 동부리 376-6
두명공원 주차장,부산 기장군 정관읍 두명리 366-1
만리산체육공원,부산 부산진구 범천동 54-23
명례공원,부산 기장군 장안읍 장안리 697
명장근린공원,부산 해운대구 반여동 357-3
무궁화공원,부산 기장군 기장읍 동부리 363
물결마당공원,부산 기장군 기장읍 내리 773
물너울 근린공원,부산 기장군 정관읍 용수리 1405
바람개비어린이공원,부산 기장군 정관읍 모전리
바람고개체육공원,부산 연제구 연산동 42-4
반송3동 동네체육공원,부산 해운대구 반송동 51-344
반여제3근린공원,부산 해운대구 재송동 8-1
백두공원,부산 기장군 기장읍 대라리 1004-1
별님공원,부산 기장군 일광읍 삼성리 46-1
봉대공원,부산 기장군 기장읍 대라리 922
봉래산 불로초공원,부산 영도구 청학동 54-4
비둘기공원,부산 기장군 기장읍 동부리
사라수변공원,부산 기장군 기장읍 대라리 805-2
삼성숲공원,부산 기장군 일광읍 삼성리 790
새마을어린이공원,부산 기장군 기장읍 동부리
새싹공원,부산 사상구 주례동 54-230
소망공원,부산 기장군 기장읍 교리 346
솔마루근린공원,부산 기장군 정관읍 모전리
솔빛공원,부산 기장군 정관읍 모전리 674
수령공원,부산 기장군 기장읍 서부리
수영환경공원,부산 동래구 온천천남로 185
신정소공원,부산 동래구 아시아드대로146번길 1
신평소공원,부산 기장군 일광읍 신평리 11-1
실로암공원묘원,부산 기장군 철마면 사등길 181
쌈지공원,부산 사하구 다대로119번길 25
아름공원,부산 기장군 기장읍 대라리 124-3
어울어린이공원,부산 기장군 정관읍 용수리
얼레어린이공원,부산 기장군 정관읍 용수리
여고소공원,부산 동래구 아시아드대로146번길 1
연잎공원,부산 연제구 과정로164번길 16
오시리아 수변공원,부산 기장군 기장읍 석산리 235-100
요산꽃님공원,부산 금정구 팔송로 51
용소웰빙공원,부산 기장군 기장읍 서부리 223-6
우정공원,부산 기장군 기장읍 교리 341
워터프론트파크,부산 기장군 기장읍 시랑리 533-6
월내어린이공원,부산 기장군 장안읍 월내리 257-6
월전꽃동산,부산 기장군 기장읍 죽성리 336
윤산여명헬스공원,부산 금정구 금사동 9
으뜸어린이공원,부산 해운대구 반여동 1594-68
은하수공원,부산 기장군 기장읍 대라리 245-1
임랑문화공원,부산 기장군 장안읍 임랑리
장산체육공원,부산 해운대구 우동 148-1
재송소공원,부산 해운대구 재송동 51
전포돌산공원,부산 부산진구 전포동 65-3
제석골산림공원,부산 사하구 당리동 4-9
조내기고구마역사공원,부산 영도구 청학동 54-120
죽향공원,부산 기장군 정관읍 모전리
중앙공원 무궁화동산,부산 중구 영주동 4
진달래어린이공원,부산 기장군 기장읍 청강리 143
초연근린공원,부산 부산진구 초읍동 66-1
충효공원,부산 기장군 기장읍 교리 358
컴포즈커피 대천공원점,부산 해운대구 양운로 182
통일공원,부산 기장군 기장읍 동부리 160
하장안마을 연꽃단지,부산 기장군 장안읍 장안리 295-1
한길소공원,부산 동래구 아시아드대로146번길 1
함지골공원,부산 영도구 동삼동 149-5
해밀어린이공원,부산 기장군 정관읍 용수리
해바라기공원,부산 기장군 기장읍 대라리 171
해오름공원,부산 기장군 정관읍 용수리 1300
화지산 제1체육공원,부산 연제구 거제동 산 78-1
효암공원,부산 기장군 장안읍 임랑리 386-2
대천천누리길,부산 북구 화명동 43-14
덕천근린공원,부산 북구 덕천동 93
거북어린이공원,부산 북구 낙동북로648번길 11
이기대 자연마당,부산 남구 용호동 산 197
당곡공원,부산 남구 대연동 204-2
대연공원,부산 남구 대연동 100-1
감만당집마루소공원,부산 남구 무민사로33번길 11-15
암남공원,부산 서구 암남동 산 193-4
대신공원,부산 서구 서대신동3가 2-1
천마산조각공원,부산 서구 천마산로209번길 94
암남공원,부산 서구 암남동 173-1
중앙공원,부산 동구 초량동 63-5
수정산 배수지,부산 동구 홍곡중로38번길 16
수정동 우리동네 방재공원,부산 동구 수정동 969-194
지하철 경성대,부산 남구 수영로 324
