매장명,주소
가야고등학교,부산 부산진구 엄광로 152
개금고등학교,부산 부산진구 백양대로208번길 71
개성고등학교,부산 부산진구 당감서로 137
건국고등학교,부산 사하구 승학로17번길 76-8
경남고등학교,부산 서구 망양로111번길 65
경남공업고등학교,부산 부산진구 전포대로175번길 22
경남여자고등학교,부산 동구 수정중로 29
경남여자고등학교 부설방송통신고등학교,부산 동구 수정중로 29
경성전자고등학교,부산 서구 꽃마을로 25
경원고등학교,부산 부산진구 백양관문로 40
경일고등학교,부산 강서구 영강길 153-42
경혜여자고등학교,부산 북구 시랑로21번길 138
계성여자고등학교,부산 연제구 해맞이로109번길 47
광명고등학교,부산 영도구 와치로 131
구덕고등학교,부산 사상구 학감대로 81
국제금융고등학교,부산 사하구 하신중앙로3번길 34
금곡고등학교,부산 북구 화명신도시로 236
금명여자고등학교,부산 북구 양달로 101
금성고등학교,부산 동구 증산로 83
금정고등학교,부산 동래구 명장로63번길 60-14
금정여자고등학교,부산 금정구 서부로76번길 21
금정전자고등학교,부산 금정구 서금로 75
기장고등학교,부산 기장군 기장읍 차성서로 77
낙동고등학교,부산 북구 의성로47번길 23
남산고등학교,부산 금정구 남산로 66
남성여자고등학교,부산 중구 샘길 14
내성고등학교,부산 금정구 서동로31번길 11
다대고등학교,부산 사하구 다대낙조2길 199
대광고등학교,부산 사하구 동매로 135
대덕여자고등학교,부산 사상구 백양대로804번길 42-55
대동고등학교,부산 사하구 을숙도대로709번길 27
대명여자고등학교,부산 동래구 시실로 135
대양고등학교,부산 남구 지게골로 128-27
대연고등학교,부산 남구 조각공원로 20
대진전자통신고등학교,부산 금정구 수림로 92
덕문고등학교,부산 강서구 동선길 172
덕문여자고등학교,부산 수영구 연수로310번길 114
데레사여자고등학교,부산 동구 정공단로47번길 14
동래고등학교,부산 동래구 충렬대로285번길 22
동래고등학교 부설방송통신고등학교,부산 동래구 충렬대로285번길 22
동래여자고등학교,부산 금정구 체육공원로 20
동래원예고등학교,부산 동래구 금강로 43
동명공업고등학교,부산 남구 신선로 410
동아고등학교,부산 사하구 괴정로244번길 63
동아공업고등학교,부산 사하구 괴정로260번길 79
동의공업고등학교,부산 부산진구 양지로 50
동인고등학교,부산 동래구 쇠미로31번길 34
동주여자고등학교,부산 중구 광복중앙로 18
동천고등학교,부산 남구 못골번영로 105
롯데ATM BNK부산은행 마케팅고등학교,부산 부산진구 전포동 487
만덕고등학교,부산 북구 함박봉로140번길 98-12
명호고등학교,부산 강서구 명지오션시티2로 97
문현여자고등학교,부산 남구 고동골로 86-41
반여고등학교,부산 해운대구 반여로 136
배정고등학교,부산 남구 장고개로85번길 14-16
배정미래고등학교,부산 남구 장고개로85번길 14-40
부경고등학교,부산 서구 망양로33번길 12
부경보건고등학교,부산 사하구 두송로 53
부경보건고등학교 병설 부경중고등학교,부산 사하구 두송로 40
부산강서고등학교,부산 강서구 공항로1309번길 96-7
부산경호고등학교,부산 금정구 서금로 91-5
부산고등학교,부산 동구 초량로40번길 23
부산골프고등학교,부산 해운대구 명장로67번길 121-6
부산공업고등학교,부산 남구 수영로196번길 80
부산과학고등학교,부산 금정구 금샘로 455-1
부산관광고등학교,부산 서구 천마로 52
부산국제고등학교,부산 부산진구 백양관문로 105-70
부산국제영화고등학교,부산 동구 고관로 68
부산기계공업고등학교,부산 해운대구 해운대로 569
부산남고등학교,부산 영도구 중리북로 5
부산남일고등학교,부산 수영구 망미배산로48번길 85-23
부산대저고등학교,부산 강서구 공항로811번가길 46
부산대학교 사범대학 부설고등학교,부산 금정구 기찰로22번길 30
부산동고등학교,부산 부산진구 동성로30번길 36
부산동성고등학교,부산 부산진구 동성로 16
부산동여자고등학교,부산 수영구 남천서로32번길 39
부산디지털고등학교,부산 중구 망양로 356
