facility_nm,mng_agency_nm,gugun,reference_date,lat,lng,instt_code,last_load_dttm
 HF보금자리어린이집,,,,부산 남구 문현금융로 40 문현국제금융센터 201호,,,
 온종합병원장례식장,부산광역시 부산진구청,부산진구,2023-01-11,35.1578057,129.0499681,,2023-07-01 5:30
 의료법인 청십자의료재단 행복한요양병원,,,,"부산 부산진구 봉수로 18 1~7층, D동 2층",,,
 의료법인제영의료재단  다나사요양병원,부산광역시 부산진구청,부산진구,2023-01-11,35.1734165,129.0302769,,2023-07-01 5:30
(사)부산의료선교회세계로병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.19449667,129.0647531,,2023-07-01 5:30
(사)한국건강관리협회 건강증진의원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.20537994,129.0765694,,2023-07-01 5:30
(의)광혜의료재단 광혜병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.20699644,129.0711545,,2023-07-01 5:30
(의)동영의료재단 상록병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.19622865,129.1048014,,2023-07-01 5:30
(의)브니엘의료재단 온요양병원,부산광역시 부산진구청,부산진구,2023-01-11,35.1578057,129.0499681,,2023-07-01 5:30
(의)브니엘의료재단 온종합병원,,,,"부산 부산진구 가야대로 721 본관 지하3~5층, 지상6~14층",,,
(의)삼세의료재단 삼세한의원,부산광역시 영도구청,부산광역시 영도구,2022-12-31,35.091945,129.039345,,2023-07-01 5:30
(의)상원의료재단부산힘찬병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.20148126,129.0871702,,2023-07-01 5:30
(의)상원의료재단부산힘찬병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.20148126,129.0871702,,2023-07-01 5:30
(의)서일의료재단 기장병원,부산광역시 기장군청,부산광역시 기장군,2023-01-01,35.2358805,129.216446,,2023-07-01 5:30
(의)영님의료재단 개금중앙요양병원,,,,"부산 부산진구 개금온정로 5 성원상떼뷰 지하1층,3층",,,
(의)영신의료재단 동래유유요양병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.21489891,129.077541,,2023-07-01 5:30
(의)온의료재단 신세계요양병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.21566372,129.0797149,,2023-07-01 5:30
(의)윤재의료재단 금강요양병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.21917573,129.0811015,,2023-07-01 5:30
(의)윤재의료재단금정요양병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.22130804,129.0805367,,2023-07-01 5:30
(의)은빛의료재단 좋은애인병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.19659778,129.0959337,,2023-07-01 5:30
