매장명,위도,경도
기술신용보증기금,35.14607914,129.0641651
(주)이마트 문현점,35.14430272,129.0642407
㈜ 이마트 문현점,35.14430272,129.0642407
IFC부산 오슬로파크,35.14828501,129.0654779
문현금융단지IFC부산 복합시설,35.14828501,129.0654779
캐니언파크 어린이놀이시설,35.14828501,129.0654779
부산은행 본점,35.14549645,129.0658475
부산국제금융센터 실내주차장,35.14648787,129.0658605
비아이에프씨몰(BIFC Mall),35.14648787,129.0658605
한빛어린이집,35.13152677,129.0686936
대림찜질사우나,35.13621609,129.0704996
아이세상어린이집,35.14256771,129.0728984
제니스파크요양병원,35.12659872,129.0745099
한누리어린이집,35.1372758,129.078052
동천어린이집,35.11756218,129.0821033
홈플러스㈜ 부산감만점,35.12159947,129.0822116
남구청 실내주차장,35.13650057,129.0841098
새라새요양병원,35.12174089,129.0845393
인창대연요양병원,35.13446805,129.0845986
BH병원,35.13499942,129.0846495
샬롬어린이집,35.11931131,129.0850775
남부교육지원청,35.13616401,129.085455
부산성소병원,35.13515152,129.0857817
윌리스요양병원,35.13531587,129.086552
양문어린이집,35.12104776,129.0874484
마미캠프산후조리원,35.12562314,129.0878604
천사어린이집,35.15109516,129.0890119
대연어린이집,35.12189544,129.0894125
행복한어린이집,35.13625305,129.0925886
부산고려병원,35.13490083,129.0926034
부산예술관,35.12771512,129.0927816
부산시립박물관,35.12955255,129.0929379
위대항병원,35.13537544,129.0929499
부산문화회관,35.12595543,129.0929994
용당어린이집,35.11343458,129.0930514
유엔평화기념관,35.12475424,129.0932577
파크사이드재활의학병원,35.12517876,129.0971472
가나병원,35.12239051,129.0974718
그랜드자연요양병원,35.14681537,129.0977891
대연성모병원,35.14803344,129.0986505
용당요양병원,35.12353834,129.099122
스파크,35.13733728,129.0992747
㈜센츄리스포렉스,35.13698252,129.1006196
리마크빌 대연,35.13756007,129.1015382
대영온천,35.13802595,129.1067896
해피실버타운,35.12158889,129.107302
글로벌어린이집,35.12647943,129.1077413
부산성모병원,35.11051148,129.1091922
부산성모병원장례식장,35.11051148,129.1091922
부산성모병원주차장,35.11051148,129.1091922
아이뜰어린이집,35.11749008,129.1099781
W 스퀘어,35.1342266,129.1112149
W스퀘어,35.1342266,129.1112149
바운스트램폴린파크 W아파트점,35.1342266,129.1112149
뽀로로파크 부산점,35.1342266,129.1112149
호산나어린이집,35.12296771,129.1112703
효메디요양병원,35.12369356,129.1127174
힐탑 탑플레이스,35.13219363,129.1127234
해뜨는어린이집,35.10845007,129.112817
다보네가구,35.10826427,129.1134178
빌리브센트로,35.1305079,129.1156739
