매장명,위도,경도
해변사우나 실내주차장,35.04986282,128.9652476
동백어린이집,35.05025013,128.965285
다대도서관,35.05042627,128.9646733
내원어린이집,35.05122843,128.9635537
부산정신병원,35.05163272,128.9704972
타임요양병원,35.05213132,128.9712704
다대씨파크 대규모점포,35.05514541,128.9719748
다대씨-파크 실내주차장,35.05514541,128.9719748
우리미소요양병원,35.05588428,128.9708874
동산요양병원,35.05780359,128.9709759
다대포어린이집,35.05867068,128.9673795
맘모스프라자 (맘모스상가운영위원회),35.06147729,128.9793185
다정한어린이집,35.06274344,128.985473
태종대요양병원,35.06320282,129.0803646
다송어린이집,35.06376481,128.9818016
㈜태종대온천,35.06465393,129.080315
예닮창의어린이집,35.06601031,128.9805677
늘사랑요양병원,35.0685972,128.9772437
다대자연병원 장례식장,35.0685972,128.9772437
의왕요양병원,35.0685972,128.9772437
기쁜소식어린이집,35.0687724,128.9789891
강동병원,35.07353126,128.9768312
자연요양병원,35.07412507,128.9769698
프라임병원,35.07426787,128.977147
한국해양어린이집,35.07440796,129.0873481
장림현대종합상가,35.07505997,128.977288
부산YWCA부설어린이집,35.07572341,128.9810788
다솜어린이집,35.07599781,129.0655237
키즈아트어린이집,35.07614057,128.97854
부산본병원,35.07651414,128.9622942
수 실버원,35.07660279,128.9726353
하나병원,35.07682945,128.9791842
하사랑요양병원,35.07682945,128.9791842
청솔어린이집,35.07750748,128.9789401
에스병원(S병원),35.07827399,129.0700406
한나타워,35.07840832,129.0707917
국립해양박물관,35.07856342,129.0802449
송도힐스테이트어린이집,35.07876133,129.0229269
장림어린이집,35.0791915,128.967929
동삼중앙어린이집,35.07939202,129.0684123
영선어린이집,35.07961216,129.0465594
현대요양병원,35.07970831,128.964163
송도사랑요양원,35.07973699,129.012138
송도요양병원,35.07973699,129.012138
제일어린이집,35.08044,128.90393
영도참편한요양병원,35.08084937,129.0687045
서부산시민 장례식장,35.08094381,128.9719851
고신대학교복음병원,35.08107807,129.0145128
참사랑요양원,35.08123157,128.9776688
조은어린이집,35.08160532,128.965918
천마어린이집,35.08207591,129.017869
남해해양경비안전본부 어린이집,35.08228453,129.0773279
송도해수피아,35.082406,129.0255529
홈플러스테스코㈜ 장림점,35.08243474,128.9782534
홈플러스테스코㈜ 장림점 실내주차장,35.08243474,128.9782534
김해공항 국제선 여객터미널,35.08278,128.90325
명지녹산산단명지어린이집,35.08327,128.90394
영도해수랜드,35.08370856,129.0382574
세정아울렛 부산점,35.08372718,128.9778302
호산나교회,35.08462,128.90481
롯데마트 사하점,35.08478117,128.9723158
