매장명,주소
75광장,부영도구 동삼동 149-31
920호소공원,부해운대구 중동 1833
APEC나루공원,부해운대구 우동 1494
BMC와치공원,부영도구 함지로79번길 40
가람어린이공원,부강서구 지사동 1175
가리새공원,부강서구 범방동 1923
가리새수변공원,부강서구 범방동 1913
가마실공원,부금정구 부곡동 296-2
가야감고개공원,부부산진구 가야동 553
가야산책공원,부부산진구 가야동 669-11
가온공원,부해운대구 반여동 751-8
갈대성어린이공원,부강서구 명지오션시티11로 84
감고개공원 커뮤니티센터,부부산진구 가야동 553
감천 나누리파크,부사하구 감천동 759-8
감천산림공원,부사하구 감천동 130
강변공원,부기장군 정관읍 달산리 141-17
강변공원,부수영구 망미동
강변공원,부연제구 연산동 2318
강변환경공원,부사하구 을숙도대로 466
강서체육공원,부강서구 체육공원로 43
강송정공원,부기장군 일광읍 이천리 844
개금1배수지 체육공원,부부산진구 복지로47번길 30
개금2동어린이놀이터,부부산진구 개금동
개금테마공원,부부산진구 개금동 56
개나리어린이공원,부부산진구 백양관문로 7
거님길공원,부기장군 철마면 고촌리 683
거미줄공원,부해운대구 좌동 1334
거울바위공원,부연제구 연산동 2046-2
거제체육공원,부연제구 거제동 1468-15
견우공원,부해운대구 좌동 1311
고동바위공원,부사상구 백양대로907번다길 6
고리동산,부기장군 장안읍 길천리 467-1
곡상골공원,부사상구 모라동 1345-6
곰내재숲속쉼터,부기장군 철마면 웅천리 53
공간공원,부금정구 금강로335번길 35-1
공간공원,부사하구 다대동 85-14
공수물공원,부금정구 부곡동 255-8
과정공원,부수영구 망미동
과정공원,부연제구 과정로 227
광명어린이공원,부영도구 동삼동 1123-13
광안3동 체육공원,부수영구 연수로310번길 114
광안해변공원,부수영구 민락동 176-33
괴정 오작교체육공원,부사하구 괴정동 79-2
괴정정자어린이공원,부사하구 괴정동 534-4
교리근린공원,부기장군 기장읍 교리 35-1
구기공원,부기장군 장안읍 장안산단4로 42
구덕공원,부사상구 학장동 168-20
구덕포공원,부해운대구 송정동 67-5
구랑공원,부강서구 구랑동 1199-7
구목정공원,부기장군 정관읍 용수리 1334
구서공원,부금정구 구서동 1050
구서체육공원,부금정구 구서동 11-2
구월공원,부금정구 부곡동 956
구평근린공원,부사하구 구평동 500
구평뜰공원,부사하구 을숙도대로709번길 22
군민체육공원,부기장군 일광읍 원리 120-6
굿거리언덕공원,부기장군 기장읍 내리
그린라인파크,부동래구 낙민동 112
그린레일웨이,부해운대구 해운대해변로 85
근린공원,부연제구 진연로 30-3
금강공원,부동래구 우장춘로 155
금병어린이공원,부강서구 범방동 1875-4
금정공원,부금정구 구서동 458-2
금정산공원,부금정구 장전동 6-2
금천어린이공원,부금정구 금사동
금호공원,부강서구 대저2동 3146-2
기장군청 기장생활체육공원,부기장군 기장읍 차성서로109번길 24
기장생활체육공원,부기장군 기장읍 차성서로109번길 24
기장철마체육공원,부기장군 철마면 철마로 543
기찰공원,부금정구 부곡동 26-11
길천근린공원,부기장군 장안읍 길천2길 19-24
까치공원,부금정구 장전동 220-2
까치어린이공원,부부산진구 개금동 1-10
꽃게어린이공원,부강서구 명지동 3313-9
꽃님공원,부사하구 감천동 502-37
꽃다래공원,부해운대구 반송동 51-120
꽃망울어린이공원,부해운대구 반송동 891
꽃보라어린이공원,부기장군 정관읍 방곡리
꿀벌어린이공원,부강서구 명지동 3406
꿈나래어린이공원,부강서구 지사동
꿈나무공원,부동래구 온천동 1853-13
꿈나무공원,부연제구 거제천로124번길 15
꿈나무어린이공원,부해운대구 좌동 1336
꿈누리공원,부해운대구 반여동 295
꿈에어린이공원,부해운대구 반여동 1601-2
나라어린이공원,부사상구 엄궁동 726-2
나래울어린이공원,부기장군 정관읍 달산리
나무공원빌딩,부동래구 중앙대로1335번길 43
나무누리근린공원,부기장군 정관읍 용수리
나뭇잎어린이공원,부강서구 명지동 3428-4
낙동가람끝공원,부사하구 하단동 1142
낙동강1경 을숙도생태공원,부사하구 하단동
낙동강둔치공원,부강서구 대저1동 1-5
낙동강하구둑 자전거공원 트릭아트,부사하구 하단동 1150-2
낙동강하류철새도래지,부사하구 하단동
낙민공원,부동래구 수민동
낙민공원 놀이터,부동래구 낙민동 92-8
남강공원,부강서구 미음동 1553-7
남명어린이공원,부강서구 명지동 3243-3
남산공원,부기장군 기장읍 서부리 403
남산어린이공원,부금정구 남산동 988-4
남천해변공원,부수영구 남천동 148-100
남항대교 수변공원,부영도구 남항동3가 141-218
낫개가로공원,부사하구 다대동 120-7
너울 어린이공원 주차장,부수영구 무학로69번길 98
너울공원,부강서구 명지동 3439
너울공원,부수영구 수영로 754
너울소공원,부금정구 부곡동 975
너울어린이공원,부수영구 수영로 754
널구지공원,부수영구 민락동
노을공원,부해운대구 반여동 1635
노을마당,부사하구 다대낙조2길 13
노적봉공원,부강서구 녹산동 1273-1
노포마을공원,부금정구 노포동 1121-9
녹녹원,부기장군 철마면 미동길 7-20
녹산고향동산,부강서구 범방동 1998
녹산수문공원,부강서구 낙동남로 759
녹음광장,부연제구 거제천로 72
놀이마당공원,부금정구 청룡동 49
누림어린이공원,부해운대구 좌동 1437-3
늘봄어린이공원,부해운대구 석대동 440-3
늘푸른공원,부연제구 연산동
늘품어린이공원,부강서구 명지동 3232-7
다누림공원,부사상구 학장동 288-12
다대근린공원,부사하구 다대동 1548-10
다대꿈동산어린이공원,부사하구 다대동 940
다대포해변공원,부사하구 다대동 1674
다대포해변공원 몰운대 공영주차장,부사하구 몰운대1길 14
다대포해변공원 보도교,부사하구 몰운대2길 7
다소미공원,부해운대구 중동 1508-10
다솜공원,부사상구 주례동 54-228
다송어린이공원,부사하구 다대로381번길 41
다온공원,부사상구 엄궁동 674-2
다원쉼터 제1호 꽃님공원점,부금정구 팔송로53번길 14
단비동산공원,부동래구 석사로18번길 31
달공원예술벤치,부사하구 감내1로197번길 33
달님공원,부금정구 남산동 989-12
달맞이근린공원,부해운대구 중동 986
달산리제1호어린이공원,부기장군 정관읍 달산리
담안골근린공원,부해운대구 반송동 882
당리공원,부사하구 당리동 78
대성어린이공원,부사하구 다대낙조1길 12
대저생태공원,부강서구 대저1동 1-34
대저수문생태공원,부강서구 대저1동 279-9
대정공원묘원,부기장군 정관읍 양수길 76
대천공원 2호 공중화장실(신시가지근린공원 2-2호),부해운대구 장산로 331-18
대천공원 입구,부해운대구 좌동 1382-1
대천공원공영주차장 전기차충전소,부해운대구 양운로 199
대하공원,부수영구 망미번영로 70
더불어공원,부사하구 다대동 86-1
덕두공원,부강서구 대저2동 3136-3
덕발어린이공원,부기장군 기장읍 청강리 188
덕포공원,부사상구 사상로386번길 42
덕포체육공원,부사상구 덕포동 763
도담어린이공원,부강서구 명지동 3242-4
도담어린이공원,부해운대구 해운대로469번길 110
도요새공원,부강서구 명지동 3604-4
돌고래분수광장,부기장군 정관읍 매학리 714-7
돌담쉼터공원,부사하구 당리동 576
동그라미어린이공원,부기장군 정관읍 용수리
동대공원,부금정구 회동동 558
동래사적공원,부동래구 명륜동 137-4
동래사적공원민간공원조성특례사업아파트 (예정),부동래구 온천동 201-3
동래온천헬스공원,부동래구 사직동 1
동백공원,부해운대구 우동 708-3
동백공원 최치원유적,부해운대구 동백로 99
동부근린공원,부기장군 기장읍 차성동로126번길 13-5
동부근린공원 인근 노외공영주차장,부기장군 기장읍 차성동로 119
동삼근린공원,부영도구 동삼동 510-28
동삼혁신지구근린공원,부영도구 동삼동
동아대학교 뉴턴의사과나무공원,부사하구 낙동대로550번길 37
동양어린이공원,부부산진구 부암동 726
동의대학교 효민원,부부산진구 엄광로 176
동해공원,부기장군 기장읍 동부리 376-6
돛단배어린이공원,부강서구 명지동 3577-1
두루미공원,부강서구 명지동 3455-5
두명공원 주차장,부기장군 정관읍 두명리 366-1
두송공원,부사하구 다대동 94-3
두실새싹공원,부금정구 구서동 1023-42
등나무공원,부사하구 다대동 80-1
등대어린이공원,부강서구 명지동 3241-1
떡곡숲공원,부기장군 일광읍 삼성리 751
뜰마루마당공원,부기장군 기장읍 내리
라온공원,부수영구 호암로 45
링컨어린이공원,부강서구 명지오션시티10로 16
마루공원,부사하구 당리동 63-29
마비등공원,부강서구 범방동 1903-3
만리산체육공원,부부산진구 범천동 54-23
맘스터치 부산금정체육공원점,부금정구 체육공원로399번길 324
망미동 주민쉼터,부수영구 망미동 941-10
망미어린이공원 놀이터,부수영구 망미동 640-11
맥도생태공원,부강서구 공항로 500
맥도생태공원 게이트볼장,부강서구 대저2동 1200-33
맹꽁어린이공원,부강서구 명지동 3235-1
메모리얼파크,부사하구 하단동 1211-4
명례공원,부기장군 장안읍 장안리 697
명서공원,부동래구 명장동
명장근린공원,부해운대구 반여동 357-3
명장배수지상부체육공원 인라인스케이트장,부해운대구 명장로67번길 33-43
명장소공원,부동래구 명장동 334-2
명장한마음공원,부동래구 명장동 136-13
명지근린공원,부강서구 명지동 3247
명지소공원,부강서구 명지동 1396
명품가로공원,부사상구 괘법동 572-21
명호어린이공원,부강서구 명지동 3236-1
모라백양공원,부사상구 모라동
모라벤처타워공원,부사상구 모라동 1375-3
모라산림공원,부사상구 모라로192번길 151
모라지구공원,부사상구 덕상로 129
모라틔움공원,부사상구 모라동 1385
무궁화공원,부기장군 기장읍 동부리 363
물결공원,부강서구 명지동 3403
물결마당공원,부기장군 기장읍 내리 773
물너울 근린공원,부기장군 정관읍 용수리 1405
물떼새공원,부강서구 명지동 3575-1
물만골공원,부연제구 월드컵대로 55
물만골체육공원,부연제구 황령산로 585
물빛공원,부기장군 정관읍 모전로 29
미남공원,부동래구 석사북로 93
미리내어린이공원,부부산진구 당감동 796-3
미리내어린이공원,부해운대구 좌동 1416
미소공원,부해운대구 중동 1816
미음공원,부강서구 미음동 1647
미화공원맨션,부금정구 금단로 156
민락공원,부수영구 민락동 124-4
민락공원앞교차로,부수영구 민락동
민락수변공원,부수영구 광안해변로 361
민락수변공원 노상공영주차장,부수영구 민락동 110-7
민락수변공원 어린이놀이터,부수영구 민락수변로 129
민주공원,부중구 민주공원길 19
민주공원 4.19광장,부중구 영주동 218-16
바다공원,부강서구 명지동 3229-21
바다내음공원,부해운대구 중동 1516-1
바람개비어린이공원,부기장군 정관읍 모전리
바람고개체육공원,부연제구 연산동 42-4
바람공원,부해운대구 반여동 1620
반남도란공원,부금정구 남산동 975-4
반려동물 산책놀이공원,부동래구 사직동 982-3
반송3동 동네체육공원,부해운대구 반송동 51-344
반송공원,부해운대구 반송동 844-2
반여공원,부해운대구 반여동 1630
반여제3근린공원,부해운대구 재송동 8-1
배산공원,부수영구 망미동 1169
백두공원,부기장군 기장읍 대라리 1004-1
백두어린이공원,부부산진구 당감동 794-1
백양가족공원,부부산진구 당감동 794-2
백양어린이공원,부부산진구 초읍동 181-1
백운공원묘원 제1묘지,부기장군 정관읍 정관로 165
범방공원,부강서구 미음동 1528-3
범방어린이공원,부강서구 범방동 1851
별님공원,부기장군 일광읍 삼성리 46-1
별무리어린이공원,부강서구 명지오션시티2로 71
별바라기어린이공원,부해운대구 반여동 1663
