매장명,주소
CGV 부산명지,부산 강서구 명지국제8로10번길 38 명지플러스시네마 9층
롯데시네마 부산명지,부산 강서구 명지국제6로 107 대방디엠시티 센텀오션2차 2층
노블랜드(롯데시네마 부산명지점,부산 강서구 명지국제6로 107
메가박스 부산대,부산 금정구 장전로12번길 55 라퓨타아일랜드 4층
롯데시네마 오투,부산 금정구 중앙대로 1607
아이맥스DVD영화관 부산대점,부산 금정구 금정로60번길 24 5층
제이제이디지털영화관,부산 금정구 장전로12번길 56
CGV 정관,부산 기장군 정관읍 정관중앙로 45 조은플러스 10
메가박스 정관,부산 기장군 정관읍 정관6로 39 큐엠시네마타워 5층
롯데시네마 동부산아울렛,부산 기장군 기장읍 기장해안로 147 롯데몰 동부산점 3층
모노플렉스 오시리아,부산 기장군 기장읍 동부산관광로 34 A동 103-1호~103-4호
장애인전용무료영화관,부산 동구 중앙대로 264 6층 603호
추억의이바구씨네마무료극장,부산 동구 구청로 8
부산문화방송 영화자동안내,부산 동구 자성로133번길 15
부산문화방송 시네마홀,부산 동구 자성로133번길 15
CGV 동래,부산 동래구 중앙대로 1523 SK허브스카이 6층
롯데시네마 동래,부산 동래구 중앙대로 1393
CGV 화명,부산 북구 화명대로 16 센츄리빌딩
메가박스 덕천,부산 북구 만덕대로 23 폴라렉스
무사이,부산 북구 산성로12번길 21 우신상가 지하1층
아세아극장,부산 북구 낙동대로 1704
에버DVD영화관,부산 북구 화명신도시로 129 골든프라자 4층
메가박스 사상,부산 사상구 사상로 201 서부시외버스터미널 4층
헐리웃영화관,부산 사상구 사상로 206
CGV 하단아트몰링,부산 사하구 낙동남로 1413 7층
롯데시네마 장림(2023년11월 오픈예정),부산 사하구 장림동 316-8 6층
인터미션,부산 수영구 수영로679번길 23 지하 1층
인생극장실버영화관,부산 수영구 수영로 421-1 B동 101호
CGV 아시아드,부산 연제구 거제동 1208
CGV DRIVE IN 영도,부산 영도구 동삼동 1009
CGV 센텀시티,부산 해운대구 센텀남대로 35 신세계센텀시티 7층
CGV 해운대,부산 해운대구 해운대로 620 라뮤에뜨 2층
롯데시네마 프리미엄해운대,부산 해운대구 해운대로 802
롯데시네마 센텀시티,부산 해운대구 센텀남대로 59
메가박스 해운대,부산 해운대구 해운대로 813 NC백화점 8층
CGV 씨네드쉐프 센텀시티,부산 해운대구 센텀남대로 35 신세계백화점 5층
영화의전당,부산 해운대구 수영강변대로 120
영화의전당 비프힐,부산 해운대구 수영강변대로 120
영화의전당 중극장,부산 해운대구 수영강변대로 120 영화의전당 시네마운틴 6~8층
영화의전당 시네마테크,부산 해운대구 수영강변대로 120 영화의전당 시네마운틴 6~8층
영화의전당 소극장,부산 해운대구 수영강변대로 120 영화의전당 시네마운틴 6~8층
인디플러스 영화의전당,부산 해운대구 수영강변대로 120 영화의전당 비프힐 지하1층
오르페오 해운대,부산 해운대구 해운대해변로 292 그랜드조선호텔 지하 1층 1호
롯데시네마 대영,부산 중구 비프광장로 37
메가박스 부산극장 본관,부산 중구 비프광장로 36
롯데시네마 광복,부산 중구 중앙대로 2 9층
메가박스 부산극장,부산 중구 비프광장로 28
모퉁이극장,부산 중구 광복중앙로 13 3층
BNK부산은행 아트시네마,부산 중구 광복중앙로 13 3층
디지털DVD영화관 2호점,부산 중구 남포길 24
