구군명,행정동명,인구밀도
연제구,거제1동,31691.01124
연제구,거제2동,6898.360656
연제구,거제3동,15441.93548
연제구,거제4동,11173.86364
연제구,연산1동,19191.76471
연제구,연산2동,13480.53691
연제구,연산3동,18322.0339
연제구,연산4동,17051.08696
연제구,연산5동,32082.69231
연제구,연산6동,13609.32203
연제구,연산8동,19354.28571
연제구,연산9동,20550.30675
사하구,괴정1동,16950.45872
사하구,괴정2동,14850.48544
사하구,괴정3동,6233.684211
사하구,괴정4동,17156.32184
사하구,당리동,6389.922481
사하구,하단1동,3318.307692
사하구,하단2동,8187.012987
사하구,신평1동,9675.151515
사하구,신평2동,6558.490566
사하구,장림1동,4071.146245
사하구,장림2동,11444.34783
사하구,다대1동,7300.590551
사하구,다대2동,9711.524164
사하구,구평동,3587.252125
사하구,감천1동,7324.267782
사하구,감천2동,8904.83871
동래구, 수민동 ,25935.53719
동래구, 복산동 ,11319.23077
동래구, 명륜동 ,19560
동래구, 온천1동 ,11191.50943
동래구, 온천2동 ,10481.54506
동래구, 온천3동 ,21167.79661
동래구, 사직1동 ,32171.875
동래구, 사직2동 ,13586.02151
동래구, 사직3동 ,21258.75
동래구, 안락1동 ,14418.5567
동래구, 안락2동 ,19514.1791
동래구, 명장1동 ,15267.77778
동래구, 명장2동 ,16042.04545
북구,구포1동,15781
북구,구포2동,8070
북구,구포3동,18740
북구,금곡동,4537.75
북구,화명1동,8069.4
북구,화명2동,3490.2
북구,화명3동,14378.5
북구,덕천1동,11958
북구,덕천2동,5713.5
북구,덕천3동,10294
북구,만덕1동,3301.8
북구,만덕2동,13454
북구,만덕3동,9000
수영구,남천1동,15721.21212
수영구,남천2동,17774.24242
수영구,수영동,19843.05556
수영구,망미1동,14853.84615
수영구,망미2동,12793.82716
수영구,광안1동,21259.50413
수영구,광안2동,41753.33333
수영구,광안3동,8119.491525
수영구,광안4동,16171.42857
수영구,민락동,18519.07895
사상구,삼락동,824.5508982
사상구,모라1동,16253.29341
사상구,모라3동,2909.580838
사상구,덕포1동,14907.14286
사상구,덕포2동,7818.75
사상구,괘법동,6998.550725
사상구,감전동,3649.712644
사상구,주례1동,10825.4902
사상구,주례2동,9317.721519
사상구,주례3동,14596.51163
사상구,학장동,4970.985401
사상구,엄궁동,4994.444444
중구,중앙동,6081.666667
중구,동광동,16735.29412
중구,대청동,17731.42857
중구,보수동,25247.61905
중구,부평동,21904.7619
중구,광복동,4747.619048
중구,남포동,4860.869565
중구,영주제1동,17165.51724
중구,영주제2동,20600
동구,초량1동,18900
동구,초량2동,14025.64103
동구,초량3동,8451.633987
동구,초량6동,4152.985075
동구,수정1동,18240.90909
동구,수정2동,8466.071429
동구,수정4동,3996.73913
동구,수정5동,14711.76471
동구,좌 천 동,25241.30435
동구,범일1동,11579.59184
동구,범일2동,9350.60241
동구,범일5동,2435.83815
금정구,서 1 동,14250
금정구,서 2 동,22492.5
금정구,서 3 동,11933.69565
금정구,금사회동동,1402.181818
금정구,부곡1동,11454.92958
금정구,부곡2동,14809.16667
금정구,부곡3동,1882.381531
금정구,부곡4동,18694.02985
금정구,장전1동,5481.097561
금정구,장전2동,9569.708029
금정구,선두구동,190.0414938
금정구,청룡노포동,895.8753437
금정구,남 산 동,7672.802198
금정구,구서1동,6401.320132
금정구,구서2동,10148.27586
금정구,금 성 동,120.1660735
서구,동대신1동,22695.83333
서구,동대신2동,15974.4186
서구,동대신3동,5137.671233
서구,서대신1동,23356.25
서구,서대신3동,5397.857143
서구,서대신4동,2363.344051
서구,부민동,18056.09756
서구,아미동,8401.388889
서구,초장동,9056.818182
서구,충무동,26186.48649
서구,남부민1동,12554.05405
서구,남부민2동,11337.83784
서구,암남동,4037.534247
영도구,남항동,14200
영도구,영선1동,22535.29412
영도구,영선2동,12296.8254
영도구,신선동,6808.928571
영도구,봉래1동,21353.33333
영도구,봉래2동,11817.1875
영도구,청학1동,6337.777778
영도구,청학2동,10304.79042
영도구,동삼1동,6850.259067
영도구,동삼2동,1472.321429
영도구,동삼3동,11390.12346
기장군,기장읍,1346.83
기장군,장안읍,173.2
기장군,정관읍,2114.86
기장군,일광읍,812.1364653
기장군,철마면,146.2
남구, 대연1동 ,15819
남구, 대연3동 ,8338.5
남구, 대연4동 ,11902
남구, 대연5동 ,16806
남구, 대연6동 ,14906
남구, 용호1동 ,21463
남구, 용호2동 ,9586.5
남구, 용호3동 ,5717
남구, 용호4동 ,3937
남구, 용 당 동 ,1997.25
남구, 감만1동 ,3253.333333
남구, 감만2동 ,6616
남구, 우암동 ,12551
남구, 문현1동 ,11333
남구, 문현2동 ,8049
남구, 문현3동 ,16667
남구, 문현4동 ,8974
부산진구,부전제1동,27284.21053
부산진구,부전제2동,14009.85915
부산진구,연지동,21052.52525
부산진구,초읍동,3795.431472
부산진구,양정제1동,17260.5042
부산진구,양정제2동,14579.77528
부산진구,전포제1동,11756.74157
부산진구,전포제2동,18509.64912
부산진구,부암제1동,28761.25
부산진구,부암제3동,9842.076503
부산진구,당감제1동,9795.081967
부산진구,당감제2동,12015.11628
부산진구,당감제4동,13513.7931
부산진구,가야제1동,9895.544554
부산진구,가야제2동,14700
부산진구,개금제1동,29658.62069
부산진구,개금제2동,12344.56522
부산진구,개금제3동,14555.17241
부산진구,범천제1동,21901.81818
부산진구,범천제2동,11700
해운대구,우제1동,3185.488506
해운대구,우제2동,9394.080997
해운대구,우제3동,33890.36145
해운대구,중제1동,25793.39623
해운대구,중제2동,8344.565217
해운대구,좌제1동,24053.42466
해운대구,좌제2동,21574.30556
해운대구,좌제3동,19659.49367
해운대구,좌제4동,3530.551181
해운대구,송정동,2295.192308
해운대구,반여제1동,6680.501931
해운대구,반여제2동,11656.31068
해운대구,반여제3동,8019.80198
해운대구,반여제4동,12193.54839
해운대구,반송제1동,1930.473373
해운대구,반송제2동,4811.764706
해운대구,재송제1동,14767.87149
해운대구,재송제2동,13029.05028
강서구,대저1동,369.4915254
강서구,대저2동,241.4675768
강서구,강동동,227.7297297
강서구,명지1동,4300.725806
강서구,명지2동,9196.969697
강서구,가락동,123.3157895
강서구,녹산동,619.9648506
강서구,가덕도동,161.4634146
