구군명,행정동명,자동차등록대수
연제구,거제1동,8453.769231
연제구,거제2동,8453.769231
연제구,거제3동,8453.769231
연제구,거제4동,8453.769231
연제구,연산1동,8453.769231
연제구,연산2동,8453.769231
연제구,연산3동,8453.769231
연제구,연산4동,8453.769231
연제구,연산5동,8453.769231
연제구,연산6동,8453.769231
연제구,연산8동,8453.769231
연제구,연산9동,8453.769231
사하구,괴정1동,7146.625
사하구,괴정2동,7146.625
사하구,괴정3동,7146.625
사하구,괴정4동,7146.625
사하구,당리동,7146.625
사하구,하단1동,7146.625
사하구,하단2동,7146.625
사하구,신평1동,7146.625
사하구,신평2동,7146.625
사하구,장림1동,7146.625
사하구,장림2동,7146.625
사하구,다대1동,7146.625
사하구,다대2동,7146.625
사하구,구평동,7146.625
사하구,감천1동,7146.625
사하구,감천2동,7146.625
동래구, 수민동 ,7751.692308
동래구, 복산동 ,7751.692308
동래구, 명륜동 ,7751.692308
동래구, 온천1동 ,7751.692308
동래구, 온천2동 ,7751.692308
동래구, 온천3동 ,7751.692308
동래구, 사직1동 ,7751.692308
동래구, 사직2동 ,7751.692308
동래구, 사직3동 ,7751.692308
동래구, 안락1동 ,7751.692308
동래구, 안락2동 ,7751.692308
동래구, 명장1동 ,7751.692308
동래구, 명장2동 ,7751.692308
북구,구포1동,8186.230769
북구,구포2동,8186.230769
북구,구포3동,8186.230769
북구,금곡동,8186.230769
북구,화명1동,8186.230769
북구,화명2동,8186.230769
북구,화명3동,8186.230769
북구,덕천1동,8186.230769
북구,덕천2동,8186.230769
북구,덕천3동,8186.230769
북구,만덕1동,8186.230769
북구,만덕2동,8186.230769
북구,만덕3동,8186.230769
수영구,남천1동,11431.9
수영구,남천2동,11431.9
수영구,수영동,11431.9
수영구,망미1동,11431.9
수영구,망미2동,11431.9
수영구,광안1동,11431.9
수영구,광안2동,11431.9
수영구,광안3동,11431.9
수영구,광안4동,11431.9
수영구,민락동,11431.9
사상구,삼락동,7419.666667
사상구,모라1동,7419.666667
사상구,모라3동,7419.666667
사상구,덕포1동,7419.666667
사상구,덕포2동,7419.666667
사상구,괘법동,7419.666667
사상구,감전동,7419.666667
사상구,주례1동,7419.666667
사상구,주례2동,7419.666667
사상구,주례3동,7419.666667
사상구,학장동,7419.666667
사상구,엄궁동,7419.666667
중구,중앙동,4258.222222
중구,동광동,4258.222222
중구,대청동,4258.222222
중구,보수동,4258.222222
중구,부평동,4258.222222
중구,광복동,4258.222222
중구,남포동,4258.222222
중구,영주제1동,4258.222222
중구,영주제2동,4258.222222
동구,초량1동,5180.666667
동구,초량2동,5180.666667
동구,초량3동,5180.666667
동구,초량6동,5180.666667
동구,수정1동,5180.666667
동구,수정2동,5180.666667
동구,수정4동,5180.666667
동구,수정5동,5180.666667
동구,좌 천 동,5180.666667
동구,범일1동,5180.666667
동구,범일2동,5180.666667
동구,범일5동,5180.666667
금정구,서 1 동,5438.6875
금정구,서 2 동,5438.6875
금정구,서 3 동,5438.6875
금정구,금사회동동,5438.6875
금정구,부곡1동,5438.6875
금정구,부곡2동,5438.6875
금정구,부곡3동,5438.6875
금정구,부곡4동,5438.6875
금정구,장전1동,5438.6875
금정구,장전2동,5438.6875
금정구,선두구동,5438.6875
금정구,청룡노포동,5438.6875
금정구,남 산 동,5438.6875
금정구,구서1동,5438.6875
금정구,구서2동,5438.6875
금정구,금 성 동,5438.6875
서구,동대신1동,2438.769231
서구,동대신2동,2438.769231
서구,동대신3동,2438.769231
서구,서대신1동,2438.769231
서구,서대신3동,2438.769231
서구,서대신4동,2438.769231
서구,부민동,2438.769231
서구,아미동,2438.769231
서구,초장동,2438.769231
서구,충무동,2438.769231
서구,남부민1동,2438.769231
서구,남부민2동,2438.769231
서구,암남동,2438.769231
영도구,남항동,3074.818182
영도구,영선1동,3074.818182
영도구,영선2동,3074.818182
영도구,신선동,3074.818182
영도구,봉래1동,3074.818182
영도구,봉래2동,3074.818182
영도구,청학1동,3074.818182
영도구,청학2동,3074.818182
영도구,동삼1동,3074.818182
영도구,동삼2동,3074.818182
영도구,동삼3동,3074.818182
기장군,기장읍,17138.4
기장군,장안읍,17138.4
기장군,정관읍,17138.4
기장군,일광읍,17138.4
기장군,철마면,17138.4
남구, 대연1동 ,5958.235294
