매장명,주소
부곡여자중학교,부산 금정구 가마실로 56
구서여자중학교,부산 금정구 금강로453번길 26-12
남산중학교,부산 금정구 금단로 114
장전중학교,부산 금정구 금샘로18번길 39
금양중학교,부산 금정구 기찰로22번길 37
부곡중학교,부산 금정구 동부곡로15번길 102-20
금사중학교,부산 금정구 서금로 53-7
동현중학교,부산 금정구 서동로 50
금정중학교,부산 금정구 중앙대로 2104
브니엘예술중학교,부산 금정구 체육공원로 154
동래여자중학교,부산 금정구 체육공원로 20
부산예술중학교,부산 금정구 체육공원로 20
기장중학교,부산 기장군 기장읍 읍내로 120
대청중학교,부산 기장군 기장읍 차성서로 3
일광중학교,부산 기장군 일광읍 해빛3로 99
장안중학교,부산 기장군 장안읍 좌천2길 43
모전중학교,부산 기장군 정관읍 정관1로 9
신정중학교,부산 기장군 정관읍 정관3로 44
부산중앙중학교,부산 기장군 정관읍 정관덕산길 73
정관중학교,부산 기장군 정관읍 정관로 531
부산동여자중학교,부산 동구 망양로773번길 28
부산중학교,부산 동구 초량로40번길 29
선화여자중학교,부산 동구 초량로80번길 5
경남여자중학교,부산 동구 초량중로 142
부산서중학교,부산 동구 홍곡남로 29
유락여자중학교,부산 동래구 금강로 51
충렬중학교,부산 동래구 명장로64번길 45
혜화여자중학교,부산 동래구 명장로67번길 14-22
사직여자중학교,부산 동래구 사직로 91
온천중학교,부산 동래구 쇠미로129번길 28
사직중학교,부산 동래구 쇠미로51번길 30
동해중학교,부산 동래구 시실로 19-39
여명중학교,부산 동래구 여고로52번길 9
안락중학교,부산 동래구 온천천로 513
남일중학교,부산 동래구 온천천로531번길 49
부산내성중학교,부산 동래구 중앙대로 1297
동래중학교,부산 동래구 충렬대로181번길 109
동신중학교,부산 동래구 충렬사로51번길 38
학산여자중학교,부산 동래구 충렬사로51번길 61
화명중학교,부산 북구 금곡대로186번길 13
화명중학교부설방송통신중학교,부산 북구 금곡대로186번길 13
용수중학교,부산 북구 금곡대로229번길 88
가람중학교,부산 북구 낙동북로663번길 55
공중전화 만덕중학교,부산 북구 만덕1로 52
만덕중학교,부산 북구 만덕1로 52
덕천중학교,부산 북구 만덕대로65번길 50
구남중학교,부산 북구 백양대로1016번길 38
구포중학교,부산 북구 백양대로1016번다길 31
대천리중학교,부산 북구 산성로 87-15
화신중학교,부산 북구 산성로12번길 22
백양중학교,부산 북구 상리로 70
양덕여자중학교,부산 북구 시랑로21번길 178
명진중학교,부산 북구 학사로 192
신덕중학교,부산 북구 함박봉로140번가길 27
금명중학교,부산 북구 화명신도시로 210-1
금곡중학교,부산 북구 효열로162번길 3
주례여자중학교,부산 사상구 가야대로306번길 55
주례중학교,부산 사상구 가야대로378번길 68
엄궁중학교,부산 사상구 대동로 56
학장중학교,부산 사상구 대동로140번길 60
모동중학교,부산 사상구 모라로192번길 51
주감중학교,부산 사상구 백양대로 530
모라중학교,부산 사상구 백양대로 936
쏘카존 모라중학교,부산 사상구 백양대로 936
신라중학교,부산 사상구 백양대로700번길 35-8
덕포여자중학교,부산 사상구 사상로310번길 110
동주중학교,부산 사상구 주례로 107
삼성중학교,부산 사하구 감천로43번길 45-2
감천중학교,부산 사하구 감천로73번길 60
사하중학교,부산 사하구 낙동대로302번길 35
당리중학교,부산 사하구 낙동대로356번길 22
다선중학교,부산 사하구 다대낙조2길 36
영남중학교,부산 사하구 다대로277번길 100
다대중학교,부산 사하구 다대로554번길 33
다송중학교,부산 사하구 다송로 55
두송중학교,부산 사하구 다송로 76
장림여자중학교,부산 사하구 두송로 64
동주여자중학교,부산 사하구 사리로8번길 28
장평중학교,부산 사하구 사하로 134-1
건국중학교,부산 사하구 승학로17번길 76-8
