행정동명,합계
가야1동,593116
감전동,210038
개금1동,448050
거제1동,1093253
거제2동,297383
광안2동,559924
광안3동,1055774
괘법동,1175310
괴정1동,500648
괴정2동,228583
괴정4동,224985
구서1동,539320
구서2동,366887
구포1동,194528
구포2동,412351
금곡동,207910
금사회동동,92447
남산동,321800
남천1동,744434
남포동,1931389
다대1동,468580
다대2동,272740
당감2동,325111
당리동,360736
대연3동,988458
대연5동,517741
대연6동,260005
대저1동,605694
덕천1동,447025
덕천2동,971877
덕포2동,335970
동대신2동,348599
동면,260305
만덕1동,348640
명륜동,1174332
명장2동,166769
모라1동,246199
문현2동,259733
문현3동,272598
문현4동,149351
물금읍,356787
반송1동,279935
반송2동,137265
반여1동,10196
범일2동,808856
범천1동,512876
복산동,98340
부전1동,4172823
사직1동,386580
서2동,125312
서대신1동,179015
수영동,193623
수정2동,390642
신평1동,235326
신평2동,362926
아미동,505134
안락1동,169664
양정2동,657344
양주동,341727
연산3동,250423
연산5동,2260041
연산6동,206875
온천1동,1370667
온천2동,128360
온천3동,529522
우1동,1006277
우2동,1557470
장림2동,365940
장전1동,618821
장전2동,898442
전포1동,503220
좌2동,791741
좌천동,208070
주례1동,366408
주례2동,359858
중1동,383012
중앙동,494171
철마면,149882
청룡노포동,1127195
초량3동,1470982
하단1동,1035820
화명1동,310568
화명2동,810491
