매장명,주소
배영초등학교,부산 강서구 공항로339번길 260
덕두초등학교,부산 강서구 공항로791번길 68
녹산초등학교,부산 강서구 과학산단2로20번길 55
녹명초등학교,부산 강서구 낙동남로 617
대사초등학교,부산 강서구 낙동북로73번길 29
대상초등학교,부산 강서구 대저로 249
대저초등학교,부산 강서구 대저로29번길 27
천가초등학교,부산 강서구 동선길 135
명일초등학교,부산 강서구 명지국제5로 170-5
명원초등학교,부산 강서구 명지국제6로 147
명지초등학교,부산 강서구 명지국제6로 296
신명초등학교,부산 강서구 명지국제7로 178
명문초등학교,부산 강서구 명지국제8로 195
남명초등학교,부산 강서구 명지오션시티11로 132
명호초등학교,부산 강서구 명지오션시티2로 41
오션초등학교,부산 강서구 명지오션시티6로 72
신호초등학교,부산 강서구 신호산단2로75번길 12
송정초등학교,부산 강서구 신호산단4로 10
가락초등학교,부산 강서구 호계로 41
구서초등학교,부산 금정구 구서중앙로 35
남산초등학교,부산 금정구 금강로 614
장서초등학교,부산 금정구 금강로453번길 26-7
금샘초등학교,부산 금정구 금샘로 525
부산삼육초등학교,부산 금정구 금정도서관로 17
부곡초등학교,부산 금정구 기찰로22번길 15
공덕초등학교,부산 금정구 대두로 2
현곡초등학교,부산 금정구 동부곡로27번라길 20
서동초등학교,부산 금정구 동현로 147
동현초등학교,부산 금정구 동현로 36
서명초등학교,부산 금정구 명서로 48
금빛초등학교,부산 금정구 소정로 31
장전초등학교,부산 금정구 수림로 90
금정초등학교,부산 금정구 식물원로44번길 46
동상초등학교,부산 금정구 옥봉로 5
금사초등학교,부산 금정구 윤산로 279
금성초등학교,부산 금정구 중리1길 15
금양초등학교,부산 금정구 중앙대로 1755
두실초등학교,부산 금정구 중앙대로1893번길 33
동래초등학교,부산 금정구 체육공원로44번길 26
청룡초등학교,부산 금정구 팔송로 6
용암초등학교,부산 기장군 기장읍 기장해안로 577
내리초등학교,부산 기장군 기장읍 소정안길 50
기장초등학교,부산 기장군 기장읍 읍내로 69
죽성초등학교,부산 기장군 기장읍 죽성로 270
교리초등학교,부산 기장군 기장읍 차성로 427
대청초등학교,부산 기장군 기장읍 차성서로 31
칠암초등학교,부산 기장군 일광읍 박영준길 19
해빛초등학교,부산 기장군 일광읍 해빛6로 9
부산일광초등학교,부산 기장군 일광읍 해빛로 46
월내초등학교,부산 기장군 장안읍 길천2길 25
장안초등학교,부산 기장군 장안읍 장안로 67-4
좌천초등학교,부산 기장군 장안읍 좌천로 13-66
월평초등학교,부산 기장군 정관읍 월평1길 21
모전초등학교,부산 기장군 정관읍 정관1로 17
가동초등학교,부산 기장군 정관읍 정관5로 100
방곡초등학교,부산 기장군 정관읍 정관덕산길 61
정원초등학교,부산 기장군 정관읍 정관로 423
신정초등학교,부산 기장군 정관읍 정관로 460
정관초등학교,부산 기장군 정관읍 정관로 530
달산초등학교,부산 기장군 정관읍 정관로 674
신진초등학교,부산 기장군 철마면 고촌로28번길 10
철마초등학교,부산 기장군 철마면 철마로 493
동일중앙초등학교,부산 동구 구봉로 46
수성초등학교,부산 동구 망양로 807
성남초등학교,부산 동구 범일로53번길 14
범일초등학교,부산 동구 증산서로 55
수정초등학교,부산 동구 진성로 29
초량초등학교,부산 동구 초량상로 49
내성초등학교,부산 동래구 동래로 173
명륜초등학교,부산 동래구 동래로 91
명서초등학교,부산 동래구 명서로 121
안락초등학교,부산 동래구 명안로53번길 22
명동초등학교,부산 동래구 명장로63번길 60-5
혜화초등학교,부산 동래구 명장로99번길 25
명장초등학교,부산 동래구 복천로 121
예원초등학교,부산 동래구 사직로 78
금강초등학교,부산 동래구 사직북로28번길 125
달북초등학교,부산 동래구 쇠미로 131
사직초등학교,부산 동래구 쇠미로81번길 7
교동초등학교,부산 동래구 시실로 73-13
안진초등학교,부산 동래구 안남로 63
충렬초등학교,부산 동래구 안락로125번길 22
여고초등학교,부산 동래구 여고로63번가길 12
안남초등학교,부산 동래구 연안로 46
수안초등학교,부산 동래구 온천천로 215
안민초등학교,부산 동래구 온천천로381번길 19
내산초등학교,부산 동래구 중앙대로1335번길 38
미남초등학교,부산 동래구 충렬대로100번길 83
온천초등학교,부산 동래구 충렬대로107번길 124
낙민초등학교,부산 동래구 충렬대로272번길 34
온샘초등학교,부산 동래구 충렬대로75번길 25
온천2초등학교,부산 동래구 충렬대로75번길 25
구남초등학교,부산 북구 구남로14번가길 23
부산명덕초등학교,부산 북구 금곡대로186번길 43
화명초등학교,부산 북구 대천천길 65
덕천초등학교,부산 북구 덕천2길 10
양천초등학교,부산 북구 덕천로 132
백산초등학교,부산 북구 덕천로259번길 23
만덕초등학교,부산 북구 만덕1로 72
덕성초등학교,부산 북구 만덕대로39번길 45
신천초등학교,부산 북구 모분재로 83
구포초등학교,부산 북구 백양대로1124번길 20
대천리초등학교,부산 북구 산성로 87-10
백양초등학교,부산 북구 상리로18번길 12
상학초등학교,부산 북구 상학산복길 191
포천초등학교,부산 북구 시랑로 115
학사초등학교,부산 북구 용당로15번길 20
화정초등학교,부산 북구 의성로 23
양덕초등학교,부산 북구 팽나무로 58
덕양초등학교,부산 북구 함박봉로 42
신덕초등학교,부산 북구 함박봉로140번가길 25
화잠초등학교,부산 북구 화명대로 97-25
와석초등학교,부산 북구 화명대로94번길 83
명진초등학교,부산 북구 화명신도시로 159
금명초등학교,부산 북구 화명신도시로 197
용수초등학교,부산 북구 화명신도시로 53
금곡초등학교,부산 북구 효열로 174
신금초등학교,부산 북구 효열로 42
금창초등학교,부산 북구 효열로235번길 14
동주초등학교,부산 사상구 가야대로306번길 72
주학초등학교,부산 사상구 가야대로366번길 120
감전초등학교,부산 사상구 괘감로 132
서감초등학교,부산 사상구 괘감로 64
학장초등학교,부산 사상구 대동로 205
학진초등학교,부산 사상구 대동로 34-16
모덕초등학교,부산 사상구 덕상로 120
덕상초등학교,부산 사상구 덕상로 32
모산초등학교,부산 사상구 모라로110번길 93
모동초등학교,부산 사상구 모라로192번길 37
모라초등학교,부산 사상구 모라로64번길 46
주양초등학교,부산 사상구 백양대로 372-6
괘법초등학교,부산 사상구 사상로161번길 8
창진초등학교,부산 사상구 사상로223번길 100
삼덕초등학교,부산 사상구 삼덕로 24
덕포초등학교,부산 사상구 삼덕로 83
주감초등학교,부산 사상구 양지로 48
동궁초등학교,부산 사상구 엄궁로 70-7
엄궁초등학교,부산 사상구 엄궁로191번길 23
