행정동명,인구밀도,시설물개수,자동차등록대수,강,하천,자전거도로,지하철승하차합계,학교개수,영화관개수,대학교개수
거제1동,31691.01124,12,14100.58612,,,2.968976631,1093253,5,,1
거제2동,6898.360656,11,6311.143384,,,1.328855203,297383,2,1,
거제3동,15441.93548,1,4786.350346,,,1.007799407,,,,
거제4동,11173.86364,3,4915.832771,,,1.035062833,,4,,
연산1동,19191.76471,7,8155.393063,,,1.717174819,,4,,
연산2동,13480.53691,7,10041.63704,,,2.114336629,,,,
연산3동,18322.0339,,5404.266475,,,1.137905952,250423,4,,
연산4동,17051.08696,28,7842.435541,,,1.651279433,,,,
연산5동,32082.69231,13,8340.367956,,,1.756122572,2260041,1,,
연산6동,13609.32203,3,8028.410299,,,1.690437714,206875,3,,
연산8동,19354.28571,4,6770.581025,,,1.425592998,,,,
연산9동,20550.30675,16,16746.22702,,수영강,3.526034753,,8,,1
괴정1동,16950.45872,9,7045.85283,,,3.238679313,500648,,,
괴정2동,14850.48544,2,5833.154627,,,2.681253452,228583,2,,
괴정3동,6233.684211,12,4516.728779,,,2.076148397,,,,1
괴정4동,17156.32184,5,5692.054522,,,2.616395726,224985,2,,
당리동,6389.922481,21,9430.444611,,,4.334774883,360736,7,,
하단1동,3318.307692,12,8225.373441,,,3.780854845,1035820,,,
하단2동,8187.012987,24,9616.162858,,,4.420141674,,4,1,1
신평1동,9675.151515,4,6087.89752,,,2.798347941,235326,3,,
신평2동,6558.490566,9,6627.891437,낙동강,,3.046560211,362926,1,,
장림1동,4071.146245,9,3927.921853,낙동강,,1.805498859,,2,,
장림2동,11444.34783,19,10037.93777,,,4.614013687,365940,4,,
다대1동,7300.590551,34,14143.18813,낙동강,,6.501022932,468580,5,,
다대2동,9711.524164,6,9962.430144,,,4.579306039,272740,4,,
구평동,3587.252125,5,4829.055769,,,2.21971185,,5,,
감천1동,7324.267782,16,6675.560391,,,3.068471605,,3,,
감천2동,8904.83871,2,2105.442383,,,0.967782447,,,,
수민동 ,25935.53719,17,11763.44712,,,3.26969946,,3,,
복산동 ,11319.23077,3,3343.689128,,,0.929392415,98340,3,,
명륜동 ,19560,10,9721.541959,,,2.702143356,1174332,5,,
온천1동 ,11191.50943,17,8289.431501,,,2.304082249,1370667,4,1,
온천2동 ,10481.54506,17,9003.635501,,,2.502598246,128360,3,,
온천3동 ,21167.79661,9,14024.908,,,3.898281995,529522,3,,
사직1동 ,32171.875,5,3823.897831,,,1.062868438,386580,3,,
사직2동 ,13586.02151,3,9511.612633,,,2.64379262,,6,,
사직3동 ,21258.75,11,6353.786859,,,1.766061703,,2,1,
안락1동 ,14418.5567,8,5234.163791,,,1.454857776,169664,,,
안락2동 ,19514.1791,12,9820.397567,,,2.729620687,,3,,
명장1동 ,15267.77778,6,5123.46032,,,1.424087282,,7,,
명장2동 ,16042.04545,4,5355.604389,,,1.488612699,166769,4,,
구포1동,15781,3,6092.174705,낙동강,,1.233078463,194528,4,,
구포2동,8070,7,9346.147241,낙동강,,1.891694417,412351,6,,
구포3동,18740,12,7234.48159,,,1.464285559,,4,,1
금곡동,4537.75,21,14014.20228,낙동강,,2.836525846,207910,9,,
화명1동,8069.4,7,15575.75393,,,3.152589618,310568,4,1,
화명2동,3490.2,5,6736.869703,,,1.363567091,810491,5,,
화명3동,14378.5,31,11101.49344,낙동강,,2.246982914,,4,,1
덕천1동,11958,18,4616.325019,,,0.934361084,447025,1,,1
덕천2동,5713.5,21,4411.335172,낙동강,,0.892870389,971877,4,,
덕천3동,10294,5,3973.946291,,,0.804341278,,1,,
만덕1동,3301.8,7,6373.215399,,,1.289962129,348640,3,,
만덕2동,13454,27,10387.6964,,,2.102507781,,7,1,
만덕3동,9000,4,6948.808358,,,1.406464251,,,,
남천1동,15721.21212,17,10398.20422,,,0.858641589,744434,2,,
남천2동,17774.24242,,8512.597162,,,0.702935796,,,,
수영동,19843.05556,13,9183.701262,,수영강,0.758352854,193623,,,
망미1동,14853.84615,14,17457.82842,,,1.441596763,,6,,
망미2동,12793.82716,2,6656.310188,,수영강,0.549651136,,1,,
광안1동,21259.50413,10,16753.4949,,,1.383435753,,1,,
광안2동,41753.33333,5,12142.42332,,,1.002672138,559924,2,,
광안3동,8119.491525,3,6240.61658,,,0.515324841,1055774,1,,
광안4동,16171.42857,7,8771.265441,,,0.724295574,,3,,
민락동,18519.07895,20,18239.04572,,수영강,1.506106523,,3,,
삼락동,824.5508982,4,2384.541335,낙동강,,0.593751756,,2,,
모라1동,16253.29341,11,11810.28196,낙동강,,2.940764983,246199,4,,
모라3동,2909.580838,3,4199.084988,,,1.04557386,,3,,
덕포1동,14907.14286,3,5437.944108,,,1.354050282,,3,,
덕포2동,7818.75,9,5437.944108,,,1.354050282,335970,7,,
괘법동,6998.550725,20,10812.45793,,,2.692306396,1175310,1,1,1
감전동,3649.712644,10,5463.753673,,,1.360476874,210038,4,,
주례1동,10825.4902,6,7307.169043,,,1.819488046,366408,1,,
주례2동,9317.721519,9,9628.280091,,,2.397445636,359858,4,,
주례3동,14596.51163,8,5438.819008,,,1.354268132,,2,,
학장동,4970.985401,26,11829.52977,,,2.945557696,,6,,2
엄궁동,4994.444444,13,10873.70096,낙동강,,2.707555937,,4,,
중앙동,6081.666667,14,3064.153917,,,0.093546083,494171,,1,
동광동,16735.29412,6,2508.818945,,,0.076592166,,2,,
대청동,17731.42857,7,5900.679365,,,0.180142857,,,,
보수동,25247.61905,3,10254.07383,,,0.313048387,,1,,
부평동,21904.7619,5,4266.07148,,,0.130239631,,4,2,
