행정동명,인구밀도,시설물개수,자동차등록대수,강,하천,자전거도로,지하철승하차합계,학교개수,영화관개수,대학교개수
거제1동,31691.01124,12,8453.769231,,,1.78,1093253,5,,1
거제2동,6898.360656,11,8453.769231,,,1.78,297383,2,1,
연산3동,18322.0339,,8453.769231,,,1.78,250423,4,,
연산5동,32082.69231,13,8453.769231,,,1.78,2260041,1,,
연산6동,13609.32203,3,8453.769231,,,1.78,206875,3,,
괴정1동,16950.45872,9,7146.625,,,3.285,500648,,,
괴정2동,14850.48544,2,7146.625,,,3.285,228583,2,,
괴정4동,17156.32184,5,7146.625,,,3.285,224985,2,,
당리동,6389.922481,21,7146.625,,,3.285,360736,7,,
하단1동,3318.307692,12,7146.625,,,3.285,1035820,,,
신평1동,9675.151515,4,7146.625,,,3.285,235326,3,,
신평2동,6558.490566,9,7146.625,낙동강,,3.285,362926,1,,
장림2동,11444.34783,19,7146.625,,,3.285,365940,4,,
다대1동,7300.590551,34,7146.625,낙동강,,3.285,468580,5,,
다대2동,9711.524164,6,7146.625,,,3.285,272740,4,,
복산동 ,11319.23077,,7751.692308,,,2.154615385,98340,3,,
명륜동 ,19560,,7751.692308,,,2.154615385,1174332,5,,
온천1동 ,11191.50943,,7751.692308,,,2.154615385,1370667,4,1,
온천2동 ,10481.54506,,7751.692308,,,2.154615385,128360,3,,
온천3동 ,21167.79661,,7751.692308,,,2.154615385,529522,3,,
사직1동 ,32171.875,,7751.692308,,,2.154615385,386580,3,,
안락1동 ,14418.5567,,7751.692308,,,2.154615385,169664,,,
명장2동 ,16042.04545,,7751.692308,,,2.154615385,166769,4,,
구포1동,15781,3,8186.230769,낙동강,,1.656923077,194528,4,,
구포2동,8070,7,8186.230769,낙동강,,1.656923077,412351,6,,
금곡동,4537.75,21,8186.230769,낙동강,,1.656923077,207910,9,,
화명1동,8069.4,7,8186.230769,,,1.656923077,310568,4,1,
화명2동,3490.2,5,8186.230769,,,1.656923077,810491,5,,
덕천1동,11958,18,8186.230769,,,1.656923077,447025,1,,1
덕천2동,5713.5,21,8186.230769,낙동강,,1.656923077,971877,4,,
만덕1동,3301.8,7,8186.230769,,,1.656923077,348640,3,,
남천1동,15721.21212,17,11431.9,,,0.944,744434,2,,
수영동,19843.05556,13,11431.9,,수영강,0.944,193623,,,
광안2동,41753.33333,5,11431.9,,,0.944,559924,2,,
광안3동,8119.491525,3,11431.9,,,0.944,1055774,1,,
모라1동,16253.29341,11,7419.666667,낙동강,,1.8475,246199,4,,
덕포2동,7818.75,9,7419.666667,,,1.8475,335970,7,,
괘법동,6998.550725,20,7419.666667,,,1.8475,1175310,1,1,1
감전동,3649.712644,10,7419.666667,,,1.8475,210038,4,,
주례1동,10825.4902,6,7419.666667,,,1.8475,366408,1,,
주례2동,9317.721519,9,7419.666667,,,1.8475,359858,4,,
중앙동,6081.666667,14,4258.222222,,,0.13,494171,,1,
남포동,4860.869565,6,4258.222222,,,0.13,1931389,1,1,
초량3동,8451.633987,14,5180.666667,,,0.35,1470982,2,,
수정2동,8466.071429,7,5180.666667,,,0.35,390642,2,,
좌천동,25241.30435,9,5180.666667,,,0.35,208070,4,,
범일2동,9350.60241,24,5180.666667,,,0.35,808856,1,,
서2동,22492.5,3,5438.6875,,,2.43375,125312,1,,
금사회동동,1402.181818,14,5438.6875,,수영강,2.43375,92447,1,,
장전1동,5481.097561,8,5438.6875,,,2.43375,618821,2,,
장전2동,9569.708029,24,5438.6875,,,2.43375,898442,3,1,1
청룡노포동,895.8753437,8,5438.6875,,,2.43375,1127195,2,,
남산동,7672.802198,20,5438.6875,,,2.43375,321800,4,,1
구서1동,6401.320132,5,5438.6875,,,2.43375,539320,3,,
구서2동,10148.27586,14,5438.6875,,,2.43375,366887,3,,
동대신2동,15974.4186,2,2438.769231,,,0.248461538,348599,1,,
서대신1동,23356.25,3,2438.769231,,,0.248461538,179015,,,
아미동,8401.388889,4,2438.769231,,,0.248461538,505134,,,
철마면,146.2,11,17138.4,,,12.404,149882,2,,
대연3동 ,8338.5,,5958.235294,,,0.994117647,988458,9,1,1
대연5동 ,16806,,5958.235294,,,0.994117647,517741,2,,
대연6동 ,14906,,5958.235294,,,0.994117647,260005,4,,
문현2동 ,8049,,5958.235294,,,0.994117647,259733,3,,
문현3동 ,16667,,5958.235294,,,0.994117647,272598,,,
문현4동 ,8974,,5958.235294,,,0.994117647,149351,3,,1
부전1동,27284.21053,14,7303.85,,,1.1145,4172823,1,,
양정2동,14579.77528,3,7303.85,,,1.1145,657344,6,,
전포1동,11756.74157,15,7303.85,,,1.1145,503220,6,1,
당감2동,12015.11628,6,7303.85,,,1.1145,325111,,,
가야1동,9895.544554,7,7303.85,,,1.1145,593116,3,,1
개금1동,29658.62069,12,7303.85,,,1.1145,448050,2,,1
범천1동,21901.81818,17,7303.85,,,1.1145,512876,1,,
우1동,3185.488506,19,10137.44444,,,3.586666667,1006277,8,2,
우2동,9394.080997,48,10137.44444,,수영강,3.586666667,1557470,8,7,
중1동,25793.39623,32,10137.44444,,,3.586666667,383012,3,,
좌2동,21574.30556,20,10137.44444,,,3.586666667,791741,8,,
반여1동,6680.501931,22,10137.44444,,수영강,3.586666667,10196,8,,
반송1동,1930.473373,18,10137.44444,,,3.586666667,279935,3,,1
반송2동,4811.764706,4,10137.44444,,,3.586666667,137265,4,,
대저1동,369.4915254,6,11068.5,낙동강,평강천,13.20125,605694,4,,
