행정동명,행정동_코드,총반납대여,시설물개수,구,인구 (명),면적 (㎢),인구밀도 (명/㎢),강,하천,자동차등록대수,자전거도로(km),지하철_총승객수,버스_총승객수,학교개수,영화관개수,대학교개수
가양1동,11500603,303516,20,강서구,34359,4.7,7310,,,9477.4,3.855,522372.0,711582,2.0,1.0,
여의동,11560540,212352,20,영등포구,32923,8.4,3919,한강,,7557.388889,3.5111111110000004,7984912.0,2788411,5.0,1.0,
발산1동,11500611,152208,32,강서구,36236,2.94,12325,,,9477.4,3.855,1919704.0,744341,17.0,,
당산2동,11560560,109285,8,영등포구,37102,1.55,23937,한강,,7557.388889,3.5111111110000004,4249030.0,1017536,7.0,,
종로1.2.3.4가동,11110615,99611,29,종로구,8700,2.35,3702,,,2607.352941,1.888235294,11550312.0,3700523,2.0,4.0,5.0
상암동,11440740,99519,19,마포구,30837,8.4,3671,한강,,7102.9375,4.2125,4981827.0,1616294,2.0,1.0,
공항동,11500620,95984,9,강서구,30927,10.87,2845,,,9477.4,3.855,1073562.0,451834,6.0,,
영등포동,11560535,92540,28,영등포구,30461,1.26,24175,,,7557.388889,3.5111111110000004,575286.0,2147150,2.0,1.0,1.0
잠실6동,11710710,89795,17,송파구,16713,2.79,5990,한강,,8714.740741,3.611111111,766020.0,852829,3.0,1.0,
목1동,11470510,89424,15,양천구,30536,1.41,21657,,안양천,7935.166667,3.138888889,944886.0,1182139,1.0,2.0,
방화1동,11500630,83634,21,강서구,42851,1.48,28953,,,9477.4,3.855,371644.0,273859,9.0,,
오륜동,11710566,82645,5,송파구,17804,3.17,5616,,,8714.740741,3.611111111,207869.0,380253,2.0,,
서교동,11440660,82405,26,마포구,26674,1.65,16166,,,7102.9375,4.2125,13594053.0,3007005,1.0,2.0,
문래동,11560605,78292,16,영등포구,32540,1.49,21839,,,7557.388889,3.5111111110000004,1155598.0,717718,3.0,,
문정2동,11710642,76600,21,송파구,28841,2.2,13110,,탄천,8714.740741,3.611111111,2935202.0,485584,1.0,2.0,
화양동,11215710,75248,10,광진구,27082,1.16,23347,,,6175.666667,3.22,5812056.0,656642,3.0,1.0,1.0
자양1동,11215820,75235,7,광진구,22709,0.57,39840,,,6175.666667,3.22,,389865,1.0,,
잠실3동,11710680,74237,7,송파구,34143,1.49,22915,,,8714.740741,3.611111111,,1011002,3.0,,
목5동,11470550,71200,14,양천구,40737,1.81,22507,,안양천,7935.166667,3.138888889,218869.0,817466,8.0,,
가산동,11545510,70811,17,금천구,26569,2.52,10543,,안양천,8485.0,0.92,7204395.0,1765497,,2.0,
성산2동,11440730,68259,16,마포구,39500,2.07,19082,,홍제천,7102.9375,4.2125,746168.0,691270,8.0,2.0,
용신동,11230536,67844,19,동대문구,36137,1.61,22445,,,6721.0,2.692857143,4179549.0,2056816,5.0,,
우장산동,11500615,66811,18,강서구,42883,1.36,31532,,,9477.4,3.855,,600892,1.0,,
구로5동,11530560,65407,17,구로구,31740,1.03,30816,,,8266.125,1.71875,6818463.0,902648,4.0,2.0,
군자동,11215730,64366,6,광진구,21524,0.74,29086,,중랑천,6175.666667,3.22,1380098.0,536797,,1.0,1.0
신정6동,11470670,60871,11,양천구,24152,0.96,25158,,,7935.166667,3.138888889,385287.0,300514,5.0,,
신도림동,11530510,56318,10,구로구,36138,1.47,24584,,안양천,8266.125,1.71875,72318.0,997539,5.0,1.0,
신정3동,11470640,55617,14,양천구,50587,2.72,18598,,,7935.166667,3.138888889,573959.0,966712,11.0,,
자양3동,11215840,55482,7,광진구,27858,1.2,23215,한강,,6175.666667,3.22,646740.0,334923,2.0,1.0,
구로3동,11530540,55353,9,구로구,25055,1.02,24564,,,8266.125,1.71875,3914118.0,872654,3.0,,
성수1가1동,11200650,55015,3,성동구,16407,1.97,8328,한강,중랑천,5518.294118,1.635294118,690144.0,283005,1.0,1.0,
한강로동,11170625,54153,14,용산구,22886,2.9,7892,한강,,4553.75,2.03125,6963977.0,1610947,3.0,2.0,
길동,11740685,53681,16,강동구,45374,2.17,20910,,,7995.555556,4.133333333,445294.0,536472,12.0,,
등촌1동,11500520,53451,12,강서구,24991,0.64,39048,,,9477.4,3.855,384443.0,490017,1.0,1.0,
독산1동,11545610,52346,30,금천구,47573,2.09,22762,,안양천,8485.0,0.92,,1199502,7.0,1.0,
잠실2동,11710670,52243,5,송파구,34876,2.18,15998,한강,,8714.740741,3.611111111,1227186.0,321933,9.0,,
망원2동,11440700,50912,4,마포구,18449,0.67,27536,한강,홍제천,7102.9375,4.2125,,307492,2.0,,
명동,11140550,50451,18,중구,3638,0.99,3675,,,3542.8,1.493333333,3618220.0,1471245,3.0,1.0,
상계1동,11350630,49661,10,노원구,37857,5.62,6736,,중랑천,7550.157895,2.3,711969.0,436935,4.0,,
양평2동,11560620,49521,4,영등포구,22583,3.0,7528,한강,안양천,7557.388889,3.5111111110000004,437948.0,582218,3.0,,
양평1동,11560610,48913,3,영등포구,18704,0.88,21255,,안양천,7557.388889,3.5111111110000004,577719.0,309118,1.0,,
신정7동,11470680,48527,7,양천구,28579,1.21,23619,,안양천,7935.166667,3.138888889,385287.0,242359,4.0,,
사직동,11110530,48410,17,종로구,9355,1.23,7606,,,2607.352941,1.888235294,,1464686,3.0,,
진관동,11380690,46255,19,은평구,55034,11.53,4773,,,7938.5625,2.79375,1163598.0,1313228,17.0,1.0,
위례동,11710647,45347,6,송파구,44613,2.55,17495,,,8714.740741,3.611111111,,783823,6.0,,
중계1동,11350621,45260,5,노원구,26580,0.63,42190,,,7550.157895,2.3,,392062,4.0,,
