시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명,cluster
0.545454545,0.101107312,0,1,0.900694444,0.038426509,0.117647059,0.25,0,0,가양1동,2
0.545454545,0.024320101,0,0.720524315,0.805169753,0.587382733,0.294117647,0.25,0,1,여의동,1
0.909090909,0.214669052,0,1,0.900694444,0.141216457,1,0,0,0,발산1동,2
0.181818182,0.477615996,0,0.720524315,0.805169753,0.312565355,0.411764706,0,0,1,당산2동,0
0.818181818,0.019406263,0,0,0.354370915,0.849659186,0.117647059,1,1,0,종로1.2.3.4가동,
0.515151515,0.018704287,0,0.654374638,1,0.366471059,0.117647059,0.25,0,1,상암동,1
0.212121212,0,0,1,0.900694444,0.078972916,0.352941176,0,0,0,공항동,2
0.787878788,0.483005367,0,0.720524315,0.805169753,0.042318946,0.117647059,0.25,0.2,0,영등포동,5
0.454545455,0.071216684,0,0.888987768,0.832947531,0.056349641,0.176470588,0.25,0,1,잠실6동,0
0.393939394,0.42598673,1,0.775513425,0.701774691,0.069507306,0.058823529,0.5,0,0,목1동,4
0.575757576,0.59120038,0,1,0.900694444,0.027338719,0.529411765,0,0,0,방화1동,2
0.090909091,0.062747673,0,0.888987768,0.832947531,0.015291172,0.117647059,0,0,0,오륜동,2
0.727272727,0.301646249,0,0.654374638,1,1,0.058823529,0.5,0,0,서교동,1
0.424242424,0.430108014,0,0.720524315,0.805169753,0.085007613,0.176470588,0,0,0,문래동,3
0.575757576,0.232444917,1,0.888987768,0.832947531,0.215918093,0.058823529,0.5,0,0,문정2동,4
0.242424242,0.464255791,0,0.519401642,0.724305556,0.427544015,0.176470588,0.25,0.2,0,화양동,5
0.151515152,0.837730124,0,0.519401642,0.724305556,0,0.058823529,0,0,0,자양1동,3
0.151515152,0.454473404,0,0.888987768,0.832947531,0,0.176470588,0,0,0,잠실3동,2
0.363636364,0.445234483,1,0.775513425,0.701774691,0.016100349,0.470588235,0,0,0,목5동,4
0.454545455,0.174316705,1,0.855546841,0.085416667,0.52996667,0,0.5,0,0,가산동,1
0.424242424,0.367677362,1,0.654374638,1,0.054889296,0.470588235,0.5,0,0,성산2동,4
0.515151515,0.443830529,0,0.598780041,0.577876984,0.307454223,0.294117647,0,0,0,용신동,1
0.484848485,0.649600326,0,1,0.900694444,0,0.058823529,0,0,0,우장산동,3
0.454545455,0.633386925,0,0.823687525,0.307291667,0.501576903,0.235294118,0.5,0,0,구로5동,1
0.121212121,0.594212088,1,0.519401642,0.724305556,0.101522188,0,0.25,0.2,0,군자동,4
0.272727273,0.505264826,0,0.775513425,0.701774691,0.02834232,0.294117647,0,0,0,신정6동,3
0.242424242,0.492266932,1,0.823687525,0.307291667,0.005319826,0.294117647,0.25,0,0,신도림동,4
0.363636364,0.356717466,0,0.775513425,0.701774691,0.04222133,0.647058824,0,0,0,신정3동,2
0.151515152,0.461266729,0,0.519401642,0.724305556,0.047575215,0.117647059,0.25,0,1,자양3동,0
0.212121212,0.491814044,0,0.823687525,0.307291667,0.287928699,0.176470588,0,0,0,구로3동,3
0.03030303,0.124159326,1,0.423714882,0.284109477,0.050768082,0.058823529,0.25,0,1,성수1가1동,0
0.363636364,0.114286361,0,0.283316409,0.394097222,0.512281142,0.176470588,0.5,0,1,한강로동,1
0.424242424,0.409071353,0,0.784303596,0.978009259,0.03275653,0.705882353,0,0,0,길동,2
0.303030303,0.819795747,0,1,0.900694444,0.028280234,0.058823529,0.25,0,0,등촌1동,3
0.848484848,0.451008809,1,0.855546841,0.085416667,0,0.411764706,0.25,0,0,독산1동,4
0.090909091,0.297841987,0,0.888987768,0.832947531,0.09027374,0.529411765,0,0,1,잠실2동,0
0.060606061,0.559113245,1,0.654374638,1,0,0.117647059,0,0,1,망원2동,0
0.484848485,0.018794864,0,0.136163122,0.244675926,0.266161975,0.176470588,0.25,0,0,명동,1
0.242424242,0.088109418,1,0.719471775,0.46875,0.052373564,0.235294118,0,0,0,상계1동,4
0.060606061,0.106043794,1,0.720524315,0.805169753,0.032216146,0.176470588,0,0,1,양평2동,0
0.03030303,0.416883676,1,0.720524315,0.805169753,0.042497922,0.058823529,0,0,0,양평1동,4
0.151515152,0.470415072,1,0.775513425,0.701774691,0.02834232,0.235294118,0,0,0,신정7동,4
0.454545455,0.107810059,0,0,0.354370915,0,0.176470588,0,0,0,사직동,3
0.515151515,0.043658432,0,0.776007721,0.605902778,0.085596106,1,0.25,0,0,진관동,2
0.121212121,0.331740676,0,0.888987768,0.832947531,0,0.352941176,0,0,0,위례동,2
0.090909091,0.890944499,0,0.719471775,0.46875,0,0.235294118,0,0,0,중계1동,3
0.636363636,0.423450556,0,0.784303596,0.978009259,0,0.176470588,0,0.2,1,천호2동,0
0.212121212,0.563574194,0,0.776007721,0.605902778,0.129973379,0.117647059,0,0,0,응암1동,3
0.242424242,0.266796495,0,0.784303596,0.978009259,0,0.294117647,0,0,0,강일동,2
0.181818182,0.166866692,1,0.423714882,0.284109477,0.149344496,0.235294118,0,0,0,성수2가3동,4
0.424242424,0.076809855,0,0.719471775,0.46875,0.044808564,0.352941176,0.25,0.4,0,공릉2동,5
0.484848485,0.457598333,0,0.888987768,0.832947531,0.076248636,0.411764706,0,0,0,오금동,2
0.363636364,0.532755146,1,0.719471775,0.46875,0.123619939,0.411764706,0.25,0,0,공릉1동,4
0.242424242,0.71250651,0,0.784303596,0.978009259,0.040904063,0.235294118,0.25,0,0,성내1동,3
0.424242424,0.778379113,0,0.719471775,0.46875,0.05606687,0.117647059,0.25,0,0,중계2.3동,3
0.242424242,0.356830688,0,0.719471775,0.46875,0.071394896,0.176470588,0,0.2,0,월계1동,5
0.151515152,0.262471411,0,0.519401642,0.724305556,0,0.470588235,0,0,1,자양2동,0
0.060606061,0.39582437,0,0.623224318,0.094675926,0.309164309,0.117647059,0,0,1,노량진1동,0
0.515151515,0.936844727,0,0.399786464,0.196263227,0.307219341,0,0.25,0,0,신림동,3
0.151515152,0.733158217,0,0.598780041,0.577876984,0,0.235294118,0,0,0,답십리1동,3
0.303030303,0.338443423,0,0.955683629,0.46412037,0,0.117647059,0.25,0,1,반포3동,0
0.242424242,0.477321619,1,1,0.900694444,0,0.235294118,0,0,1,염창동,0
0.272727273,0.416589298,0,0.888987768,0.832947531,0,0.352941176,0,0,0,장지동,2
0.121212121,0.558207468,1,0.534713106,0.085813492,0,0.529411765,0,0,0,창4동,4
1,0.589275605,1,0.719471775,0.46875,0,0.588235294,0.5,0.2,0,상계6.7동,4
