행정동코드,,행정동명,cluster,,,,,,,
1.119023438,,공항동,0,,,,,,,
0.547701414,,광희동,0,,,,,,,
1.16650269,,구로3동,0,,,,,,,
1.166534427,,구로5동,0,,,,,,,
0.667161242,,구의3동,0,,,,,,,
0.66693908,,군자동,0,,,,,,,
0.928424076,,녹번동,0,,,,,,,
0.690535887,,답십리1동,0,,,,,,,
1.21412476,,당산1동,0,,,,,,,
1.261905518,,대방동,0,,,,,,,
1.5,,둔촌2동,0,,,,,,,
1.118864751,,등촌1동,0,,,,,,,
0.642834473,,마장동,0,,,,,,,
0.738229367,,망우본동,0,,,,,,,
0.547637939,,명동,0,,,,,,,
0.83349731,,방학1동,0,,,,,,,
1.119055176,,방화2동,0,,,,,,,
0.5,,사직동,0,,,,,,,
0.881008299,,상계1동,0,,,,,,,
0.881024168,,상계2동,0,,,,,,,
0.73812622,,상봉2동,0,,,,,,,
1.499904788,,성내1동,0,,,,,,,
1.023969722,,성산1동,0,,,,,,,
0.643072504,,성수2가3동,0,,,,,,,
0.64312011,,송정동,0,,,,,,,
1.452219242,,송파2동,0,,,,,,,
0.738269039,,신내1동,0,,,,,,,
1.166455084,,신도림동,0,,,,,,,
1.30956726,,신림동,0,,,,,,,
1.071433105,,신정2동,0,,,,,,,
1.07149658,,신정6동,0,,,,,,,
1.071512449,,신정7동,0,,,,,,,
1.357105226,,양재2동,0,,,,,,,
1.214219972,,양평1동,0,,,,,,,
1.214069219,,영등포본동,0,,,,,,,
1.452181157,,오륜동,0,,,,,,,
0.642826539,,왕십리도선동,0,,,,,,,
0.880897218,,월계1동,0,,,,,,,
0.928535157,,응암1동,0,,,,,,,
0.667081899,,자양1동,0,,,,,,,
1.452362061,,잠실3동,0,,,,,,,
1.452314455,,잠실본동,0,,,,,,,
1.452308107,,장지동,0,,,,,,,
0.690488281,,전농2동,0,,,,,,,
0.880994017,,중계1동,0,,,,,,0,0.964537572
0.881000365,,중계2.3동,0,,,,,,1,0.982094117
0.833218021,,창4동,0,,,,,,2,1.160208906
0.833219607,,창5동,0,,,,,,3,1.09945953
0.690702509,,청량리동,0,,,,,,,
0.500190425,,혜화동,0,,,,,,,
1.118977419,,화곡6동,0,,,,,,,
0.666907342,,화양동,0,,,,,,,
0.690742181,,휘경2동,0,,,,,,,
1.190258184,,가산동,1,,,,,,,
1.02387451,,서교동,1,,,,,,,
1.214108891,,여의동,1,,,,,,,
0.500134884,,종로1.2.3.4가동,1,,,,,,,
1.118996461,,가양1동,2,,,,,,,
1.499706428,,강일동,2,,,,,,,
0.880952759,,공릉1동,2,,,,,,,
0.880960693,,공릉2동,2,,,,,,,
1.499976197,,길동,2,,,,,,,
1.190416872,,독산1동,2,,,,,,,
1.118888554,,등촌3동,2,,,,,,,
1.071242681,,목1동,2,,,,,,,
1.071306155,,목5동,2,,,,,,,
1.214212038,,문래동,2,,,,,,,
1.45230176,,문정2동,2,,,,,,,
1.119009156,,발산1동,2,,,,,,,
1.119039307,,방화1동,2,,,,,,,
0.881111446,,상계6.7동,2,,,,,,,
1.452235111,,석촌동,2,,,,,,,
1.023985591,,성산2동,2,,,,,,,
1.071448974,,신정3동,2,,,,,,,
1.357103639,,양재1동,2,,,,,,,
1.214100957,,영등포동,2,,,,,,,
1.452187505,,오금동,2,,,,,,,
1.166883539,,오류2동,2,,,,,,,
0.690434327,,용신동,2,,,,,,,
1.119015504,,우장산동,2,,,,,,,
1.452309694,,위례동,2,,,,,,,
0.928709713,,진관동,2,,,,,,,
1.118896488,,화곡1동,2,,,,,,,
1.118998048,,가양2동,3,,,,,,,
1.261667487,,노량진1동,3,,,,,,,
1.214140629,,당산2동,3,,,,,,,
1.023937985,,망원2동,3,,,,,,,
1.356990971,,반포3동,3,,,,,,,
1.02400146,,상암동,3,,,,,,,
1.023866576,,서강동,3,,,,,,,
0.643009029,,성수1가1동,3,,,,,,,
1.214235841,,양평2동,3,,,,,,,
1.118848882,,염창동,3,,,,,,,
0.667097767,,자양2동,3,,,,,,,
0.667113636,,자양3동,3,,,,,,,
1.452346192,,잠실2동,3,,,,,,,
1.452409667,,잠실6동,3,,,,,,,
1.356927496,,잠원동,3,,,,,,,
1.499857181,,천호2동,3,,,,,,,
0.595363156,,한강로동,3,,,,,,,
