행정동명,행정동_코드,총반납대여,시설물개수,구,인구 (명),면적 (㎢),인구밀도 (명/㎢),강,하천,자동차등록대수,자전거도로(km),지하철_총승객수,버스_총승객수,학교개수,영화관개수,대학교개수
길동,11740685,53681,16,강동구,45374,2.17,20910,,,15037.12133,7.773497963,445294,536472,12,,
천호2동,11740610,45047,23,강동구,33825,1.57,21545,한강,,11209.73749,5.794917102,,547707,3,,1
강일동,11740515,44041,10,강동구,33057,2.26,14627,,,10955.21929,5.663342931,,545602,5,,
성내1동,11740640,41730,10,강동구,19900,0.58,34310,,,6594.937949,3.40927865,556052,292199,4,1,
둔촌2동,11740700,35368,7,강동구,24277,0.98,24772,,,8045.492894,4.159148633,547905,386934,4,,
가양1동,11500603,303516,20,강서구,34359,4.7,7310,,,11522.88986,4.687017578,522372,711582,2,1,
발산1동,11500611,152208,32,강서구,36236,2.94,12325,,,12152.37454,4.94306496,1919704,744341,17,,
공항동,11500620,95984,9,강서구,30927,10.87,2845,,,10371.9088,4.218847831,1073562,451834,6,,
방화1동,11500630,83634,21,강서구,42851,1.48,28953,,,14370.83015,5.845437592,371644,273859,9,,
우장산동,11500615,66811,18,강서구,42883,1.36,31532,,,14381.56191,5.849802811,,600892,1,,
등촌1동,11500520,53451,12,강서구,24991,0.64,39048,,,8381.167682,3.409099691,384443,490017,1,1,
염창동,11500510,40325,10,강서구,41628,1.74,23924,한강,안양천,13960.67577,5.678604375,,714378,4,,
등촌3동,11500535,36880,22,강서구,30025,0.79,38006,,,10069.40737,4.095803218,1150450,693381,14,1,
방화2동,11500640,36696,11,강서구,23371,6.41,3646,,,7837.87243,3.188110475,6441980,277704,2,1,
화곡1동,11500540,31854,21,강서구,52647,1.12,47006,,,17656.08959,7.181740284,4586661,1088378,3,1,
가양2동,11500604,31106,11,강서구,13902,1,13902,한강,,4662.278145,1.896414866,,112027,3,,
화곡6동,11500591,30528,6,강서구,25303,1.11,22795,,,8485.802323,3.451660577,,766801,1,,
신림동,11620695,40705,19,관악구,23877,0.54,44217,,,5505.154128,1.319047619,4176356,973997,,1,
화양동,11215710,75248,10,광진구,27082,1.16,23347,,,7454.11213,3.886582996,5812056,656642,3,1,1
자양1동,11215820,75235,7,광진구,22709,0.57,39840,,,6250.477526,3.259006471,,389865,1,,
군자동,11215730,64366,6,광진구,21524,0.74,29086,,중랑천,5924.315393,3.088945145,1380098,536797,,1,1
