총반납대여,시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명,cluster,,,,,,
7.75311287,1.013525519,-1.295701662,-0.577350269,1.298455471,0.981077719,-0.443449417,-0.648724346,0.649077794,-0.329617127,-0.468521286,가양1동,2,,,,,,
5.278820608,1.013525519,-1.614741051,-0.577350269,0.058012816,0.652096292,2.60519237,0.197437845,0.649077794,-0.329617127,2.134374746,여의동,1,,,,,,
3.646445616,2.700391849,-0.823869595,-0.577350269,1.298455471,0.981077719,0.127397067,3.582086609,-0.675570765,-0.329617127,-0.468521286,발산1동,2,,,,,,
2.4814677,-0.67334081,0.268635682,-0.577350269,0.058012816,0.652096292,1.078987354,0.761545972,-0.675570765,-0.329617127,2.134374746,당산2동,0,,,,,,
2.216407608,0.872953325,-1.638073923,-0.577350269,-0.235590113,1.323080221,1.378353998,-0.648724346,0.649077794,-0.329617127,2.134374746,상암동,1,,,,,,
2.12046378,-0.532768616,-1.71578744,-0.577350269,1.298455471,0.981077719,-0.218273959,0.479491908,-0.675570765,-0.329617127,-0.468521286,공항동,2,,,,,,
2.026989793,2.138103072,0.291027712,-0.577350269,0.058012816,0.652096292,-0.421832671,-0.648724346,0.649077794,1.239988238,-0.468521286,영등포동,5,,,,,,
1.952487442,0.591808937,-1.419892754,-0.577350269,0.80573172,0.747761327,-0.343912869,-0.366670283,0.649077794,-0.329617127,2.134374746,잠실6동,0,,,,,,
1.94241809,0.310664549,0.054123795,1.732050808,0.302079982,0.296009772,-0.270841453,-0.93077841,1.973726354,-0.329617127,-0.468521286,목1동,4,,,,,,
1.785271056,1.154097714,0.740561833,-0.577350269,1.298455471,0.981077719,-0.505025728,1.325654099,-0.675570765,-0.329617127,-0.468521286,방화1동,2,,,,,,
1.758428497,-1.095057392,-1.45508023,-0.577350269,0.80573172,0.747761327,-0.571932077,-0.648724346,-0.675570765,-0.329617127,-0.468521286,오륜동,2,,,,,,
1.751914631,1.856958684,-0.462492332,-0.577350269,-0.235590113,1.323080221,4.896672435,-0.93077841,1.973726354,-0.329617127,-0.468521286,서교동,1,,,,,,
1.64028324,0.451236743,0.071247113,-0.577350269,0.058012816,0.652096292,-0.184760118,-0.366670283,-0.675570765,-0.329617127,-0.468521286,문래동,3,,,,,,
1.59436048,1.154097714,-0.750013528,1.732050808,0.80573172,0.747761327,0.542254426,-0.93077841,1.973726354,-0.329617127,-0.468521286,문정2동,4,,,,,,
1.557665698,-0.392196422,0.213126027,-0.577350269,-0.834662841,0.373604745,1.71752415,-0.366670283,0.649077794,1.239988238,-0.468521286,화양동,5,,,,,,
1.557312863,-0.813913004,1.764856093,-0.577350269,-0.834662841,0.373604745,-0.656851973,-0.93077841,-0.675570765,-0.329617127,-0.468521286,자양1동,3,,,,,,
1.530226034,-0.813913004,0.17248167,-0.577350269,0.80573172,0.747761327,-0.656851973,-0.366670283,-0.675570765,-0.329617127,-0.468521286,잠실3동,2,,,,,,
1.44779848,0.170092355,0.134095332,1.732050808,0.302079982,0.296009772,-0.567438291,1.043600036,-0.675570765,-0.329617127,-0.468521286,목5동,4,,,,,,
1.437240587,0.591808937,-0.991527569,1.732050808,0.657305384,-1.826691068,2.286330864,-1.212832474,1.973726354,-0.329617127,-0.468521286,가산동,1,,,,,,
1.367976472,0.451236743,-0.188142919,1.732050808,-0.235590113,1.323080221,-0.352022928,1.043600036,1.973726354,-0.329617127,-0.468521286,성산2동,4,,,,,,
1.35671291,0.872953325,0.128262114,-0.577350269,-0.482344709,-0.130686656,1.050602558,0.197437845,-0.675570765,-0.329617127,-0.468521286,용신동,1,,,,,,
1.328676143,0.732381131,0.983204884,-0.577350269,1.298455471,0.981077719,-0.656851973,-0.93077841,-0.675570765,-0.329617127,-0.468521286,우장산동,3,,,,,,
1.290570022,0.591808937,0.915840625,-0.577350269,0.51589897,-1.062566599,2.128667599,-0.084616219,1.973726354,-0.329617127,-0.468521286,구로5동,1,,,,,,
1.262316126,-0.954485198,0.753075027,1.732050808,-0.834662841,0.373604745,-0.093046026,-1.212832474,0.649077794,1.239988238,-0.468521286,군자동,4,,,,,,
1.167457942,-0.251624227,0.383512443,-0.577350269,0.302079982,0.296009772,-0.499452207,0.197437845,-0.675570765,-0.329617127,-0.468521286,신정6동,3,,,,,,
1.043884463,-0.392196422,0.329508134,1.732050808,0.51589897,-1.062566599,-0.627308188,0.197437845,0.649077794,-0.329617127,-0.468521286,신도림동,4,,,,,,
1.024858544,0.170092355,-0.233679653,-0.577350269,0.302079982,0.296009772,-0.422374785,1.889762227,-0.675570765,-0.329617127,-0.468521286,신정3동,2,,,,,,
1.021194494,-0.813913004,0.200706918,-0.577350269,-0.834662841,0.373604745,-0.392641853,-0.648724346,0.649077794,-0.329617127,2.134374746,자양3동,0,,,,,,
1.01769329,-0.532768616,0.327626451,-0.577350269,0.51589897,-1.062566599,0.942167087,-0.366670283,-0.675570765,-0.329617127,-0.468521286,구로3동,3,,,,,,
1.008519595,-1.37620178,-1.199923986,1.732050808,-1.259365044,-1.142404698,-0.37491019,-0.93077841,0.649077794,-0.329617127,2.134374746,성수1가1동,0,,,,,,
0.985123957,0.170092355,-1.24094468,-0.577350269,-1.882518556,-0.763613363,2.188113855,-0.366670283,1.973726354,-0.329617127,2.134374746,한강로동,1,,,,,,
0.972313352,0.451236743,-0.016157073,-0.577350269,0.341094836,1.247345401,-0.474937786,2.17181629,-0.675570765,-0.329617127,-0.468521286,길동,2,,,,,,
0.966070897,-0.111052033,1.690341438,-0.577350269,1.298455471,0.981077719,-0.499797003,-0.93077841,0.649077794,-0.329617127,-0.468521286,등촌1동,3,,,,,,
0.936079969,2.419247461,0.158086793,1.732050808,0.657305384,-1.826691068,-0.656851973,0.761545972,0.649077794,-0.329617127,-0.468521286,독산1동,4,,,,,,
0.933284435,-1.095057392,-0.478298471,-0.577350269,0.80573172,0.747761327,-0.155514557,1.325654099,-0.675570765,-0.329617127,2.134374746,잠실2동,0,,,,,,
0.897159616,-1.235629586,0.607244577,1.732050808,-0.235590113,1.323080221,-0.656851973,-0.648724346,-0.675570765,-0.329617127,2.134374746,망원2동,0,,,,,,
0.884647563,0.732381131,-1.637697587,-0.577350269,-2.535653058,-1.278211533,0.821285054,-0.366670283,0.649077794,-0.329617127,-0.468521286,명동,1,,,,,,
0.863206085,-0.392196422,-1.34970597,1.732050808,0.053341159,-0.506513581,-0.365994109,-0.084616219,-0.675570765,-0.329617127,-0.468521286,상계1동,4,,,,,,
0.85940633,-1.235629586,-1.275191314,1.732050808,0.058012816,0.652096292,-0.477938818,-0.366670283,-0.675570765,-0.329617127,2.134374746,양평2동,0,,,,,,
0.842904534,-1.37620178,0.016301963,1.732050808,0.058012816,0.652096292,-0.420838728,-0.93077841,-0.675570765,-0.329617127,-0.468521286,양평1동,4,,,,,,
0.832428065,-0.813913004,0.238716919,1.732050808,0.302079982,0.296009772,-0.499452207,-0.084616219,-0.675570765,-0.329617127,-0.468521286,신정7동,4,,,,,,
0.829252555,0.591808937,-1.26785275,-0.577350269,-3.140008119,-0.900428432,-0.656851973,-0.366670283,-0.675570765,-0.329617127,-0.468521286,사직동,3,,,,,,
0.770763461,0.872953325,-1.534393178,-0.577350269,0.304273894,-0.034167469,-0.18149191,3.582086609,0.649077794,-0.329617127,-0.468521286,진관동,2,,,,,,
0.746119332,-0.954485198,-0.337454483,-0.577350269,0.80573172,0.747761327,-0.656851973,0.479491908,-0.675570765,-0.329617127,-0.468521286,위례동,2,,,,,,
0.743758055,-1.095057392,1.985953872,-0.577350269,0.053341159,-0.506513581,-0.656851973,-0.084616219,-0.675570765,-0.329617127,-0.468521286,중계1동,3,,,,,,
0.737976998,1.435242102,0.043586369,-0.577350269,0.341094836,1.247345401,-0.656851973,-0.366670283,-0.675570765,1.239988238,2.134374746,천호2동,0,,,,,,
0.720172429,-0.532768616,0.625779157,-0.577350269,0.304273894,-0.034167469,0.064958358,-0.648724346,-0.675570765,-0.329617127,-0.468521286,응암1동,3,,,,,,
0.71067304,-0.392196422,-0.607287856,-0.577350269,0.341094836,1.247345401,-0.656851973,0.197437845,-0.675570765,-0.329617127,-0.468521286,강일동,2,,,,,,
0.677370897,-0.67334081,-1.022481258,1.732050808,-1.259365044,-1.142404698,0.172536333,-0.084616219,-0.675570765,-0.329617127,-0.468521286,성수2가3동,4,,,,,,
