,대학교,주소,위도,경도,행정동명,행정동_코드
0,경성대학교,부산광역시 남구 수영로 309,35.1343929,129.0747647,문현4동 ,26290710
1,고신대학교,부산광역시 영도구 와치로 194,35.0718388,129.0738007,동삼1동,26200650
2,동명대학교,부산광역시 남구 신선로 428,35.1219955,129.1017248,용당동 ,26290610
3,동서대학교,부산광역시 사상구 주례로 47,35.1421229,128.9884053,학장동,26530670
4,동아대학교,부산광역시 사하구 낙동대로 550번길 37,0,0,하단2동,NaN
5,동의대학교,부산광역시 부산진구 엄광로 176,35.1430956,129.0341636,가야1동,26230710
6,부경대학교,부산광역시 남구 용소로 45,35.1324981,129.1029331,대연3동 ,26290530
7,부산가톨릭대학교,부산광역시 금정구 오륜대로 57,35.2414126,129.0944727,부곡3동,26410590
8,부산교육대학교,부산광역시 연제구 교대로 24,35.1958847,129.0735203,거제1동,26470610
9,부산대학교,부산광역시 금정구 부산대학로 63번길 2,0,0,장전2동,NaN
10,부산외국어대학교,부산광역시 금정구 금샘로 485번길 65,0,0,남산동,NaN
11,신라대학교,부산광역시 사상구 백양대로 700번길 140,0,0,괘법동,NaN
12,한국해양대학교,부산광역시 영도구 태종로 727,35.093124,129.0375588,남항동,26200530
13,경남정보대학교,부산광역시 사상구 주례로 45,35.1421229,128.9884053,학장동,26530670
14,대동대학교,부산광역시 금정구 동부곡로27번길 88,35.2268923,129.0949427,부곡2동,26410580
15,동의과학대학교,부산광역시 부산진구 양지로 54,35.16558,129.0719354,전포2동,26230610
16,동주대학교,부산광역시 사하구 사리로55번길 16,35.1047143,128.9977991,괴정3동,26380530
17,부산경상대학교,부산광역시 연제구 고분로 170,35.1845154,129.1065031,연산9동,26470730
18,부산여자대학교,부산광역시 부산진구 진남로 506,35.1686166,129.0716115,양정1동,26230560
19,부산예술대학교,부산광역시 남구 못골번영로 71번길 74,0,0,대연5동,NaN
20,부산과학기술대학교,부산광역시 북구 시랑로 132번길 88,0,0,구포3동,NaN
21,한국방송통신대학교 부산지역대학,부산광역시 북구 학사로 17번길 14,0,0,화명3동,NaN
22,한국폴리텍대학교 부산캠퍼스,부산광역시 북구 만덕대로 155번길 99,0,0,덕천1동,NaN
23,인제대학교 부산캠퍼스,부산광역시 부산진구 복지로 75,35.1483701,129.020682,개금1동,26230740
24,영산대학교 해운대캠퍼스,부산광역시 해운대구 반송순환로 142,35.224356,129.1521843,반송1동,26350610
