학교이름,주소,위도,경도,행정동명,행정동_코드
KAIST 도곡캠퍼스,서울 강남구 논현로28길 25,37.4834758,127.0443633,도곡2동,11680656
KAIST 서울캠퍼스,서울 동대문구 회기로 85,37.5900593,127.057953,휘경1동,11230720
감로불교대학,서울 노원구 덕릉로127길 6,37.6720907,127.0818753,상계3.4동,11350665
감리교신학대학교,서울 서대문구 독립문로 56,37.5675189,126.962223,천연동,11410520
개신대학원대학교,서울 강북구 도봉로 235,37.6128166,127.0302125,송중동,11305545
건국대학교 서울캠퍼스,서울 광진구 능동로 120,37.54184695,127.0771149,화양동,11215710
경기대학교 서울캠퍼스,서울 서대문구 경기대로9길 24,37.5640206,126.9614011,충현동,11410565
경남대학교 극동문제연구소,서울 종로구 북촌로15길 2,37.58630325,126.9833812,삼청동,11110540
경복대학교 서울산학협력거점실습지원센터,서울 동대문구 왕산로 6,37.58070025,127.0483709,전농1동,11230560
경희대학교 서울캠퍼스,서울 동대문구 경희대로 26,37.5971213,127.0519867,회기동,11230710
고려대학교 서울캠퍼스,서울 성북구 안암로 145,37.5879631,127.0323454,안암동,11290600
관음선원 관음불교대학,서울 노원구 상계로35가길 92,37.6740578,127.0789773,상계3.4동,11350665
광운대학교,서울 노원구 광운로 20,37.6220558,127.0594209,월계1동,11350560
국민대학교,서울 성북구 정릉로 77,37.6102921,126.9959431,정릉3동,11290640
국제영어대학원대학교,서울 강동구 양재대로81길 89,37.523526,127.1317008,성내3동,11740660
국제예술대학교,서울 강남구 도산대로30길 47,37.5182064,127.0301019,논현2동,11680531
덕성여자대학교,서울 도봉구 삼양로144길 33,37.6523769,127.0142403,쌍문1동,11320660
동국대학교 서울캠퍼스 본관,서울 중구 필동로1길 30,37.55823835,126.9994886,필동,11140570
동덕여자대학교,서울 강남구 도산대로 453,37.5181047,127.0240811,신사동,11680510
동덕여자대학교,서울 성북구 화랑로13길 60,37.6082706,127.0416089,월곡1동,11290715
동방불교대학,서울 종로구 율곡로1길 31 1층,0,0,사간동,NaN
동산불교대학,서울 종로구 우정국로 45-11,37.5694827,126.9828572,종로1.2.3.4가동,11110615
디지털서울문화예술대학교 서울캠퍼스,서울 서대문구 통일로37길 60,37.5866362,126.9440445,홍제1동,11410620
명지대학교 대학본부,서울 서대문구 거북골로 34,37.5796109,126.9227731,남가좌2동,11410700
명지전문대학,서울 서대문구 가좌로 134,37.5846649,126.9250173,홍은2동,11410685
방송통신대학교 ,서울 종로구 대학로 86,37.5786076,127.0034506,이화동,11110640
배화여자대학교,서울 종로구 필운대로1길 34,37.5785452,126.966875,청운효자동,11110515
백석대학교 서울캠퍼스,서울 서초구 방배로 69,37.4843821,126.9957527,방배1동,11650600
백석예술대학교,서울 서초구 방배로9길 23,37.4804184,126.9965425,방배3동,11650620
베뢰아국제대학원대학교,서울 영등포구 가마산로 359,37.5052462,126.9128188,신길4동,11560660
북한대학원대학교,서울 종로구 북촌로15길 2,37.58630325,126.9833812,삼청동,11110540
삼육대학교,서울 노원구 화랑로 815,37.642012,127.1056211,공릉2동,11350600
삼육보건대학교,서울 동대문구 망우로 82,37.5874891,127.0644952,휘경2동,11230730
상명대학교 서울캠퍼스,서울 종로구 홍지문2길 20,37.6029659,126.9550092,부암동,11110550
서강대학교,서울 마포구 백범로 35,37.5521044,126.9409839,대흥동,11440600
