행정동_코드,버스_총승객수
11110515,499919
11110530,1464686
11110540,283590
11110550,625036
11110560,504002
11110570,118212
11110580,503358
11110600,252181
11110615,3700523
11110630,678736
11110640,701600
11110650,976690
11110670,583676
11110680,16984
11110690,61191
11110700,184682
11110710,474009
11140520,1443388
11140540,1876588
11140550,1471245
11140570,325455
11140580,235506
11140590,705689
11140605,263275
11140615,233788
11140625,204869
11140635,213795
11140645,140780
11140650,313903
11140665,69067
11140670,203898
11140680,254152
11170510,343573
11170520,543712
11170530,1111770
11170555,524019
11170560,469851
11170570,299343
11170580,240044
11170590,180832
11170625,1610947
11170630,345981
11170640,166379
11170650,413192
11170660,235408
11170685,1544754
11170690,399445
11170700,315317
11200520,193954
11200535,550844
11200540,365888
11200550,313269
11200560,749757
11200570,324443
11200580,227025
11200590,266069
11200615,309379
11200620,348284
11200645,434418
11200650,283005
11200660,214405
11200670,299423
11200690,316898
11200720,150901
11200790,461601
11215710,656642
11215730,536797
11215740,238325
11215750,349752
11215760,265934
11215770,238706
11215780,422975
11215810,276573
11215820,389865
11215830,385819
11215840,334923
11215847,375158
11215850,384192
11215860,455968
11215870,392151
11230536,2056816
11230545,991527
11230560,1542231
11230570,515175
11230600,460955
11230610,550207
11230650,1015511
11230660,818245
11230705,541360
11230710,473760
11230720,671718
11230730,663715
11230740,439803
11230750,207940
11260520,339276
11260540,290175
11260550,253888
11260565,794181
11260570,374931
11260575,627752
11260580,508593
11260590,647843
11260600,259934
11260610,574058
11260620,439909
11260630,182593
11260655,1002543
11260660,241985
11260680,771760
11260690,561131
11290525,547796
11290555,1594187
11290575,1047690
11290580,546266
11290590,365661
11290600,550633
11290610,351441
11290620,563655
11290630,561576
11290640,610871
11290650,858084
11290660,1217477
11290685,715768
11290705,1051118
11290715,643927
11290725,350050
11290760,493667
11290770,374127
11290780,396633
11290810,660548
11305534,450726
11305535,620835
11305545,1911948
11305555,862739
11305575,338900
11305595,1194590
11305603,466975
11305608,443737
11305615,663477
11305625,473736
11305635,1273000
11305645,533251
11305660,516734
11320511,821152
11320512,444058
11320513,264481
11320514,663518
11320515,424604
11320521,482614
11320522,430292
11320660,519108
11320670,543320
11320680,328649
11320681,321566
11320690,593450
11320700,277091
11320710,438402
11350560,841697
11350570,451473
11350580,407725
11350595,607633
11350600,856612
11350611,602778
11350612,347295
11350619,390711
11350621,392062
11350624,392860
11350625,518843
11350630,436935
11350640,661778
11350665,131450
11350670,242829
11350695,642651
11350700,160659
11350710,264846
11350720,320074
11380510,872203
11380520,865489
11380530,573100
11380551,578290
11380552,511142
11380560,459979
11380570,922444
11380580,886598
11380590,339978
11380600,490213
11380625,711618
11380631,561697
11380632,556851
11380640,484299
11380650,379407
11380690,1313228
11410520,657600
11410555,438661
11410565,934476
11410585,2420911
11410615,1899857
11410620,936995
11410640,557703
11410655,401994
11410660,414166
11410685,1203851
11410690,407301
11410700,825048
11410710,362847
11410720,608957
11440555,635832
11440565,756749
11440585,436315
11440590,288980
11440600,990901
11440610,273466
11440630,142091
11440655,368024
11440660,3007005
11440680,501162
11440690,307971
11440700,307492
11440710,234203
11440720,439357
11440730,691270
11440740,1616294
11470510,1182139
11470520,406170
11470530,540209
11470540,498997
11470550,817466
11470560,223119
11470570,411605
11470580,177423
11470590,355703
11470600,265647
11470610,216930
11470611,368166
11470620,433219
11470630,160333
11470640,966712
11470650,808035
11470670,300514
11470680,242359
11500510,714378
11500520,490017
11500530,456282
11500535,693381
11500540,1088378
11500550,258647
11500560,262413
11500570,297066
11500590,499190
11500591,766801
11500593,470118
11500603,711582
11500604,112027
11500605,131589
11500611,744341
11500615,600892
11500620,451834
11500630,273859
11500640,277704
11500641,91047
11530510,997539
11530520,207588
11530530,1195919
11530540,872654
11530550,575847
11530560,902648
11530595,433777
11530720,620201
11530730,532344
11530740,1107991
11530750,631851
11530760,242810
11530770,439010
11530780,448060
11530790,840052
11530800,168641
11545510,1765497
11545610,1199502
11545620,490904
11545630,766908
11545640,403167
11545670,1208352
11545680,409456
11545690,205881
