학교이름,행정동명,,,
다솜공원,주례2동,,,
단비동산공원,사직1동 ,,,
달공원예술벤치,감천2동,,,
동그라미어린이공원,정관읍,,,
반송3동 동네체육공원,반송1동,,,
새싹공원,주례2동,,,
수영환경공원,안락2동 ,,,
신정소공원,사직3동 ,,,
신평소공원,일광읍,,,
실로암공원묘원,철마면,,,
쌈지공원,신평1동,,,
여고소공원,사직3동 ,,,
연잎공원,연산9동,,,
으뜸어린이공원,반여2동,,,
한길소공원,사직3동 ,,,
화지산 제1체육공원,거제2동,,,
거북어린이공원,구포2동,,,
이기대 자연마당,용호2동 ,,,
감만당집마루소공원,감만1동 ,,,
암남공원,암남동,,,
수정산 배수지,수정2동,,,
수정동 우리동네 방재공원,수정1동,,,
해관공원,가덕도동,,,
샛바람길공원,가덕도동,,,
오봉산체육공원,가락동,,,
중사도소공원,가락동,,,
동의대학교 효민원,가야1동,,,
가야감고개공원,가야1동,,,
가야산책공원,가야1동,,,
감고개공원 커뮤니티센터,가야1동,,,
개금1배수지 체육공원,가야2동,,,
온천공원개발,가야2동,,,
참요양병원,가야2동,,,
부산큰병원,가야2동,,,
에덴어린이병원,가야2동,,,
휴병원,가야2동,,,
연세척병원,가야2동,,,
삼락생태공원 자전거대여소,감전동,,,
욜로PC방,감전동,,,
피플PC방,감전동,,,
사상근린공원,감전동,,,
쌈지공원,감전동,,,
우리병원,감전동,,,
감천산림공원,감천1동,,,
감천 나누리파크,감천1동,,,
꽃님공원,감천1동,,,
안골새공원,감천1동,,,
어메니티쉼터,감천1동,,,
부산진구사회복지관어린이집 ,개금1동,,,
PC토랑 개금점,개금1동,,,
개금2동어린이놀이터,개금1동,,,
개금테마공원,개금1동,,,
까치어린이공원,개금1동,,,
화목어린이공원,개금1동,,,
부산백병원장례식장,개금1동,,,
(의)영님의료재단 개금중앙요양병원,개금1동,,,
보현어린이집,개금3동,,,
개나리어린이공원,개금3동,,,
국제백양상가,개금3동,,,
새힘병원,거제1동,,,
대성학원,거제1동,,,
이진용맘병원,거제1동,,,
금송요양병원,거제1동,,,
동래나눔과행복병원,거제1동,,,
거제체육공원,거제2동,,,
어울림공원,거제2동,,,
한마음공원,거제2동,,,
용두산공원,광복동,,,
용두산공원 관리사무소,광복동,,,
용두산공원 꽃시계,광복동,,,
휴메트로커뮤니티파크,광복동,,,
OX PC 광안동점,광안1동,,,
피에스타PC 부산광안점,광안1동,,,
아이팩토리 PC,광안1동,,,
라온공원,광안4동,,,
사랑공원 어린이놀이터,광안4동,,,
파랑새어린이공원,광안4동,,,
호암근린공원,광안4동,,,
창날공원,괘법동,,,
명품가로공원,괘법동,,,
우주PC방,괘법동,,,
이삭어린이집,괴정1동,,,
괴정 오작교체육공원,괴정3동,,,
괴정정자어린이공원,괴정3동,,,
부민산공원,괴정3동,,,
어린이놀이터,괴정3동,,,
회화나무샘터공원,괴정3동,,,
은빛어린이공원,괴정4동,,,
해송어린이공원,괴정4동,,,
구서체육공원,구서2동,,,
구서공원,구서2동,,,
금정공원,구서2동,,,
두실새싹공원,구서2동,,,
샘골공원,구서2동,,,
우성공원,구서2동,,,
구평근린공원,구평동,,,
씨앗어린이공원,구평동,,,
열매어린이공원,구평동,,,
풀꽃어린이공원,구평동,,,
시랑어린이공원,구포1동,,,
구포어린이교통공원,구포2동,,,
백양체육공원,구포3동,,,
음정어린이공원,구포3동,,,
구포생태공원,구포3동,,,
거북소공원,구포3동,,,
대리마을 쌈지공원,구포3동,,,
포천어린이공원,구포3동,,,
구삼어린이공원,구포3동,,,
앤유pc 화명점,금곡동,,,
천사어린이공원,금곡동,,,
대천어린이공원,금곡동,,,
공창어린이공원,금곡동,,,
금빛어린이공원,금곡동,,,
열린어린이공원,금곡동,,,
율리어린이공원,금곡동,,,
민주어린이공원,금곡동,,,
행복어린이공원,금곡동,,,
미래어린이공원,금곡동,,,
사랑어린이공원,금곡동,,,
솔어린이공원,금곡동,,,
우리어린이공원,금곡동,,,
금곡근린공원,금곡동,,,
건강어린이공원,금곡동,,,
의료법인 해림의료재단 부산금사요양병원,금사회동동,,,
윤산여명헬스공원,금사회동동,,,
금천어린이공원,금사회동동,,,
보람어린이공원,금사회동동,,,
은빛공원,금사회동동,,,
화랑어린이공원,금사회동동,,,
동대공원,금사회동동,,,
상록수공원,금사회동동,,,
회동첨단공원,금사회동동,,,
