행정동_코드,시설물개수
11110515,7
11110530,17
11110540,11
11110550,6
11110560,10
11110570,2
11110580,5
11110600,6
11110615,29
11110630,6
11110640,7
11110650,8
11110670,2
11110680,1
11110690,3
11110700,2
11110710,4
11140520,16
11140540,13
11140550,18
11140570,2
11140580,4
11140590,20
11140605,4
11140615,23
11140625,7
11140635,5
11140645,1
11140650,2
11140665,3
11140670,4
11140680,5
11170510,3
11170530,3
11170555,7
11170560,5
11170570,2
11170580,4
11170590,1
11170625,14
11170630,3
11170640,1
11170650,4
11170660,2
11170685,4
11170690,5
11200520,2
11200535,11
11200540,6
11200550,6
11200560,7
11200570,6
11200580,3
11200590,4
11200615,3
11200620,3
11200645,3
11200650,3
11200660,4
11200670,9
11200690,8
11200720,2
11200790,6
11215710,10
11215730,6
11215740,1
11215750,3
11215760,3
11215770,3
11215780,3
11215810,5
11215820,7
11215830,7
11215840,7
11215847,10
11215850,2
11215860,3
11215870,13
11230536,19
11230545,9
11230560,9
11230570,6
11230600,7
11230610,7
11230650,24
11230660,14
11230705,5
11230710,4
11230720,1
11230730,6
11230740,1
11260520,5
11260540,1
11260550,3
11260565,9
11260570,5
11260575,5
11260580,3
11260590,9
11260600,3
11260610,7
11260620,11
11260630,1
11260655,14
11260660,1
11260680,9
11260690,10
11290525,8
11290555,3
11290575,8
11290580,3
11290590,5
11290600,4
11290610,5
11290620,5
11290630,5
11290640,2
11290650,2
11290660,10
11290685,8
11290705,10
11290715,6
11290725,7
11290760,2
11290770,1
11290780,1
11290810,6
11305534,6
11305535,11
11305545,10
11305555,8
11305575,4
11305595,9
11305603,5
11305608,3
11305615,7
11305625,5
11305635,10
11305645,3
11305660,6
11320511,10
11320512,8
11320513,2
11320514,6
11320515,7
11320521,7
11320522,6
11320660,8
11320670,5
11320680,3
11320681,2
11320690,12
11320700,6
11320710,4
11350560,10
11350570,10
11350580,8
11350595,14
11350600,16
11350611,16
11350612,5
11350619,7
11350621,5
11350624,10
11350625,16
11350630,10
11350640,10
11350665,5
11350670,4
11350695,35
11350700,5
11350710,5
11350720,5
11380510,12
11380520,15
11380530,5
11380551,7
11380552,5
11380560,7
11380570,9
11380580,9
11380590,4
11380600,8
11380625,7
11380631,4
11380632,4
11380640,4
11380690,19
11410520,4
11410555,6
11410565,3
11410585,16
11410615,18
11410620,5
11410640,7
11410660,5
11410685,7
11410690,4
11410700,5
11410710,6
11410720,6
11440555,5
11440565,4
11440585,7
11440590,6
11440600,3
11440610,1
11440630,4
11440655,11
11440660,26
11440680,4
11440690,4
11440700,4
11440710,9
11440720,8
11440730,16
11440740,19
11470510,15
11470520,4
11470530,7
11470540,7
11470550,14
11470560,6
11470570,3
11470580,3
11470590,7
11470600,7
11470610,3
11470611,9
11470620,6
11470630,3
11470640,14
11470650,19
11470670,11
11470680,7
11500510,10
11500520,12
11500530,3
11500535,22
11500540,21
11500550,3
11500560,18
11500570,9
11500590,14
11500591,6
11500593,8
11500603,20
11500604,11
11500605,7
11500611,32
11500615,18
11500620,9
11500630,21
11500640,11
11500641,12
11530510,10
11530530,12
11530540,9
11530550,3
11530560,17
11530595,5
11530720,9
11530730,11
11530740,8
11530750,3
11530760,4
11530770,17
11530780,22
11530790,4
11530800,2
11545510,17
11545610,30
11545620,20
11545630,31
11545640,17
11545670,37
11545680,3
11545690,6
11545700,17
11545710,19
11560515,9
11560535,28
11560540,20
11560550,6
11560560,8
11560585,1
11560605,16
11560610,3
11560620,4
11560630,17
11560650,4
11560660,2
11560670,2
11560680,1
11560690,3
11560700,6
11560710,3
11560720,14
11590510,4
11590520,4
11590530,6
11590540,5
11590550,3
11590560,4
11590605,4
11590620,12
11590630,7
11590640,5
11590650,7
11590651,8
11590660,8
11590670,4
11590680,3
11620525,7
11620545,2
11620565,1
11620575,7
11620585,6
11620595,13
11620605,7
11620615,8
11620625,6
11620630,7
11620645,12
11620655,1
11620665,4
11620685,2
11620695,19
11620715,1
11620725,6
11620735,10
11620745,4
11620765,12
11620775,5
11650510,11
11650520,14
11650530,19
11650531,20
11650540,14
11650550,5
11650560,10
11650570,5
11650580,12
11650581,8
11650590,5
11650600,4
11650610,7
11650620,9
11650621,11
11650651,29
11650652,14
11650660,13
11680510,29
11680521,32
11680531,19
11680545,32
11680565,21
11680580,16
11680590,13
11680600,15
11680610,13
11680630,10
11680640,41
11680650,11
11680655,15
11680656,10
11680660,1
11680670,8
11680675,9
11680690,3
11680700,26
11680720,12
11680730,4
11680750,10
11710510,2
11710520,4
11710531,7
11710532,8
11710540,17
11710550,11
11710561,5
11710562,7
11710566,5
11710570,18
11710580,11
11710590,5
11710600,23
11710610,9
11710620,22
11710631,4
11710632,10
11710641,6
11710642,21
11710646,11
11710647,6
11710650,13
11710670,5
11710680,7
11710690,5
11710710,17
11710720,2
11740515,10
11740525,8
11740526,2
11740530,10
11740540,10
11740550,7
11740560,9
11740570,7
11740580,4
11740590,5
11740600,7
11740610,23
11740620,7
11740640,10
11740650,7
11740660,20
11740685,16
11740700,7
