행정구역(동읍면)별,5세별,항목,단위,2022.09 월
청운효자동,계,총인구수[명],명,11693
청운효자동,계,남자인구수[명],명,5356
청운효자동,계,여자인구수[명],명,6337
청운효자동,0 - 4세,총인구수[명],명,244
청운효자동,0 - 4세,남자인구수[명],명,120
청운효자동,0 - 4세,여자인구수[명],명,124
청운효자동,5 - 9세,총인구수[명],명,447
청운효자동,5 - 9세,남자인구수[명],명,236
청운효자동,5 - 9세,여자인구수[명],명,211
청운효자동,10 - 14세,총인구수[명],명,558
청운효자동,10 - 14세,남자인구수[명],명,287
청운효자동,10 - 14세,여자인구수[명],명,271
청운효자동,15 - 19세,총인구수[명],명,565
청운효자동,15 - 19세,남자인구수[명],명,297
청운효자동,15 - 19세,여자인구수[명],명,268
청운효자동,20 - 24세,총인구수[명],명,668
청운효자동,20 - 24세,남자인구수[명],명,325
청운효자동,20 - 24세,여자인구수[명],명,343
청운효자동,25 - 29세,총인구수[명],명,803
청운효자동,25 - 29세,남자인구수[명],명,400
청운효자동,25 - 29세,여자인구수[명],명,403
청운효자동,30 - 34세,총인구수[명],명,785
청운효자동,30 - 34세,남자인구수[명],명,358
청운효자동,30 - 34세,여자인구수[명],명,427
청운효자동,35 - 39세,총인구수[명],명,773
청운효자동,35 - 39세,남자인구수[명],명,336
청운효자동,35 - 39세,여자인구수[명],명,437
청운효자동,40 - 44세,총인구수[명],명,1026
청운효자동,40 - 44세,남자인구수[명],명,447
청운효자동,40 - 44세,여자인구수[명],명,579
청운효자동,45 - 49세,총인구수[명],명,1023
청운효자동,45 - 49세,남자인구수[명],명,452
청운효자동,45 - 49세,여자인구수[명],명,571
청운효자동,50 - 54세,총인구수[명],명,1040
청운효자동,50 - 54세,남자인구수[명],명,485
청운효자동,50 - 54세,여자인구수[명],명,555
청운효자동,55 - 59세,총인구수[명],명,844
청운효자동,55 - 59세,남자인구수[명],명,364
청운효자동,55 - 59세,여자인구수[명],명,480
청운효자동,60 - 64세,총인구수[명],명,780
청운효자동,60 - 64세,남자인구수[명],명,368
청운효자동,60 - 64세,여자인구수[명],명,412
청운효자동,65 - 69세,총인구수[명],명,617
청운효자동,65 - 69세,남자인구수[명],명,275
청운효자동,65 - 69세,여자인구수[명],명,342
청운효자동,70 - 74세,총인구수[명],명,471
청운효자동,70 - 74세,남자인구수[명],명,187
청운효자동,70 - 74세,여자인구수[명],명,284
청운효자동,75 - 79세,총인구수[명],명,448
청운효자동,75 - 79세,남자인구수[명],명,177
청운효자동,75 - 79세,여자인구수[명],명,271
청운효자동,80 - 84세,총인구수[명],명,349
청운효자동,80 - 84세,남자인구수[명],명,142
청운효자동,80 - 84세,여자인구수[명],명,207
청운효자동,85 - 89세,총인구수[명],명,181
청운효자동,85 - 89세,남자인구수[명],명,79
청운효자동,85 - 89세,여자인구수[명],명,102
청운효자동,90 - 94세,총인구수[명],명,52
청운효자동,90 - 94세,남자인구수[명],명,11
청운효자동,90 - 94세,여자인구수[명],명,41
청운효자동,95 - 99세,총인구수[명],명,16
청운효자동,95 - 99세,남자인구수[명],명,9
청운효자동,95 - 99세,여자인구수[명],명,7
청운효자동,100+,총인구수[명],명,3
청운효자동,100+,남자인구수[명],명,1
청운효자동,100+,여자인구수[명],명,2
사직동,계,총인구수[명],명,9126
사직동,계,남자인구수[명],명,4037
사직동,계,여자인구수[명],명,5089
사직동,0 - 4세,총인구수[명],명,190
사직동,0 - 4세,남자인구수[명],명,89
