학교이름,주소,위도,경도,행정동명,행정동_코드
롯데시네마 강동,서울 강동구 천호옛길 85,37.5341,127.12377,성내2동,11740650
CGV 천호,서울 강동구 양재대로 1571 홈플러스 4층,0,0,천호1동,#N/A
메가박스 강동,서울 강동구 성내로 48,37.52893,127.12503,성내1동,11740640
CGV 송파,서울 송파구 충민로 66 가든파이브 라이프 영관 10층,0,0,문정2동,11710642
롯데시네마 월드타워,서울 송파구 올림픽로 300 롯데월드몰 5~11층,0,0,잠실6동,11710710
메가박스 송파파크하비오,서울 송파구 송파대로 111 파크하비오푸르지오 204동 지하1층,0,0,문정2동,11710642
CGV씨네드쉐프 압구정,서울 강남구 압구정로30길 45,37.524714,127.0290956,압구정동,11680545
CGV 강남,서울 강남구 강남대로 438 스타플렉스,37.5016555,127.0263548,역삼1동,11680640
CGV 청담씨네시티,서울 강남구 도산대로 323 8층,0,0,신사동,NaN
메가박스 코엑스,서울 강남구 영동대로 513 코엑스몰 지하2층,0,0,삼성1동,NaN
CGV 압구정 본관,서울 강남구 논현로 848,37.5272651,127.0283095,압구정동,11680545
롯데시네마 브로드웨이신사,서울 강남구 도산대로 118,37.5181047,127.0240811,신사동,11680510
메가박스 강남대로씨티,서울 강남구 강남대로 422 씨티빌딩,0,0,역삼1동,NaN
롯데시네마 도곡,서울 강남구 남부순환로 2753,37.4979579,127.0846934,개포3동,11680675
이봄씨어터,서울 강남구 압구정로10길 9 대원빌딩 지하 2층,0,0,신사동,NaN
오르페오 룸 앳 트레바리 강남,서울 강남구 강남대로92길 19 지하1층,0,0,역삼1동,NaN
메가박스 강남,서울 서초구 서초대로77길 3 아라타워 8층,0,0,서초4동,NaN
메가박스 센트럴,서울 서초구 신반포로 176 센트럴시티빌딩 지하1층,0,0,반포3동,111650580
명작극장,서울 서초구 염곡말길 9 느티나무쉽터 3층,0,0,염곡동,NaN
롯데시네마 신림,서울 관악구 신림로 330 타임스트림 10층,0,0,신림동,11620695
롯데시네마 서울대입구,서울 관악구 남부순환로 1820 10층,0,0,청룡동,NaN
자체휴강시네마,서울 관악구 인헌12길 42 지하1층,0,0,인헌동,NaN
