구,행정동명,인구 (명),면적 (㎢),인구밀도 (명/㎢)
송파구,가락1동,27521,1.34,20538
송파구,가락2동,31670,0.96,32990
송파구,가락본동,25883,1.13,22905
구로구,가리봉동,12653,0.4,31633
금천구,가산동,26569,2.52,10543
강서구,가양1동,34359,4.7,7310
강서구,가양2동,13902,1,13902
강서구,가양3동,14678,0.5,29356
종로구,가회동,4065,0.54,7528
은평구,갈현1동,17151,0.97,17681
은평구,갈현2동,28176,0.96,29350
강동구,강일동,33057,2.26,14627
구로구,개봉1동,34105,1.31,26034
구로구,개봉2동,30665,0.8,38331
구로구,개봉3동,20251,0.81,25001
강남구,개포1동,6922,1.27,5450
강남구,개포2동,29032,2.51,11567
강남구,개포3동,17382,1.24,14018
강남구,개포4동,23639,1.49,15865
송파구,거여1동,12255,0.51,24029
송파구,거여2동,23745,0.53,44802
강동구,고덕1동,23919,1.73,13826
강동구,고덕2동,22764,2.01,11325
구로구,고척1동,25636,1.16,22100
구로구,고척2동,26557,1.02,26036
마포구,공덕동,37476,1.01,37105
노원구,공릉1동,37184,1.41,26372
노원구,공릉2동,42538,6.82,6237
강서구,공항동,30927,10.87,2845
광진구,광장동,34362,2.39,14377
중구,광희동,6682,0.74,9030
종로구,교남동,9994,0.35,28554
구로구,구로1동,20936,1.02,20525
구로구,구로2동,30093,1.76,17098
구로구,구로3동,25055,1.02,24564
구로구,구로4동,23052,0.46,50113
구로구,구로5동,31740,1.03,30816
은평구,구산동,32020,1.38,23203
광진구,구의1동,24049,0.56,42945
광진구,구의2동,26573,1.39,19117
광진구,구의3동,28440,1.02,27882
광진구,군자동,21524,0.74,29086
성동구,금호1가동,15137,0.46,32907
성동구,금호2.3가동,22423,0.64,35036
성동구,금호4가동,14228,0.84,16938
강동구,길동,45374,2.17,20910
성북구,길음1동,35000,0.79,44304
성북구,길음2동,21728,0.58,37462
관악구,낙성대동,17928,2.27,7898
관악구,난곡동,26679,0.96,27791
관악구,난향동,15050,0.8,18813
서대문구,남가좌1동,16884,0.51,33106
서대문구,남가좌2동,30508,0.77,39621
용산구,남영동,7552,1.19,6346
관악구,남현동,18163,3.27,5554
서초구,내곡동,17455,12.68,1377
동작구,노량진1동,32114,1.58,20325
동작구,노량진2동,11234,0.64,17553
은평구,녹번동,36884,1.79,20606
강남구,논현1동,22080,1.25,17664
강남구,논현2동,20814,1.47,14159
광진구,능동,11561,1.1,10510
중구,다산동,13954,0.51,27361
동대문구,답십리1동,28530,0.81,35222
동대문구,답십리2동,28055,0.85,33006
영등포구,당산1동,20740,0.75,27653
영등포구,당산2동,37102,1.55,23937
영등포구,대림1동,16506,0.49,33686
영등포구,대림2동,17523,0.55,31860
영등포구,대림3동,25205,0.95,26532
동작구,대방동,37056,1.55,23907
은평구,대조동,26862,0.85,31602
강남구,대치1동,23846,0.79,30185
강남구,대치2동,37098,2,18549
강남구,대치4동,19491,0.73,26700
관악구,대학동,26301,8.3,3169
마포구,대흥동,16177,0.87,18594
강남구,도곡1동,21274,1.02,20857
강남구,도곡2동,32846,1.02,32202
영등포구,도림동,19600,0.89,22022
도봉구,도봉1동,20622,8.72,2365
도봉구,도봉2동,26359,0.83,31758
마포구,도화동,21118,0.62,34061
금천구,독산1동,47573,2.09,22762
금천구,독산2동,19562,0.6,32603
금천구,독산3동,27239,0.92,29608
금천구,독산4동,16432,0.59,27851
성북구,돈암1동,14474,0.49,29539
성북구,돈암2동,23657,0.48,49285
성북구,동선동,15870,0.73,21740
중구,동화동,10199,0.26,39227
강동구,둔촌1동,73,0.92,79
강동구,둔촌2동,24277,0.98,24772
강서구,등촌1동,24991,0.64,39048
강서구,등촌2동,19855,0.92,21582
강서구,등촌3동,30025,0.79,38006
성동구,마장동,22706,1.05,21625
송파구,마천1동,18618,0.58,32100
송파구,마천2동,18150,0.89,20393
중랑구,망우3동,16303,0.92,17721
중랑구,망우본동,35905,3.03,11850
마포구,망원1동,19757,1.13,17484
