행정동명,하천
망원2동,홍제천
성산1동,홍제천
연희동,홍제천
홍제1동,홍제천
홍제3동,홍제천
부암동,홍제천
홍은1동,홍제천
홍은2동,홍제천
남가좌2동,홍제천
남가좌1동,홍제천
성산2동,홍제천
상계1동,중랑천
상계8동,중랑천
상계10동,중랑천
상계6.7동,중랑천
하계2동,중랑천
공릉1동,중랑천
묵2동,중랑천
중화2동,중랑천
면목2동,중랑천
면목5동,중랑천
면목4동,중랑천
중곡3동,중랑천
중곡1동,중랑천
군자동,중랑천
송정동,중랑천
성수2가3동,중랑천
성수1가2동,중랑천
성수1가1동,중랑천
응봉동,중랑천
사근동,중랑천
용답동,중랑천
장안1동,중랑천
장안2동,중랑천
휘경2동,중랑천
휘경1동,중랑천
이문2동,중랑천
석관동,중랑천
월계3동,중랑천
월계2동,중랑천
창4동,중랑천
방학1동,중랑천
도봉2동,중랑천
염창동,안양천
목2동,안양천
목5동,안양천
목1동,안양천
신정2동,안양천
신정7동,안양천
고척1동,안양천
시흥3동,안양천
시흥1동,안양천
독산1동,안양천
가산동,안양천
구로1동,안양천
구로2동,안양천
신도림동,안양천
양평1동,안양천
양평2동,안양천
삼성1동,탄천
잠실7동,탄천
대치2동,탄천
개포3동,탄천
잠실본동,탄천
일원1동,탄천
삼전동,탄천
수서동,탄천
가락1동,탄천
문정2동,탄천
세곡동,탄천
