행정동명,자동차등록대수
신사동,10216.63636
논현1동,10216.63636
논현2동,10216.63636
삼성1동,10216.63636
삼성2동,10216.63636
대치1동,10216.63636
대치4동,10216.63636
역삼1동,10216.63636
역삼2동,10216.63636
도곡1동,10216.63636
도곡2동,10216.63636
개포1동,10216.63636
개포4동,10216.63636
일원본동,10216.63636
일원1동,10216.63636
일원2동,10216.63636
수서동,10216.63636
세곡동,10216.63636
압구정동,10216.63636
청담동,10216.63636
대치2동,10216.63636
개포2동,10216.63636
강일동,7995.555556
상일동,7995.555556
명일1동,7995.555556
명일2동,7995.555556
고덕1동,7995.555556
고덕2동,7995.555556
암사2동,7995.555556
암사3동,7995.555556
천호1동,7995.555556
천호3동,7995.555556
성내1동,7995.555556
성내2동,7995.555556
성내3동,7995.555556
둔촌1동,7995.555556
둔촌2동,7995.555556
암사1동,7995.555556
천호2동,7995.555556
길동,7995.555556
번1동,5443.076923
번2동,5443.076923
번3동,5443.076923
수유1동,5443.076923
수유2동,5443.076923
수유3동,5443.076923
삼양동,5443.076923
미아동,5443.076923
송중동,5443.076923
송천동,5443.076923
삼각산동,5443.076923
우이동,5443.076923
인수동,5443.076923
염창동,9477.4
등촌1동,9477.4
등촌2동,9477.4
등촌3동,9477.4
화곡본동,9477.4
화곡2동,9477.4
화곡3동,9477.4
화곡4동,9477.4
화곡6동,9477.4
화곡8동,9477.4
가양1동,9477.4
가양2동,9477.4
가양3동,9477.4
발산1동,9477.4
공항동,9477.4
방화1동,9477.4
방화2동,9477.4
방화3동,9477.4
화곡1동,9477.4
우장산동,9477.4
보라매동,5353.904762
청림동,5353.904762
행운동,5353.904762
낙성대동,5353.904762
중앙동,5353.904762
인헌동,5353.904762
남현동,5353.904762
서원동,5353.904762
신원동,5353.904762
서림동,5353.904762
신사동,5353.904762
신림동,5353.904762
난향동,5353.904762
조원동,5353.904762
대학동,5353.904762
은천동,5353.904762
성현동,5353.904762
청룡동,5353.904762
난곡동,5353.904762
삼성동,5353.904762
미성동,5353.904762
화양동,6175.666667
군자동,6175.666667
중곡1동,6175.666667
중곡2동,6175.666667
중곡3동,6175.666667
중곡4동,6175.666667
능동,6175.666667
구의1동,6175.666667
구의2동,6175.666667
구의3동,6175.666667
광장동,6175.666667
자양1동,6175.666667
자양2동,6175.666667
자양3동,6175.666667
자양4동,6175.666667
신도림동,8266.125
구로1동,8266.125
구로3동,8266.125
구로4동,8266.125
구로5동,8266.125
고척1동,8266.125
고척2동,8266.125
개봉2동,8266.125
개봉3동,8266.125
오류1동,8266.125
오류2동,8266.125
수궁동,8266.125
가리봉동,8266.125
구로2동,8266.125
개봉1동,8266.125
항동,8266.125
가산동,8485
독산1동,8485
독산2동,8485
독산3동,8485
독산4동,8485
시흥1동,8485
시흥2동,8485
시흥3동,8485
시흥4동,8485
시흥5동,8485
월계1동,7550.157895
월계2동,7550.157895
월계3동,7550.157895
공릉2동,7550.157895
하계1동,7550.157895
하계2동,7550.157895
중계본동,7550.157895
중계1동,7550.157895
중계4동,7550.157895
상계1동,7550.157895
상계2동,7550.157895
상계5동,7550.157895
상계8동,7550.157895
상계9동,7550.157895
상계10동,7550.157895
상계3.4동,7550.157895
상계6.7동,7550.157895
중계2.3동,7550.157895
공릉1동,7550.157895
쌍문1동,6280.857143
쌍문2동,6280.857143
쌍문3동,6280.857143
쌍문4동,6280.857143
방학1동,6280.857143
방학2동,6280.857143
방학3동,6280.857143
창1동,6280.857143
창2동,6280.857143
창3동,6280.857143
창4동,6280.857143
창5동,6280.857143
도봉1동,6280.857143
도봉2동,6280.857143
회기동,6721
휘경1동,6721
휘경2동,6721
청량리동,6721
답십리1동,6721
답십리2동,6721
용신동,6721
제기동,6721
전농1동,6721
전농2동,6721
