행정동명,행정동_코드,총반납대여
가양1동,11500603,303516
여의동,11560540,212352
발산1동,11500611,152208
당산2동,11560560,109285
종로1.2.3.4가동,11110615,99611
상암동,11440740,99519
공항동,11500620,95984
영등포동,11560535,92540
잠실6동,11710710,89795
목1동,11470510,89424
방화1동,11500630,83634
오륜동,11710566,82645
서교동,11440660,82405
문래동,11560605,78292
문정2동,11710642,76600
화양동,11215710,75248
자양1동,11215820,75235
잠실3동,11710680,74237
목5동,11470550,71200
가산동,11545510,70811
성산2동,11440730,68259
용신동,11230536,67844
우장산동,11500615,66811
구로5동,11530560,65407
군자동,11215730,64366
신정6동,11470670,60871
신도림동,11530510,56318
신정3동,11470640,55617
자양3동,11215840,55482
구로3동,11530540,55353
성수1가1동,11200650,55015
한강로동,11170625,54153
길동,11740685,53681
등촌1동,11500520,53451
독산1동,11545610,52346
잠실2동,11710670,52243
망원2동,11440700,50912
명동,11140550,50451
상계1동,11350630,49661
양평2동,11560620,49521
양평1동,11560610,48913
신정7동,11470680,48527
사직동,11110530,48410
진관동,11380690,46255
위례동,11710647,45347
중계1동,11350621,45260
천호2동,11740610,45047
응암1동,11380580,44391
강일동,11740515,44041
성수2가3동,11200690,42814
