행정동명,자전거도로
거제1동,1.78
거제2동,1.78
거제3동,1.78
거제4동,1.78
연산1동,1.78
연산2동,1.78
연산3동,1.78
연산4동,1.78
연산5동,1.78
연산6동,1.78
연산8동,1.78
연산9동,1.78
괴정1동,3.285
괴정2동,3.285
괴정3동,3.285
괴정4동,3.285
당리동,3.285
하단1동,3.285
하단2동,3.285
신평1동,3.285
신평2동,3.285
장림1동,3.285
장림2동,3.285
다대1동,3.285
다대2동,3.285
구평동,3.285
감천1동,3.285
감천2동,3.285
수민동 ,2.154615385
복산동 ,2.154615385
명륜동 ,2.154615385
온천1동 ,2.154615385
온천2동 ,2.154615385
온천3동 ,2.154615385
사직1동 ,2.154615385
사직2동 ,2.154615385
사직3동 ,2.154615385
안락1동 ,2.154615385
안락2동 ,2.154615385
명장1동 ,2.154615385
명장2동 ,2.154615385
구포1동,1.656923077
구포2동,1.656923077
구포3동,1.656923077
금곡동,1.656923077
화명1동,1.656923077
화명2동,1.656923077
화명3동,1.656923077
덕천1동,1.656923077
덕천2동,1.656923077
덕천3동,1.656923077
만덕1동,1.656923077
만덕2동,1.656923077
만덕3동,1.656923077
남천1동,0.944
남천2동,0.944
수영동,0.944
망미1동,0.944
망미2동,0.944
광안1동,0.944
광안2동,0.944
광안3동,0.944
광안4동,0.944
민락동,0.944
삼락동,1.8475
모라1동,1.8475
모라3동,1.8475
덕포1동,1.8475
덕포2동,1.8475
괘법동,1.8475
감전동,1.8475
주례1동,1.8475
주례2동,1.8475
주례3동,1.8475
학장동,1.8475
엄궁동,1.8475
중앙동,0.13
동광동,0.13
대청동,0.13
보수동,0.13
부평동,0.13
광복동,0.13
남포동,0.13
영주1동,0.13
영주2동,0.13
초량1동,0.35
초량2동,0.35
초량3동,0.35
초량6동,0.35
수정1동,0.35
수정2동,0.35
수정4동,0.35
수정5동,0.35
좌천동,0.35
범일1동,0.35
범일2동,0.35
범일5동,0.35
서1동,2.43375
서2동,2.43375
서3동,2.43375
금사회동동,2.43375
부곡1동,2.43375
부곡2동,2.43375
부곡3동,2.43375
부곡4동,2.43375
장전1동,2.43375
장전2동,2.43375
선두구동,2.43375
청룡노포동,2.43375
남산동,2.43375
구서1동,2.43375
구서2동,2.43375
금성동,2.43375
동대신1동,0.248461538
동대신2동,0.248461538
동대신3동,0.248461538
서대신1동,0.248461538
서대신3동,0.248461538
서대신4동,0.248461538
부민동,0.248461538
아미동,0.248461538
초장동,0.248461538
충무동,0.248461538
남부민1동,0.248461538
남부민2동,0.248461538
암남동,0.248461538
남항동,0.756363636
영선1동,0.756363636
영선2동,0.756363636
신선동,0.756363636
봉래1동,0.756363636
봉래2동,0.756363636
청학1동,0.756363636
청학2동,0.756363636
동삼1동,0.756363636
동삼2동,0.756363636
동삼3동,0.756363636
기장읍,12.404
장안읍,12.404
정관읍,12.404
일광읍,12.404
철마면,12.404
대연1동 ,0.994117647
대연3동 ,0.994117647
대연4동 ,0.994117647
대연5동 ,0.994117647
대연6동 ,0.994117647
용호1동 ,0.994117647
용호2동 ,0.994117647
용호3동 ,0.994117647
용호4동 ,0.994117647
용당동 ,0.994117647
감만1동 ,0.994117647
감만2동 ,0.994117647
우암동 ,0.994117647
문현1동 ,0.994117647
문현2동 ,0.994117647
문현3동 ,0.994117647
문현4동 ,0.994117647
부전1동,1.1145
부전2동,1.1145
연지동,1.1145
초읍동,1.1145
양정1동,1.1145
양정2동,1.1145
전포1동,1.1145
전포2동,1.1145
부암1동,1.1145
부암3동,1.1145
당감1동,1.1145
당감2동,1.1145
당감4동,1.1145
가야1동,1.1145
가야2동,1.1145
개금1동,1.1145
개금2동,1.1145
개금3동,1.1145
범천1동,1.1145
범천2동,1.1145
우1동,3.586666667
우2동,3.586666667
우3동,3.586666667
중1동,3.586666667
중2동,3.586666667
좌1동,3.586666667
좌2동,3.586666667
좌3동,3.586666667
좌4동,3.586666667
송정동,3.586666667
반여1동,3.586666667
반여2동,3.586666667
반여3동,3.586666667
반여4동,3.586666667
반송1동,3.586666667
반송2동,3.586666667
재송1동,3.586666667
재송2동,3.586666667
대저1동,13.20125
대저2동,13.20125
강동동,13.20125
명지1동,13.20125
명지2동,13.20125
가락동,13.20125
녹산동,13.20125
가덕도동,13.20125
