행정동명,자전거도로(km)
신사동,5.022727273
논현1동,5.022727273
논현2동,5.022727273
삼성1동,5.022727273
삼성2동,5.022727273
대치1동,5.022727273
대치4동,5.022727273
역삼1동,5.022727273
역삼2동,5.022727273
도곡1동,5.022727273
도곡2동,5.022727273
개포1동,5.022727273
개포4동,5.022727273
일원본동,5.022727273
일원1동,5.022727273
일원2동,5.022727273
수서동,5.022727273
세곡동,5.022727273
압구정동,5.022727273
청담동,5.022727273
대치2동,5.022727273
개포2동,5.022727273
강일동,4.133333333
상일동,4.133333333
명일1동,4.133333333
명일2동,4.133333333
고덕1동,4.133333333
고덕2동,4.133333333
암사2동,4.133333333
암사3동,4.133333333
천호1동,4.133333333
천호3동,4.133333333
성내1동,4.133333333
성내2동,4.133333333
성내3동,4.133333333
둔촌1동,4.133333333
둔촌2동,4.133333333
암사1동,4.133333333
천호2동,4.133333333
길동,4.133333333
번1동,0.669230769
번2동,0.669230769
번3동,0.669230769
수유1동,0.669230769
수유2동,0.669230769
수유3동,0.669230769
삼양동,0.669230769
미아동,0.669230769
송중동,0.669230769
송천동,0.669230769
삼각산동,0.669230769
우이동,0.669230769
인수동,0.669230769
염창동,3.855
등촌1동,3.855
등촌2동,3.855
등촌3동,3.855
화곡본동,3.855
화곡2동,3.855
화곡3동,3.855
화곡4동,3.855
화곡6동,3.855
화곡8동,3.855
가양1동,3.855
가양2동,3.855
가양3동,3.855
발산1동,3.855
공항동,3.855
방화1동,3.855
방화2동,3.855
방화3동,3.855
화곡1동,3.855
우장산동,3.855
보라매동,1.319047619
청림동,1.319047619
행운동,1.319047619
낙성대동,1.319047619
중앙동,1.319047619
인헌동,1.319047619
남현동,1.319047619
서원동,1.319047619
신원동,1.319047619
서림동,1.319047619
신사동,1.319047619
신림동,1.319047619
난향동,1.319047619
조원동,1.319047619
대학동,1.319047619
은천동,1.319047619
성현동,1.319047619
청룡동,1.319047619
난곡동,1.319047619
삼성동,1.319047619
미성동,1.319047619
화양동,3.22
군자동,3.22
중곡1동,3.22
중곡2동,3.22
중곡3동,3.22
중곡4동,3.22
능동,3.22
구의1동,3.22
구의2동,3.22
구의3동,3.22
광장동,3.22
자양1동,3.22
자양2동,3.22
자양3동,3.22
자양4동,3.22
신도림동,1.71875
구로1동,1.71875
구로3동,1.71875
구로4동,1.71875
구로5동,1.71875
고척1동,1.71875
고척2동,1.71875
개봉2동,1.71875
개봉3동,1.71875
오류1동,1.71875
오류2동,1.71875
수궁동,1.71875
가리봉동,1.71875
구로2동,1.71875
개봉1동,1.71875
항동,1.71875
가산동,0.92
독산1동,0.92
독산2동,0.92
독산3동,0.92
독산4동,0.92
시흥1동,0.92
시흥2동,0.92
시흥3동,0.92
시흥4동,0.92
시흥5동,0.92
월계1동,2.3
월계2동,2.3
월계3동,2.3
공릉2동,2.3
하계1동,2.3
하계2동,2.3
중계본동,2.3
중계1동,2.3
중계4동,2.3
상계1동,2.3
상계2동,2.3
상계5동,2.3
상계8동,2.3
상계9동,2.3
상계10동,2.3
상계3.4동,2.3
상계6.7동,2.3
중계2.3동,2.3
공릉1동,2.3
쌍문1동,0.921428571
쌍문2동,0.921428571
쌍문3동,0.921428571
쌍문4동,0.921428571
방학1동,0.921428571
방학2동,0.921428571
방학3동,0.921428571
창1동,0.921428571
창2동,0.921428571
창3동,0.921428571
창4동,0.921428571
창5동,0.921428571
도봉1동,0.921428571
도봉2동,0.921428571
회기동,2.692857143
휘경1동,2.692857143
휘경2동,2.692857143
청량리동,2.692857143
답십리1동,2.692857143
답십리2동,2.692857143
용신동,2.692857143
제기동,2.692857143
전농1동,2.692857143
전농2동,2.692857143
장안1동,2.692857143
장안2동,2.692857143
이문1동,2.692857143
이문2동,2.692857143
노량진2동,0.953333333
상도1동,0.953333333
상도2동,0.953333333
상도3동,0.953333333
상도4동,0.953333333
사당1동,0.953333333
사당3동,0.953333333
사당4동,0.953333333
사당5동,0.953333333
대방동,0.953333333
신대방1동,0.953333333
신대방2동,0.953333333
흑석동,0.953333333
노량진1동,0.953333333
사당2동,0.953333333
용강동,4.2125
대흥동,4.2125
염리동,4.2125
신수동,4.2125
서교동,4.2125
합정동,4.2125
망원1동,4.2125
망원2동,4.2125
연남동,4.2125
성산1동,4.2125
성산2동,4.2125
상암동,4.2125
도화동,4.2125
서강동,4.2125
공덕동,4.2125
아현동,4.2125
천연동,2.242857143
홍제1동,2.242857143
홍제3동,2.242857143
홍제2동,2.242857143
홍은1동,2.242857143
홍은2동,2.242857143
남가좌1동,2.242857143
남가좌2동,2.242857143
북가좌1동,2.242857143
북가좌2동,2.242857143
충현동,2.242857143
북아현동,2.242857143
신촌동,2.242857143
연희동,2.242857143
서초1동,2.283333333
서초2동,2.283333333
서초3동,2.283333333
서초4동,2.283333333
잠원동,2.283333333
반포본동,2.283333333
반포1동,2.283333333
반포2동,2.283333333
반포3동,2.283333333
반포4동,2.283333333
방배본동,2.283333333
방배1동,2.283333333
방배2동,2.283333333
방배3동,2.283333333
방배4동,2.283333333
양재1동,2.283333333
양재2동,2.283333333
내곡동,2.283333333
왕십리2동,1.635294118
마장동,1.635294118
사근동,1.635294118
행당1동,1.635294118
행당2동,1.635294118
응봉동,1.635294118
금호1가동,1.635294118
금호4가동,1.635294118
성수1가1동,1.635294118
성수1가2동,1.635294118
성수2가1동,1.635294118
성수2가3동,1.635294118
송정동,1.635294118
용답동,1.635294118
왕십리도선동,1.635294118
금호2.3가동,1.635294118
옥수동,1.635294118
돈암1동,0.84
돈암2동,0.84
안암동,0.84
보문동,0.84
정릉1동,0.84
정릉2동,0.84
정릉3동,0.84
정릉4동,0.84
길음1동,0.84
길음2동,0.84
월곡1동,0.84
월곡2동,0.84
장위1동,0.84
장위2동,0.84
장위3동,0.84
성북동,0.84
삼선동,0.84
동선동,0.84
종암동,0.84
석관동,0.84
풍납1동,3.611111111
풍납2동,3.611111111
거여1동,3.611111111
거여2동,3.611111111
마천1동,3.611111111
마천2동,3.611111111
방이1동,3.611111111
방이2동,3.611111111
오륜동,3.611111111
오금동,3.611111111
송파1동,3.611111111
송파2동,3.611111111
석촌동,3.611111111
삼전동,3.611111111
가락본동,3.611111111
가락1동,3.611111111
가락2동,3.611111111
문정1동,3.611111111
문정2동,3.611111111
잠실본동,3.611111111
잠실4동,3.611111111
잠실6동,3.611111111
잠실7동,3.611111111
잠실2동,3.611111111
잠실3동,3.611111111
장지동,3.611111111
위례동,3.611111111
목1동,3.138888889
목2동,3.138888889
목3동,3.138888889
목4동,3.138888889
신월1동,3.138888889
신월2동,3.138888889
신월3동,3.138888889
신월4동,3.138888889
신월5동,3.138888889
신월6동,3.138888889
신월7동,3.138888889
신정1동,3.138888889
신정2동,3.138888889
신정3동,3.138888889
신정6동,3.138888889
신정7동,3.138888889
목5동,3.138888889
신정4동,3.138888889
여의동,3.511111111
당산1동,3.511111111
당산2동,3.511111111
양평1동,3.511111111
양평2동,3.511111111
신길1동,3.511111111
신길3동,3.511111111
신길4동,3.511111111
신길5동,3.511111111
신길6동,3.511111111
신길7동,3.511111111
대림1동,3.511111111
대림2동,3.511111111
대림3동,3.511111111
영등포본동,3.511111111
영등포동,3.511111111
도림동,3.511111111
