행정동_코드,지하철_총승객수
11110615,11550312
11110630,4607522
11110650,2014877
11110690,184034
11110710,2071614
11140520,4993362
11140550,3618220
11140570,3085410
11140580,636306
11140590,1755720
11140605,5596100
11140615,2532336
11140635,1910421
11140665,812276
11170530,557265
11170580,1155390
11170625,6963977
11170650,798607
11170685,792717
11170690,125261
11200520,766434
11200535,2044407
11200540,312620
11200550,712131
11200570,419215
11200580,104109
11200590,356132
11200620,424456
11200645,1039056
11200650,690144
11200660,1240339
11200690,2030197
11200790,2079870
11215710,5812056
11215730,1380098
11215760,576537
11215840,646740
11230536,4179549
11230705,2163860
11230720,4749435
11230740,547966
11230750,454147
11260565,856610
11260575,888508
11260580,899296
11260610,1213184
11260630,554194
11260655,407167
11290610,994586
11290620,263779
11290650,351580
11290660,1215879
11290810,2927640
11305534,430143
11305545,1490056
11305555,142376
11305625,235898
11305645,325305
11305660,190081
11320107,1776624
11320511,1776624
11320515,2925008
11320522,2293717
11320690,549616
11350560,970546
11350570,417080
11350595,1680496
11350600,609130
11350612,950574
11350625,762176
11350630,711969
11350640,4498620
11350665,487761
11350670,1021698
11350700,693442
11380510,1036300
11380520,159316
11380551,3921430
11380570,2764462
11380580,1766865
11380631,954437
11380650,151675
11380690,1163598
11410520,423498
11410565,1021065
11410585,4449978
11410620,1186490
11410690,322734
11440555,926096
11440565,8265676
11440585,739143
11440600,1091205
11440655,607635
11440660,13594053
11440680,5263232
11440690,843181
11440730,746168
11440740,4981827
11470510,944886
11470520,1165709
11470530,609369
11470550,218869
11470640,573959
11470670,385287
11470680,385287
11500520,384443
11500535,1150450
11500540,4586661
11500603,522372
11500611,1919704
11500620,1073562
11500630,371644
11500640,6441980
11500641,359887
11530510,72318
11530530,464239
11530540,3914118
11530560,6818463
11530750,1182804
11530780,1251401
11545510,7204395
11545670,650939
11560515,2391986
11560535,575286
11560540,7984912
11560550,2741062
11560560,4249030
11560605,1155598
11560610,577719
11560620,437948
11560630,1387434
11560680,618315
11560690,751158
11590510,4202796
11590530,663995
11590540,495994
11590630,845604
11590650,606709
11590660,1375217
11620595,1260833
11620630,7272922
11620645,3232192
11620685,1383682
11620695,4176356
11650520,8292798
11650530,1147803
11650540,271394
11650550,66192
11650560,535981
11650570,232911
11650581,13995555
11650600,770233
11650610,68495
11650620,996216
11650651,0
11650652,0
11680521,2549784
11680531,5986322
11680545,2927825
11680580,2079552
11680590,386520
11680610,779766
11680630,6965134
11680640,4897681
11680656,2829902
11680670,602299
11680675,531351
11680720,547968
11680750,3589682
11710531,538398
11710540,394437
11710561,398798
11710566,207869
11710570,1036528
11710580,296076
11710600,2160068
11710631,2301078
11710632,742134
11710642,2935202
11710650,370656
11710670,1227186
11710710,766020
11710720,2462424
11740525,766847
11740530,485183
11740540,523850
11740580,960298
11740640,556052
11740650,975492
11740660,450851
11740685,445294
11740700,547905
28110530,105748
28110585,784574
28110615,665346
28110620,210848
28110628,1258411
28177520,192396
28177550,216193
28177570,398418
28177600,604847
28177610,228191
28177620,2144232
28185640,137081
28185762,786814
28185830,442318
28200551,323074
28200700,229572
28200710,827877
28237510,3545482
28237530,394171
28237648,1
28237650,476777
28237690,912332
28245710,1235464
28260515,737196
28260539,375895
41111566,862051
41113530,183975
41113670,758608
41115650,220896
41115660,5705340
41115690,462351
41117530,288604
41117570,239709
41117580,787881
41117585,506115
41131540,1391133
41131590,584665
41131620,298701
41133510,3149107
41133525,245898
41135520,732657
41135545,1990382
41135580,1371910
41135600,757730
41135620,1467902
41135657,554580
41135662,1716352
41135670,575302
41150510,1134278
41150545,506044
41150555,1435752
41150561,96786
41150595,382135
41150620,262374
41171510,1448651
41171560,506441
41171600,925576
41173560,1363222
41173566,919288
41173610,1471890
41190606,1593956
41190742,3
41190746,3903355
41190750,1015486
41210550,1190490
41210610,1193528
41210655,195028
41220310,96116
41220510,462145
41220550,281907
41220600,849857
41250520,185291
41250550,99000
41250566,401448
41250580,345160
41271515,580941
41271560,934376
41271600,244842
41273535,1609126
41273545,699524
41273565,104836
41273570,600006
41281540,613048
41281560,290873
41281576,1094812
41281577,609419
41281610,433871
41281622,944866
41281650,639186
41281670,164050
41285540,317755
41285551,35143
41285552,551785
41285560,388713
41285570,419742
41285590,428160
41287520,534039
41287545,433942
41287550,516256
41287570,686110
41290510,584497
41290530,351626
41290550,715958
41290560,335181
41310510,152998
41310530,773128
41360250,519335
41360256,339774
41360259,140220
41360265,191661
41360360,60017
41360520,365980
41360530,88258
41360540,39293
41360545,601794
41360570,174584
41370530,627499
41370540,223427
41370550,245877
41390582,166282
41390589,1598775
41410510,758956
41410560,3082370
41410590,213409
41410610,272188
41410620,929302
41430520,492892
41450610,918896
41450630,229715
41463510,253116
41463520,1177716
41463530,307483
41463570,289367
41463590,138672
41465550,856419
41480250,323218
41480253,72938
41480310,157169
41480520,285310
41480530,387548
41480580,850431
41500253,139109
41500310,93197
41500520,173646
41590520,936853
41610253,179937
41610259,138036
41610560,131848
41630510,468994
41630530,353186
41630540,190932
41670345,23590
41670520,166841
41820250,128661
41820325,190432
41830250,1199189
41830330,191043
41830340,40005
41830395,4251
41830400,143929
44131510,452783
44131550,73351
44133250,333927
44133256,53369
44133580,473481
44200253,311200
44200580,266534
51110330,25550
51110400,53824
51110570,117936
51110660,188140
