학교이름,행정동명
안민초,수민동  
dfd,연산9동
2,장림1동
신선중학교,신선동
해동중학교,동삼1동
부산남중학교,영선2동
공덕초등학교,선두구동
17,우2동
12,당감4동
17,전포2동
칠암초등학교,일광읍
2,다대2동
2,다대2동
2,다대2동
2,다대1동
2,다대1동
2,다대1동
2,다대1동
2,다대1동
태종대초등학교,동삼2동
2,다대2동
2,구평동
2,구평동
부산남고등학교,동삼1동
절영초등학교,동삼1동
중리초등학교,동삼1동
광명고등학교,동삼1동
부산체육중학교,동삼1동
부산체육고등학교,동삼1동
영도여자고등학교,동삼1동
4,암남동
영도제일중학교,동삼1동
봉삼초등학교,동삼1동
태종대중학교,동삼1동
2,장림2동
5,장림2동
2,장림2동
송도초등학교,암남동
3,장림1동
2,장림2동
천마초등학교,남부민2동
송도중학교,남부민2동
부산영선알로이시오초등학교,남부민2동
신선초등학교,신선동
남항초등학교,영선2동
대평초등학교,영선2동
부산보건고등학교,영선2동
부산영선중학교,신선동
부산영상예술고등학교,신선동
상리초등학교,동삼3동
2,구평동
2,구평동
2,구평동
2,신평1동
남도여자중학교,신선동
청동초등학교,청학2동
2,감천1동
영도초등학교,신선동
2,감천1동
아미초등학교,남부민1동
초장중학교,남부민1동
2,감천1동
2,신평1동
동삼초등학교,남항동
봉학초등학교,남항동
청학초등학교,청학2동
2,신평1동
남부민초등학교,충무동
부산관광고등학교,충무동
대교초등학교,봉래1동
부산해사고등학교,청학1동
토성초등학교,충무동
광일초등학교,남포동
2,신평2동
2,괴정4동
2,당리동
보수초등학교,부평동
동주여자고등학교,광복동
경남중학교,충무동
2,괴정4동
2,괴정2동
2,괴정2동
2,당리동
구덕초등학교,부평동
부산여자중학교,부평동
부산서여자고등학교,부평동
오륙도초등학교,용호2동 
오륙도중학교,용호2동 
사하구괴,당리동
266,당리동
2,당리동
부민초등학교,부민동
2,당리동
남성초등학교,동광동
남성여자고등학교,동광동
2,하단2동
화랑초등학교,동대신1동
혜광고등학교,보수동
운산초등학교,용호2동 
봉래초등학교,영주1동
대신여자중학교,동대신1동
2,하단2동
덕원중학교,영주2동
부산디지털고등학교,영주2동
1,당리동
동신초등학교,동대신2동
부경고등학교,서대신3동
감만중학교,감만1동 
예문여자고등학교,용호1동 
용산초등학교,용호3동 
대신초등학교,서대신4동
부산중앙여자중학교,서대신4동
동항중학교,감만1동 
부산대신중학교,서대신4동
경남고등학교,동대신3동
백운초등학교,용호1동 
용호중학교,용호1동 
한국조형예술고등학교,용호3동 
6,하단2동
2,하단2동
동천초등학교,감만2동 
부산고등학교,초량6동
부산컴퓨터과학고등학교,초량6동
부산국제영화고등학교,초량3동
용호초등학교,용호1동 
용문중학교,용호1동 
동일중앙초등학교,초량3동
석포여자중학교,용당동 
동궁초등학교,엄궁동
경성전자고등학교,서대신4동
초량초등학교,수정1동
우암초등학교,우암동 
동항초등학교,우암동 
용문초등학교,대연3동 
용당초등학교,대연3동 
대천중학교,대연3동 
동명공업고등학교,대연3동 
성지고등학교,우암동 
석포초등학교,대연4동 
수성초등학교,수정1동
신연초등학교,우암동 
엄궁초등학교,엄궁동
성천초등학교,우암동 
배정고등학교,문현4동 
배정미래고등학교,문현4동 
대천초등학교,대연3동 
대연고등학교,대연3동 
경남여자고등학교,수정2동
경남여자고등학교 부설방송통신고등학교,수정2동
대연중학교,대연1동 
학진초등학교,엄궁동
수정초등학교,좌천동
부산공업고등학교,대연1동 
성남초등학교,범일2동
엄궁중학교,엄궁동
금성고등학교,좌천동
분포초등학교,용호1동 
분포중학교,용호1동 
분포고등학교,용호1동 
연포초등학교,대연6동 
동천고등학교,대연5동 
대양고등학교,문현4동 
대연초등학교,대연5동 
데레사여자고등학교,좌천동
범일초등학교,좌천동
남천중학교,대연3동 
부산중앙고등학교,대연6동 
학장중학교,학장동
해연중학교,대연6동 
세연고등학교,대연6동 
성동중학교,문현2동 
문현여자중학교,문현1동 
학장초등학교,학장동
동주중학교,학장동
성동초등학교,문현2동 
남천초등학교,남천1동
12,범천1동
용소초등학교,대연3동 
문현초등학교,문현1동 
문현여자고등학교,문현1동 
구학초등학교,학장동
구덕고등학교,학장동
구덕고등학교 전기차충전소,학장동
12,개금2동
12,가야1동
부산동여자고등학교,남천1동
주학초등학교,주례2동
주례여자고등학교,주례2동
주례여자고등학교 교무실,주례2동
대남초등학교,대연3동 
한얼고등학교,문현2동 
주례중학교,주례2동
동주초등학교,주례3동
8,가야1동
12,개금1동
12,범천2동
주례여자중학교,주례3동
12,가야2동
12,가야2동
부산진구 중학교,가야2동
11,가야2동
12,전포1동
19,전포1동
4,전포1동
12,개금1동
