학교이름,주소,위도,경도,행정동명,행정동_코드
가락고등학교,서울 송파구 송이로 42,37.5025764,127.1168124,송파2동,11710590
가재울고등학교,서울 서대문구 수색로 100-35,37.5772579,126.9027849,북가좌1동,11410710
강동고등학교,서울 강동구 구천면로 572,37.5446913,127.1134486,천호2동,11740610
강서고등학교,서울 양천구 목동중앙남로 27,37.53682595,126.866562,목4동,11470540
강서공업고등학교,서울 강서구 방화대로47길 9,37.5761858,126.8127048,방화3동,11500641
강일고등학교,서울 강동구 아리수로98길 40,37.563487,127.1787024,강일동,11740515
개포고등학교,서울 강남구 개포로 402,37.4851416,127.0586768,개포2동,11680670
건국대학교 사범대학부속고등학교,서울 광진구 능동로 120,37.54184695,127.0771149,화양동,11215710
경기고등학교,서울 강남구 영동대로 643,37.5168511,127.0556543,삼성1동,11680580
경기기계공업고등학교,서울 노원구 공릉로 264,37.6393895,127.0693259,하계1동,11350611
경기상업고등학교,서울 종로구 자하문로 136,37.58855965,126.9697676,청운효자동,11110515
경기여자고등학교,서울 강남구 삼성로 29,37.487175,127.065613,개포2동,11680670
경기여자고등학교부설방송통신고등학교,서울 강남구 삼성로 29,37.487175,127.065613,개포2동,11680670
경동고등학교,서울 성북구 보문로29길 49,37.58701,127.01548,삼선동,11290555
경동고등학교 부설방송통신고등학교,서울 성북구 보문로29길 49,37.58701,127.01548,삼선동,11290555
경문고등학교,서울 동작구 동작대로 171,37.49247655,126.9816861,사당2동,11590630
경복고등학교,서울 종로구 자하문로28가길 9,37.5868704,126.9715225,청운효자동,11110515
경복고등학교 부설방송통신고등학교,서울 종로구 자하문로28가길 9,37.5868704,126.9715225,청운효자동,11110515
경복비즈니스고등학교,서울 강서구 화곡로 379,37.55808635,126.8526074,등촌3동,11500535
경복여자고등학교,서울 강서구 화곡로63길 40,37.55830485,126.8511926,등촌3동,11500535
경성고등학교,서울 마포구 성미산로 111,37.5622476,126.9195862,연남동,11440710
경신고등학교,서울 종로구 혜화로 74,37.5875025,126.9998726,혜화동,11110650
경인고등학교,서울 구로구 경인로46길 31,37.4969695,126.8649785,고척1동,11530720
경일고등학교,서울 성동구 성수일로 27,37.5463546,127.0503732,성수2가3동,11200690
경희고등학교,서울 동대문구 경희대로 26,37.5971213,127.0519867,회기동,11230710
경희여자고등학교,서울 동대문구 경희대로 26,37.5971213,127.0519867,회기동,11230710
계성고등학교,서울 성북구 길음로 63,37.6041932,127.0240219,길음1동,11290660
고려대학교사범대학 부속고등학교,서울 성북구 정릉로 161,37.60939835,127.0013218,정릉3동,11290640
고명외식고등학교,서울 성북구 북악산로 870,37.5976448,127.0219412,돈암1동,11290580
